"family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"Afro-Asiatic","في",54,2,"Arabic",0.0422866092404072,5,2
"Afro-Asiatic","أو",45,2,"Arabic",0.0352388410336727,5,2
"Afro-Asiatic","المادة",30,6,"Arabic",0.0234925606891151,3,2
"Afro-Asiatic","الحق",30,4,"Arabic",0.0234925606891151,7,2
"Afro-Asiatic","لكل",26,3,"Arabic",0.0203602192638998,4,2
"Afro-Asiatic","أن",20,2,"Arabic",0.0156617071260767,6,2
"Afro-Asiatic","من",19,2,"Arabic",0.0148786217697729,8,2
"Afro-Asiatic","على",18,3,"Arabic",0.0140955364134691,4,2
"Afro-Asiatic","شخص",17,3,"Arabic",0.0133124510571652,8,2
"Afro-Asiatic","أي",15,2,"Arabic",0.0117462803445576,7,2
"Afro-Asiatic","فرد",14,3,"Arabic",0.0109631949882537,4,2
"Afro-Asiatic","لا",11,2,"Arabic",0.00861393891934221,8,2
"Afro-Asiatic","إلى",10,3,"Arabic",0.00783085356303837,4,2
"Afro-Asiatic","كان",8,3,"Arabic",0.0062646828504307,6,2
"Afro-Asiatic","الإنسان",8,7,"Arabic",0.0062646828504307,9,2
"Afro-Asiatic","الحقوق",8,6,"Arabic",0.0062646828504307,6,2
"Afro-Asiatic","هذا",8,3,"Arabic",0.0062646828504307,3,2
"Afro-Asiatic","حرية",8,4,"Arabic",0.0062646828504307,3,2
"Afro-Asiatic","والحريات",7,8,"Arabic",0.00548159749412686,3,2
"Afro-Asiatic","كل",7,2,"Arabic",0.00548159749412686,5,2
"Afro-Asiatic","حق",7,2,"Arabic",0.00548159749412686,5,2
"Afro-Asiatic","دون",7,3,"Arabic",0.00548159749412686,4,3
"Afro-Asiatic","ولما",6,4,"Arabic",0.00469851213782302,5,3
"Afro-Asiatic","الإعلان",6,7,"Arabic",0.00469851213782302,4,3
"Afro-Asiatic","عن",6,2,"Arabic",0.00469851213782302,11,3
"Afro-Asiatic","له",6,2,"Arabic",0.00469851213782302,6,3
"Afro-Asiatic","يجوز",6,4,"Arabic",0.00469851213782302,6,3
"Afro-Asiatic","حقوق",5,4,"Arabic",0.00391542678151919,7,3
"Afro-Asiatic","القانون",5,7,"Arabic",0.00391542678151919,4,3
"Afro-Asiatic","حماية",5,5,"Arabic",0.00391542678151919,5,3
"Afro-Asiatic","بين",5,3,"Arabic",0.00391542678151919,3,3
"Afro-Asiatic","الأمم",5,5,"Arabic",0.00391542678151919,5,3
"Afro-Asiatic","المتحدة",5,7,"Arabic",0.00391542678151919,7,3
"Afro-Asiatic","الأساسية",5,8,"Arabic",0.00391542678151919,5,3
"Afro-Asiatic","مع",5,2,"Arabic",0.00391542678151919,4,3
"Afro-Asiatic","المجتمع",5,7,"Arabic",0.00391542678151919,4,3
"Afro-Asiatic","إنسان",5,5,"Arabic",0.00391542678151919,3,3
"Afro-Asiatic","التمتع",5,6,"Arabic",0.00391542678151919,6,3
"Afro-Asiatic","التي",5,4,"Arabic",0.00391542678151919,7,3
"Afro-Asiatic","ذلك",5,3,"Arabic",0.00391542678151919,7,3
"Afro-Asiatic","إليه",4,4,"Arabic",0.00313234142521535,3,3
"Afro-Asiatic","فيه",4,3,"Arabic",0.00313234142521535,5,3
"Afro-Asiatic","الفرد",4,5,"Arabic",0.00313234142521535,4,3
"Afro-Asiatic","كانت",4,4,"Arabic",0.00313234142521535,4,3
"Afro-Asiatic","بهذا",4,4,"Arabic",0.00313234142521535,4,3
"Afro-Asiatic","العامة",4,6,"Arabic",0.00313234142521535,7,3
"Afro-Asiatic","التعليم",4,7,"Arabic",0.00313234142521535,6,3
"Afro-Asiatic","تمييز",4,5,"Arabic",0.00313234142521535,5,3
"Afro-Asiatic","قدم",4,3,"Arabic",0.00313234142521535,6,3
"Afro-Asiatic","الزواج",4,6,"Arabic",0.00313234142521535,7,3
"Afro-Asiatic","الاجتماعية",4,10,"Arabic",0.00313234142521535,3,3
"Afro-Asiatic","وفي",4,3,"Arabic",0.00313234142521535,6,3
"Afro-Asiatic","الاعتراف",3,8,"Arabic",0.00234925606891151,7,3
"Afro-Asiatic","جميع",3,4,"Arabic",0.00234925606891151,5,3
"Afro-Asiatic","أساس",3,4,"Arabic",0.00234925606891151,3,3
"Afro-Asiatic","قد",3,2,"Arabic",0.00234925606891151,6,3
"Afro-Asiatic","ما",3,2,"Arabic",0.00234925606891151,9,3
"Afro-Asiatic","آخر",3,3,"Arabic",0.00234925606891151,8,3
"Afro-Asiatic","الدول",3,5,"Arabic",0.00234925606891151,5,3
"Afro-Asiatic","متساوية",3,7,"Arabic",0.00234925606891151,3,3
"Afro-Asiatic","وأن",3,3,"Arabic",0.00234925606891151,7,3
"Afro-Asiatic","الذي",3,4,"Arabic",0.00234925606891151,7,3
"Afro-Asiatic","هذه",3,3,"Arabic",0.00234925606891151,2,3
"Afro-Asiatic","أية",3,3,"Arabic",0.00234925606891151,7,3
"Afro-Asiatic","يكون",3,4,"Arabic",0.00234925606891151,6,3
"Afro-Asiatic","الدولي",3,6,"Arabic",0.00234925606891151,6,3
"Afro-Asiatic","سواء",3,4,"Arabic",0.00234925606891151,6,3
"Afro-Asiatic","تلك",3,3,"Arabic",0.00234925606891151,6,3
"Afro-Asiatic","غير",3,3,"Arabic",0.00234925606891151,6,3
"Afro-Asiatic","كما",3,3,"Arabic",0.00234925606891151,5,3
"Afro-Asiatic","المساواة",3,8,"Arabic",0.00234925606891151,5,3
"Afro-Asiatic","عمل",3,3,"Arabic",0.00234925606891151,5,3
"Afro-Asiatic","أحد",3,3,"Arabic",0.00234925606891151,7,3
"Afro-Asiatic","بالكرامة",2,8,"Arabic",0.00156617071260767,6,3
"Afro-Asiatic","الأسرة",2,6,"Arabic",0.00156617071260767,4,3
"Afro-Asiatic","الحرية",2,6,"Arabic",0.00156617071260767,3,3
"Afro-Asiatic","أعمال",2,5,"Arabic",0.00156617071260767,5,3
"Afro-Asiatic","تعزيز",2,5,"Arabic",0.00156617071260767,5,3
"Afro-Asiatic","بحقوق",2,5,"Arabic",0.00156617071260767,7,3
"Afro-Asiatic","وبما",2,4,"Arabic",0.00156617071260767,8,3
"Afro-Asiatic","والنساء",2,7,"Arabic",0.00156617071260767,8,3
"Afro-Asiatic","الاجتماعي",2,9,"Arabic",0.00156617071260767,2,3
"Afro-Asiatic","مستوى",2,5,"Arabic",0.00156617071260767,6,3
"Afro-Asiatic","الحياة",2,6,"Arabic",0.00156617071260767,3,3
"Afro-Asiatic","الأعضاء",2,7,"Arabic",0.00156617071260767,5,3
"Afro-Asiatic","واحترامها",2,9,"Arabic",0.00156617071260767,7,3
"Afro-Asiatic","العام",2,5,"Arabic",0.00156617071260767,3,3
"Afro-Asiatic","أنه",2,3,"Arabic",0.00156617071260767,5,3
"Afro-Asiatic","الشعوب",2,6,"Arabic",0.00156617071260767,6,3
"Afro-Asiatic","احترام",2,6,"Arabic",0.00156617071260767,6,3
"Afro-Asiatic","لضمان",2,5,"Arabic",0.00156617071260767,5,3
"Afro-Asiatic","ومراعاتها",2,9,"Arabic",0.00156617071260767,7,4
"Afro-Asiatic","الناس",2,5,"Arabic",0.00156617071260767,4,4
"Afro-Asiatic","بكافة",2,5,"Arabic",0.00156617071260767,4,4
"Afro-Asiatic","الواردة",2,7,"Arabic",0.00156617071260767,5,4
"Afro-Asiatic","بسبب",2,4,"Arabic",0.00156617071260767,3,4
"Afro-Asiatic","الجنس",2,5,"Arabic",0.00156617071260767,4,4
