"family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"Indo-European","i",37,1,"Catalan",0.0526315789473684,6,1
"Indo-European","de",34,2,"Catalan",0.0483641536273115,4,1
"Indo-European","la",27,2,"Catalan",0.0384068278805121,2,1
"Indo-European","a",24,1,"Catalan",0.0341394025604552,9,1
"Indo-European","els",22,3,"Catalan",0.0312944523470839,9,1
"Indo-European","el",19,2,"Catalan",0.027027027027027,9,2
"Indo-European","que",18,3,"Catalan",0.0256045519203414,2,2
"Indo-European","en",16,2,"Catalan",0.0227596017069701,7,2
"Indo-European","o",12,1,"Catalan",0.0170697012802276,11,2
"Indo-European","per",11,3,"Catalan",0.015647226173542,10,2
"Indo-European","drets",11,5,"Catalan",0.015647226173542,7,2
"Indo-European","Article",11,7,"Catalan",0.015647226173542,5,2
"Indo-European","d",10,1,"Catalan",0.0142247510668563,6,2
"Indo-European","dret",9,4,"Catalan",0.0128022759601707,4,2
"Indo-European","tots",7,4,"Catalan",0.00995732574679943,13,2
"Indo-European","no",7,2,"Catalan",0.00995732574679943,9,2
"Indo-European","persona",7,7,"Catalan",0.00995732574679943,3,2
"Indo-European","les",6,3,"Catalan",0.0085348506401138,8,2
"Indo-European","és",6,2,"Catalan",0.0085348506401138,9,2
"Indo-European","Considerant",6,11,"Catalan",0.0085348506401138,8,2
"Indo-European","humans",6,6,"Catalan",0.0085348506401138,7,2
"Indo-European","han",6,3,"Catalan",0.0085348506401138,10,3
"Indo-European","un",6,2,"Catalan",0.0085348506401138,8,3
"Indo-European","Declaració",5,10,"Catalan",0.00711237553342817,5,3
"Indo-European","com",5,3,"Catalan",0.00711237553342817,6,3
"Indo-European","contra",5,6,"Catalan",0.00711237553342817,3,3
"Indo-European","amb",5,3,"Catalan",0.00711237553342817,4,3
"Indo-European","té",5,2,"Catalan",0.00711237553342817,4,3
"Indo-European","qualsevol",5,9,"Catalan",0.00711237553342817,4,3
"Indo-European","llibertat",4,9,"Catalan",0.00568990042674253,9,3
"Indo-European","més",4,3,"Catalan",0.00568990042674253,12,3
"Indo-European","una",4,3,"Catalan",0.00568990042674253,8,3
"Indo-European","llibertats",4,10,"Catalan",0.00568990042674253,9,3
"Indo-European","aquesta",4,7,"Catalan",0.00568990042674253,8,3
"Indo-European","Tota",4,4,"Catalan",0.00568990042674253,8,3
"Indo-European","seva",4,4,"Catalan",0.00568990042674253,5,3
"Indo-European","llei",4,4,"Catalan",0.00568990042674253,14,3
"Indo-European","Nacions",3,7,"Catalan",0.0042674253200569,2,3
"Indo-European","Unides",3,6,"Catalan",0.0042674253200569,4,3
"Indo-European","reconeixement",3,13,"Catalan",0.0042674253200569,11,3
"Indo-European","dignitat",3,8,"Catalan",0.0042674253200569,3,3
"Indo-European","iguals",3,6,"Catalan",0.0042674253200569,6,3
"Indo-European","membres",3,7,"Catalan",0.0042674253200569,5,3
"Indo-European","es",3,2,"Catalan",0.0042674253200569,4,4
"Indo-European","entre",3,5,"Catalan",0.0042674253200569,2,4
"Indo-European","pobles",3,6,"Catalan",0.0042674253200569,9,4
"Indo-European","fonamentals",3,11,"Catalan",0.0042674253200569,6,4
"Indo-European","l",3,1,"Catalan",0.0042674253200569,2,4
"Indo-European","sota",3,4,"Catalan",0.0042674253200569,8,4
"Indo-European","són",3,3,"Catalan",0.0042674253200569,11,4
"Indo-European","cap",3,3,"Catalan",0.0042674253200569,5,4
"Indo-European","distinció",3,9,"Catalan",0.0042674253200569,9,4
"Indo-European","altra",3,5,"Catalan",0.0042674253200569,5,4
"Indo-European","si",3,2,"Catalan",0.0042674253200569,3,4
"Indo-European","ningú",3,5,"Catalan",0.0042674253200569,4,4
"Indo-European","serà",3,4,"Catalan",0.0042674253200569,8,4
"Indo-European","tenen",3,5,"Catalan",0.0042674253200569,6,4
