"family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"Sino-Tibetan","的",147,1,"Chinese",0.0967105263157895,2,1
"Sino-Tibetan","和",77,1,"Chinese",0.0506578947368421,2,1
"Sino-Tibetan","人人",28,2,"Chinese",0.0184210526315789,2,1
"Sino-Tibetan","或",27,1,"Chinese",0.0177631578947368,2,1
"Sino-Tibetan","权利",27,2,"Chinese",0.0177631578947368,1,1
"Sino-Tibetan","有权",26,2,"Chinese",0.0171052631578947,2,1
"Sino-Tibetan","自由",24,2,"Chinese",0.0157894736842105,2,1
"Sino-Tibetan","在",23,1,"Chinese",0.0151315789473684,2,1
"Sino-Tibetan","并",19,1,"Chinese",0.0125,2,1
"Sino-Tibetan","任何",18,2,"Chinese",0.0118421052631579,2,1
"Sino-Tibetan","对",15,1,"Chinese",0.00986842105263158,2,1
"Sino-Tibetan","有",15,1,"Chinese",0.00986842105263158,1,1
"Sino-Tibetan","享受",15,2,"Chinese",0.00986842105263158,2,1
"Sino-Tibetan","社会",14,2,"Chinese",0.00921052631578947,2,1
"Sino-Tibetan","不得",14,2,"Chinese",0.00921052631578947,2,1
"Sino-Tibetan","国家",13,2,"Chinese",0.00855263157894737,2,1
"Sino-Tibetan","他",13,1,"Chinese",0.00855263157894737,2,1
"Sino-Tibetan","而",10,1,"Chinese",0.00657894736842105,2,1
"Sino-Tibetan","人",10,1,"Chinese",0.00657894736842105,2,1
"Sino-Tibetan","应",10,1,"Chinese",0.00657894736842105,2,1
"Sino-Tibetan","不",9,1,"Chinese",0.00592105263157895,2,1
"Sino-Tibetan","教育",9,2,"Chinese",0.00592105263157895,2,1
"Sino-Tibetan","受",9,1,"Chinese",0.00592105263157895,2,1
"Sino-Tibetan","任何人",9,3,"Chinese",0.00592105263157895,2,1
"Sino-Tibetan","宣言",8,2,"Chinese",0.00526315789473684,2,1
"Sino-Tibetan","平等",8,2,"Chinese",0.00526315789473684,4,1
"Sino-Tibetan","通过",7,2,"Chinese",0.00460526315789474,2,1
"Sino-Tibetan","领土",7,2,"Chinese",0.00460526315789474,4,1
"Sino-Tibetan","其他",7,2,"Chinese",0.00460526315789474,1,1
"Sino-Tibetan","鉴于",7,2,"Chinese",0.00460526315789474,1,1
"Sino-Tibetan","为",7,1,"Chinese",0.00460526315789474,2,1
"Sino-Tibetan","享有",7,2,"Chinese",0.00460526315789474,2,1
"Sino-Tibetan","法律",7,2,"Chinese",0.00460526315789474,2,1
"Sino-Tibetan","行为",7,2,"Chinese",0.00460526315789474,2,1
"Sino-Tibetan","所",7,1,"Chinese",0.00460526315789474,2,1
"Sino-Tibetan","一个",6,2,"Chinese",0.00394736842105263,2,1
"Sino-Tibetan","人民",6,2,"Chinese",0.00394736842105263,1,1
"Sino-Tibetan","保护",6,2,"Chinese",0.00394736842105263,2,1
"Sino-Tibetan","中",6,1,"Chinese",0.00394736842105263,1,1
"Sino-Tibetan","以",6,1,"Chinese",0.00394736842105263,2,1
"Sino-Tibetan","本",6,1,"Chinese",0.00394736842105263,2,1
"Sino-Tibetan","时",6,1,"Chinese",0.00394736842105263,2,1
"Sino-Tibetan","发展",5,2,"Chinese",0.00328947368421053,2,1
"Sino-Tibetan","促进",5,2,"Chinese",0.00328947368421053,1,1
"Sino-Tibetan","联合国",5,3,"Chinese",0.00328947368421053,4,1
"Sino-Tibetan","基本",5,2,"Chinese",0.00328947368421053,2,1
