"family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"Indo-European","the",121,3,"English",0.070267131242741,14,1
"Indo-European","and",106,3,"English",0.0615563298490128,7,1
"Indo-European","of",91,2,"English",0.0528455284552846,8,2
"Indo-European","to",83,2,"English",0.0481997677119628,6,2
"Indo-European","in",43,2,"English",0.0249709639953542,9,2
"Indo-European","right",33,5,"English",0.0191637630662021,13,2
"Indo-European","be",31,2,"English",0.0180023228803717,6,2
"Indo-European","article",30,7,"English",0.0174216027874564,7,2
"Indo-European","everyone",30,8,"English",0.0174216027874564,11,2
"Indo-European","or",30,2,"English",0.0174216027874564,3,2
"Indo-European","has",28,3,"English",0.016260162601626,5,2
"Indo-European","shall",27,5,"English",0.0156794425087108,4,2
"Indo-European","his",21,3,"English",0.0121951219512195,8,2
"Indo-European","rights",20,6,"English",0.0116144018583043,11,2
"Indo-European","a",19,1,"English",0.0110336817653891,3,2
"Indo-European","any",18,3,"English",0.0104529616724739,6,2
"Indo-European","for",17,3,"English",0.00987224157955865,9,2
"Indo-European","is",13,2,"English",0.00754936120789779,6,3
"Indo-European","by",13,2,"English",0.00754936120789779,3,3
"Indo-European","all",12,3,"English",0.00696864111498258,6,3
"Indo-European","equal",11,5,"English",0.00638792102206736,5,3
"Indo-European","human",11,5,"English",0.00638792102206736,8,3
"Indo-European","freedom",11,7,"English",0.00638792102206736,5,3
"Indo-European","as",11,2,"English",0.00638792102206736,4,3
"Indo-European","this",11,4,"English",0.00638792102206736,10,3
"Indo-European","freedoms",10,8,"English",0.00580720092915215,9,3
"Indo-European","one",10,3,"English",0.00580720092915215,10,3
"Indo-European","no",10,2,"English",0.00580720092915215,9,3
"Indo-European","which",9,5,"English",0.00522648083623693,10,3
"Indo-European","law",9,3,"English",0.00522648083623693,4,3
"Indo-European","with",9,4,"English",0.00522648083623693,7,3
"Indo-European","entitled",9,8,"English",0.00522648083623693,8,3
"Indo-European","protection",9,10,"English",0.00522648083623693,10,3
"Indo-European","have",8,4,"English",0.00464576074332172,9,3
"Indo-European","social",8,6,"English",0.00464576074332172,6,3
"Indo-European","education",8,9,"English",0.00464576074332172,7,3
"Indo-European","are",8,3,"English",0.00464576074332172,5,3
"Indo-European","Declaration",7,11,"English",0.0040650406504065,7,3
"Indo-European","whereas",7,7,"English",0.0040650406504065,2,3
"Indo-European","free",7,4,"English",0.0040650406504065,9,3
"Indo-European","family",6,6,"English",0.00348432055749129,7,3
"Indo-European","against",6,7,"English",0.00348432055749129,7,3
"Indo-European","fundamental",6,11,"English",0.00348432055749129,9,3
"Indo-European","full",6,4,"English",0.00348432055749129,4,3
"Indo-European","other",6,5,"English",0.00348432055749129,4,3
"Indo-European","at",6,2,"English",0.00348432055749129,6,3
"Indo-European","dignity",5,7,"English",0.00290360046457607,13,3
"Indo-European","from",5,4,"English",0.00290360046457607,5,3
"Indo-European","it",5,2,"English",0.00290360046457607,3,3
"Indo-European","United",5,6,"English",0.00290360046457607,5,3
"Indo-European","Nations",5,7,"English",0.00290360046457607,9,3
"Indo-European","their",5,5,"English",0.00290360046457607,3,4
"Indo-European","person",5,6,"English",0.00290360046457607,8,4
"Indo-European","society",5,7,"English",0.00290360046457607,3,4
"Indo-European","national",5,8,"English",0.00290360046457607,7,4
"Indo-European","international",5,13,"English",0.00290360046457607,6,4
"Indo-European","without",5,7,"English",0.00290360046457607,6,4
"Indo-European","religion",5,8,"English",0.00290360046457607,4,4
"Indo-European","country",5,7,"English",0.00290360046457607,7,4
"Indo-European","public",5,6,"English",0.00290360046457607,7,4
"Indo-European","recognition",4,11,"English",0.00232288037166086,3,4
"Indo-European","enjoy",4,5,"English",0.00232288037166086,4,4
"Indo-European","that",4,4,"English",0.00232288037166086,7,4
"Indo-European","promote",4,7,"English",0.00232288037166086,6,4
"Indo-European","development",4,11,"English",0.00232288037166086,7,4
"Indo-European","peoples",4,7,"English",0.00232288037166086,8,4
"Indo-European","respect",4,7,"English",0.00232288037166086,3,4
"Indo-European","such",4,4,"English",0.00232288037166086,8,4
"Indo-European","discrimination",4,14,"English",0.00232288037166086,7,4
"Indo-European","an",4,2,"English",0.00232288037166086,4,4
"Indo-European","penal",4,5,"English",0.00232288037166086,6,4
"Indo-European","offence",4,7,"English",0.00232288037166086,11,4
"Indo-European","State",4,5,"English",0.00232288037166086,7,4
"Indo-European","may",4,3,"English",0.00232288037166086,6,4
"Indo-European","nationality",4,11,"English",0.00232288037166086,5,4
"Indo-European","acts",3,4,"English",0.00174216027874564,5,4
"Indo-European","conscience",3,10,"English",0.00174216027874564,5,4
"Indo-European","belief",3,6,"English",0.00174216027874564,5,4
"Indo-European","common",3,6,"English",0.00174216027874564,11,4
"Indo-European","not",3,3,"English",0.00174216027874564,10,4
"Indo-European","nations",3,7,"English",0.00174216027874564,8,4
"Indo-European","life",3,4,"English",0.00174216027874564,12,4
"Indo-European","universal",3,9,"English",0.00174216027874564,5,4
"Indo-European","observance",3,10,"English",0.00174216027874564,5,4
"Indo-European","these",3,5,"English",0.00174216027874564,9,4
"Indo-European","among",3,5,"English",0.00174216027874564,10,4
"Indo-European","under",3,5,"English",0.00174216027874564,4,4
"Indo-European","act",3,3,"English",0.00174216027874564,11,4
"Indo-European","set",3,3,"English",0.00174216027874564,6,4
"Indo-European","forth",3,5,"English",0.00174216027874564,5,4
"Indo-European","political",3,9,"English",0.00174216027874564,4,4
"Indo-European","property",3,8,"English",0.00174216027874564,12,4
"Indo-European","on",3,2,"English",0.00174216027874564,12,4
"Indo-European","basis",3,5,"English",0.00174216027874564,5,4
"Indo-European","limitation",3,10,"English",0.00174216027874564,10,4
"Indo-European","security",3,8,"English",0.00174216027874564,9,4
"Indo-European","held",3,4,"English",0.00174216027874564,7,4
"Indo-European","subjected",3,9,"English",0.00174216027874564,7,4
"Indo-European","necessary",3,9,"English",0.00174216027874564,5,4
"Indo-European","was",3,3,"English",0.00174216027874564,4,4
"Indo-European","nor",3,3,"English",0.00174216027874564,10,4
"Indo-European","interference",3,12,"English",0.00174216027874564,7,4
"Indo-European","including",3,9,"English",0.00174216027874564,9,4
"Indo-European","marriage",3,8,"English",0.00174216027874564,5,5
"Indo-European","alone",3,5,"English",0.00174216027874564,7,5
"Indo-European","association",3,11,"English",0.00174216027874564,4,5
"Indo-European","others",3,6,"English",0.00174216027874564,9,5
"Indo-European","community",3,9,"English",0.00174216027874564,9,5
"Indo-European","through",3,7,"English",0.00174216027874564,7,5
"Indo-European","personality",3,11,"English",0.00174216027874564,6,5
"Indo-European","work",3,4,"English",0.00174216027874564,7,5
"Indo-European","just",3,4,"English",0.00174216027874564,8,5
