"family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"Indo-European","la",108,2,"Esperanto",0.0640569395017794,9,1
"Indo-European","kaj",105,3,"Esperanto",0.0622775800711744,3,1
"Indo-European","de",77,2,"Esperanto",0.0456702253855279,7,1
"Indo-European","ŭ",44,1,"Esperanto",0.0260972716488731,7,1
"Indo-European","en",31,2,"Esperanto",0.0183867141162515,9,1
"Indo-European","ĉiu",31,3,"Esperanto",0.0183867141162515,7,1
"Indo-European","a",31,1,"Esperanto",0.0183867141162515,6,1
"Indo-European","Artikolo",28,8,"Esperanto",0.0166073546856465,6,1
"Indo-European","je",20,2,"Esperanto",0.0118623962040332,2,1
"Indo-European","rajtas",20,6,"Esperanto",0.0118623962040332,6,1
"Indo-European","al",19,2,"Esperanto",0.0112692763938316,9,1
"Indo-European","rajtoj",18,6,"Esperanto",0.0106761565836299,4,1
"Indo-European","estu",18,4,"Esperanto",0.0106761565836299,2,2
"Indo-European","por",16,3,"Esperanto",0.00948991696322657,6,2
"Indo-European","ajn",16,3,"Esperanto",0.00948991696322657,8,2
"Indo-European","havas",15,5,"Esperanto",0.00889679715302491,10,2
"Indo-European","kiu",14,3,"Esperanto",0.00830367734282325,7,2
"Indo-European","rajton",14,6,"Esperanto",0.00830367734282325,4,2
"Indo-European","estas",13,5,"Esperanto",0.00771055753262159,4,2
"Indo-European","ke",12,2,"Esperanto",0.00711743772241993,3,2
"Indo-European","kontra",11,6,"Esperanto",0.00652431791221827,8,2
"Indo-European","ĉi",11,2,"Esperanto",0.00652431791221827,5,2
"Indo-European","liberecoj",9,9,"Esperanto",0.00533807829181495,5,2
"Indo-European","tio",8,3,"Esperanto",0.00474495848161329,9,2
"Indo-European","tiu",8,3,"Esperanto",0.00474495848161329,8,2
"Indo-European","per",8,3,"Esperanto",0.00474495848161329,7,2
"Indo-European","ricevi",8,6,"Esperanto",0.00474495848161329,9,2
"Indo-European","pro",8,3,"Esperanto",0.00474495848161329,2,2
"Indo-European","Pro",7,3,"Esperanto",0.00415183867141162,3,2
"Indo-European","ĉiuj",7,4,"Esperanto",0.00415183867141162,7,2
"Indo-European","ĉu",7,2,"Esperanto",0.00415183867141162,8,2
"Indo-European","ĝi",7,2,"Esperanto",0.00415183867141162,5,2
"Indo-European","sia",7,3,"Esperanto",0.00415183867141162,9,2
"Indo-European","ĝo",6,2,"Esperanto",0.00355871886120996,10,2
"Indo-European","homoj",6,5,"Esperanto",0.00355871886120996,6,2
"Indo-European","kiel",6,4,"Esperanto",0.00355871886120996,9,2
"Indo-European","alia",6,4,"Esperanto",0.00355871886120996,2,2
"Indo-European","edukado",6,7,"Esperanto",0.00355871886120996,3,2
"Indo-European","Neniu",6,5,"Esperanto",0.00355871886120996,7,2
"Indo-European","aliaj",6,5,"Esperanto",0.00355871886120996,7,2
"Indo-European","digno",5,5,"Esperanto",0.0029655990510083,6,2
"Indo-European","egalaj",5,6,"Esperanto",0.0029655990510083,10,2
"Indo-European","kiuj",5,4,"Esperanto",0.0029655990510083,3,2
"Indo-European","sen",5,3,"Esperanto",0.0029655990510083,9,2
"Indo-European","Nacioj",5,6,"Esperanto",0.0029655990510083,10,2
"Indo-European","sian",5,4,"Esperanto",0.0029655990510083,6,2
"Indo-European","libereco",5,8,"Esperanto",0.0029655990510083,8,2
"Indo-European","socio",5,5,"Esperanto",0.0029655990510083,4,2
"Indo-European","Ĉiuj",5,4,"Esperanto",0.0029655990510083,2,2
"Indo-European","kia",5,3,"Esperanto",0.0029655990510083,2,3
"Indo-European","protekto",5,8,"Esperanto",0.0029655990510083,8,3
"Indo-European","li",5,2,"Esperanto",0.0029655990510083,9,3
"Indo-European","lia",5,3,"Esperanto",0.0029655990510083,7,3
"Indo-European","Deklaracio",4,10,"Esperanto",0.00237247924080664,10,3
"Indo-European","familio",4,7,"Esperanto",0.00237247924080664,5,3
"Indo-European","homaj",4,5,"Esperanto",0.00237247924080664,4,3
"Indo-European","liberecon",4,9,"Esperanto",0.00237247924080664,4,3
"Indo-European","el",4,2,"Esperanto",0.00237247924080664,7,3
"Indo-European","ne",4,2,"Esperanto",0.00237247924080664,1,3
"Indo-European","popoloj",4,7,"Esperanto",0.00237247924080664,3,3
"Indo-European","Unui",4,4,"Esperanto",0.00237247924080664,13,3
"Indo-European","ĝintaj",4,6,"Esperanto",0.00237247924080664,9,3
"Indo-European","personeco",4,9,"Esperanto",0.00237247924080664,4,3
"Indo-European","anta",4,4,"Esperanto",0.00237247924080664,5,3
"Indo-European","pli",4,3,"Esperanto",0.00237247924080664,9,3
"Indo-European","kun",4,3,"Esperanto",0.00237247924080664,6,3
"Indo-European","tiuj",4,4,"Esperanto",0.00237247924080664,8,3
"Indo-European","plena",4,5,"Esperanto",0.00237247924080664,6,3
"Indo-European","difinitaj",4,9,"Esperanto",0.00237247924080664,9,3
"Indo-European","socia",4,5,"Esperanto",0.00237247924080664,10,3
"Indo-European","internacia",4,10,"Esperanto",0.00237247924080664,6,3
"Indo-European","lando",4,5,"Esperanto",0.00237247924080664,7,3
"Indo-European","diskriminacio",4,13,"Esperanto",0.00237247924080664,6,3
"Indo-European","egala",4,5,"Esperanto",0.00237247924080664,5,3
"Indo-European","protekton",4,9,"Esperanto",0.00237247924080664,5,3
"Indo-European","publika",4,7,"Esperanto",0.00237247924080664,6,3
"Indo-European","o",4,1,"Esperanto",0.00237247924080664,4,3
"Indo-European","rajto",4,5,"Esperanto",0.00237247924080664,7,3
"Indo-European","libera",4,6,"Esperanto",0.00237247924080664,7,3
"Indo-European","ĝon",3,3,"Esperanto",0.00177935943060498,5,3
"Indo-European","nepre",3,5,"Esperanto",0.00177935943060498,8,3
"Indo-European","inter",3,5,"Esperanto",0.00177935943060498,11,3
"Indo-European","nacioj",3,6,"Esperanto",0.00177935943060498,5,3
"Indo-European","kredon",3,6,"Esperanto",0.00177935943060498,3,3
"Indo-European","fundamentaj",3,11,"Esperanto",0.00177935943060498,1,3
"Indo-European","homa",3,4,"Esperanto",0.00177935943060498,5,3
"Indo-European","tiun",3,4,"Esperanto",0.00177935943060498,7,3
"Indo-European","Deklaracion",3,11,"Esperanto",0.00177935943060498,9,3
"Indo-European","naciaj",3,6,"Esperanto",0.00177935943060498,6,3
"Indo-European","mem",3,3,"Esperanto",0.00177935943060498,2,3
"Indo-European","sub",3,3,"Esperanto",0.00177935943060498,2,3
"Indo-European","religio",3,7,"Esperanto",0.00177935943060498,5,3
"Indo-European","ĵoj",3,3,"Esperanto",0.00177935943060498,11,3
"Indo-European","persono",3,7,"Esperanto",0.00177935943060498,11,3
"Indo-European","sekureco",3,8,"Esperanto",0.00177935943060498,8,3
"Indo-European","siaj",3,4,"Esperanto",0.00177935943060498,7,3
"Indo-European","suferu",3,6,"Esperanto",0.00177935943060498,7,3
"Indo-European","jure",3,4,"Esperanto",0.00177935943060498,3,3
"Indo-European","necesaj",3,7,"Esperanto",0.00177935943060498,1,3
"Indo-European","estis",3,5,"Esperanto",0.00177935943060498,6,4
"Indo-European","libere",3,6,"Esperanto",0.00177935943060498,7,4
"Indo-European","neniu",3,5,"Esperanto",0.00177935943060498,7,4
"Indo-European","i",3,1,"Esperanto",0.00177935943060498,11,4
"Indo-European","sole",3,4,"Esperanto",0.00177935943060498,7,4
"Indo-European","Ŝtato",3,5,"Esperanto",0.00177935943060498,3,4
"Indo-European","partopreni",3,10,"Esperanto",0.00177935943060498,5,4
"Indo-European","kiun",3,4,"Esperanto",0.00177935943060498,5,4
"Indo-European","Homaj",2,5,"Esperanto",0.00118623962040332,7,4
"Indo-European","Rajtoj",2,6,"Esperanto",0.00118623962040332,4,4
"Indo-European","proklamita",2,10,"Esperanto",0.00118623962040332,8,4
