"family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"Uralic","ja",94,2,"Finnish",0.06496199032481,10,1
"Uralic","on",64,2,"Finnish",0.0442294402211472,5,1
"Uralic","oikeus",34,6,"Finnish",0.0234968901174845,12,1
"Uralic","artikla",30,7,"Finnish",0.0207325501036628,8,1
"Uralic","tai",26,3,"Finnish",0.017968210089841,5,1
"Uralic","jokaisella",26,10,"Finnish",0.017968210089841,6,1
"Uralic","sekä",17,4,"Finnish",0.0117484450587422,12,1
"Uralic","ei",14,2,"Finnish",0.00967519004837595,10,1
"Uralic","n",13,1,"Finnish",0.00898410504492052,5,1
"Uralic","kun",10,3,"Finnish",0.00691085003455425,14,1
"Uralic","hänen",10,5,"Finnish",0.00691085003455425,8,1
"Uralic","vastaan",7,7,"Finnish",0.00483759502418798,9,1
"Uralic","ovat",7,4,"Finnish",0.00483759502418798,7,2
"Uralic","kaikkien",7,8,"Finnish",0.00483759502418798,12,2
"Uralic","sen",7,3,"Finnish",0.00483759502418798,6,2
"Uralic","saa",7,3,"Finnish",0.00483759502418798,8,2
"Uralic","kansakuntien",6,12,"Finnish",0.00414651002073255,10,2
"Uralic","julistuksen",6,11,"Finnish",0.00414651002073255,7,2
"Uralic","kansojen",5,8,"Finnish",0.00345542501727713,10,2
"Uralic","nauttia",5,7,"Finnish",0.00345542501727713,13,2
"Uralic","ketään",5,6,"Finnish",0.00345542501727713,15,2
"Uralic","suojaan",5,7,"Finnish",0.00345542501727713,10,2
"Uralic","ihmisoikeuksien",4,15,"Finnish",0.0027643400138217,10,2
"Uralic","tämän",4,5,"Finnish",0.0027643400138217,5,2
"Uralic","riippumatta",4,11,"Finnish",0.0027643400138217,5,2
"Uralic","jotka",4,5,"Finnish",0.0027643400138217,11,2
"Uralic","vapaasti",4,8,"Finnish",0.0027643400138217,8,2
"Uralic","kaikki",4,6,"Finnish",0.0027643400138217,10,2
"Uralic","tässä",4,5,"Finnish",0.0027643400138217,11,2
"Uralic","lain",4,4,"Finnish",0.0027643400138217,12,2
"Uralic","mielivaltaisesti",4,16,"Finnish",0.0027643400138217,7,2
"Uralic","yhteiskunnan",4,12,"Finnish",0.0027643400138217,12,2
"Uralic","opetuksen",4,9,"Finnish",0.0027643400138217,5,2
"Uralic","oltava",4,6,"Finnish",0.0027643400138217,11,3
"Uralic","yhdistyneiden",3,13,"Finnish",0.00207325501036628,9,3
"Uralic","yleiskokous",3,11,"Finnish",0.00207325501036628,16,3
"Uralic","myös",3,4,"Finnish",0.00207325501036628,11,3
"Uralic","kielillä",3,8,"Finnish",0.00207325501036628,12,3
"Uralic","heidän",3,6,"Finnish",0.00207325501036628,10,3
"Uralic","että",3,4,"Finnish",0.00207325501036628,6,3
"Uralic","edistää",3,7,"Finnish",0.00207325501036628,6,3
"Uralic","edistämään",3,10,"Finnish",0.00207325501036628,11,3
"Uralic","kanssa",3,6,"Finnish",0.00207325501036628,7,3
"Uralic","niiden",3,6,"Finnish",0.00207325501036628,6,3
"Uralic","julistuksessa",3,13,"Finnish",0.00207325501036628,7,3
"Uralic","ilman",3,5,"Finnish",0.00207325501036628,5,3
"Uralic","pidä",3,4,"Finnish",0.00207325501036628,8,3
"Uralic","kansainvälisen",3,14,"Finnish",0.00207325501036628,7,3
"Uralic","tämä",3,4,"Finnish",0.00207325501036628,13,3
"Uralic","ihmisellä",3,9,"Finnish",0.00207325501036628,9,3
"Uralic","siihen",3,6,"Finnish",0.00207325501036628,6,3
"Uralic","teoista",3,7,"Finnish",0.00207325501036628,15,3
"Uralic","toisten",3,7,"Finnish",0.00207325501036628,5,3
"Uralic","oikeuksia",3,9,"Finnish",0.00207325501036628,7,3
"Uralic","yleismaailmallisen",2,18,"Finnish",0.00138217000691085,11,3
"Uralic","maata",2,5,"Finnish",0.00138217000691085,7,3
"Uralic","välittömästi",2,12,"Finnish",0.00138217000691085,10,3
"Uralic","kaikkea",2,7,"Finnish",0.00138217000691085,4,3
"Uralic","muissa",2,6,"Finnish",0.00138217000691085,15,3
"Uralic","alueiden",2,8,"Finnish",0.00138217000691085,4,3
"Uralic","tunnustaminen",2,13,"Finnish",0.00138217000691085,14,3
"Uralic","rauhan",2,6,"Finnish",0.00138217000691085,3,3
"Uralic","ne",2,2,"Finnish",0.00138217000691085,12,3
"Uralic","ihmiset",2,7,"Finnish",0.00138217000691085,5,3
"Uralic","voivat",2,6,"Finnish",0.00138217000691085,7,3
"Uralic","utta",2,4,"Finnish",0.00138217000691085,7,3
"Uralic","vapaina",2,7,"Finnish",0.00138217000691085,5,3
"Uralic","turvataan",2,9,"Finnish",0.00138217000691085,6,4
"Uralic","jotta",2,5,"Finnish",0.00138217000691085,6,4
"Uralic","ihmisten",2,8,"Finnish",0.00138217000691085,14,4
"Uralic","k",2,1,"Finnish",0.00138217000691085,6,4
"Uralic","oikeuksiin",2,10,"Finnish",0.00138217000691085,11,4
"Uralic","yhtei",2,5,"Finnish",0.00138217000691085,4,4
"Uralic","kunnioittamista",2,15,"Finnish",0.00138217000691085,4,4
"Uralic","näiden",2,6,"Finnish",0.00138217000691085,6,4
"Uralic","oikeuksien",2,10,"Finnish",0.00138217000691085,6,4
"Uralic","niin",2,4,"Finnish",0.00138217000691085,7,4
"Uralic","kukin",2,5,"Finnish",0.00138217000691085,6,4
"Uralic","opettamalla",2,11,"Finnish",0.00138217000691085,8,4
"Uralic","vapauksien",2,10,"Finnish",0.00138217000691085,8,4
"Uralic","turvaamaan",2,10,"Finnish",0.00138217000691085,11,4
"Uralic","yleisen",2,7,"Finnish",0.00138217000691085,9,4
"Uralic","a",2,1,"Finnish",0.00138217000691085,6,4
"Uralic","kohtaan",2,7,"Finnish",0.00138217000691085,17,4
"Uralic","minkäänlaista",2,13,"Finnish",0.00138217000691085,11,4
"Uralic","muuhun",2,6,"Finnish",0.00138217000691085,9,4
"Uralic","yhteiskunnalliseen",2,18,"Finnish",0.00138217000691085,7,4
"Uralic","erotusta",2,8,"Finnish",0.00138217000691085,12,4
"Uralic","mitään",2,6,"Finnish",0.00138217000691085,7,4
"Uralic","myöskään",2,8,"Finnish",0.00138217000691085,8,4
"Uralic","maan",2,4,"Finnish",0.00138217000691085,7,4
"Uralic","henkilö",2,7,"Finnish",0.00138217000691085,7,4
"Uralic","muun",2,4,"Finnish",0.00138217000691085,2,4
"Uralic","alainen",2,7,"Finnish",0.00138217000691085,18,4
"Uralic","pitää",2,5,"Finnish",0.00138217000691085,5,4
"Uralic","eikä",2,4,"Finnish",0.00138217000691085,2,4
"Uralic","e",2,1,"Finnish",0.00138217000691085,6,4
"Uralic","edessä",2,6,"Finnish",0.00138217000691085,10,4
"Uralic","oikeutetut",2,10,"Finnish",0.00138217000691085,14,4
"Uralic","kaikilla",2,8,"Finnish",0.00138217000691085,10,4
"Uralic","syrjintää",2,9,"Finnish",0.00138217000691085,6,4
"Uralic","sellaiseen",2,10,"Finnish",0.00138217000691085,12,4
"Uralic","tuomioistuimessa",2,16,"Finnish",0.00138217000691085,6,4
"Uralic","hänelle",2,7,"Finnish",0.00138217000691085,3,4
"Uralic","lailla",2,6,"Finnish",0.00138217000691085,17,4
"Uralic","ta",2,2,"Finnish",0.00138217000691085,13,4
"Uralic","täysin",2,6,"Finnish",0.00138217000691085,12,4
"Uralic","häntä",2,5,"Finnish",0.00138217000691085,10,4
"Uralic","julkisesti",2,10,"Finnish",0.00138217000691085,8,4
"Uralic","oikeuksiaan",2,11,"Finnish",0.00138217000691085,6,4
"Uralic","olevan",2,6,"Finnish",0.00138217000691085,7,4
"Uralic","tuomita",2,7,"Finnish",0.00138217000691085,11,4
"Uralic","t",2,1,"Finnish",0.00138217000691085,8,5
"Uralic","ai",2,2,"Finnish",0.00138217000691085,10,5
"Uralic","kuin",2,4,"Finnish",0.00138217000691085,11,5
"Uralic","mikä",2,4,"Finnish",0.00138217000691085,7,5
"Uralic","älköön",2,6,"Finnish",0.00138217000691085,2,5
