"family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"Japonic","の",156,1,"Japanese",0.0669527896995708,1,1
"Japonic","を",127,1,"Japanese",0.0545064377682403,2,1
"Japonic","に",127,1,"Japanese",0.0545064377682403,1,1
"Japonic","は",104,1,"Japanese",0.0446351931330472,2,1
"Japonic","て",55,1,"Japanese",0.0236051502145923,2,1
"Japonic","権利",49,2,"Japanese",0.0210300429184549,4,1
"Japonic","及び",49,2,"Japanese",0.0210300429184549,2,1
"Japonic","と",47,1,"Japanese",0.0201716738197425,3,1
"Japonic","すべて",40,3,"Japanese",0.0171673819742489,2,1
"Japonic","人",39,1,"Japanese",0.0167381974248927,2,1
"Japonic","的",38,1,"Japanese",0.0163090128755365,2,1
"Japonic","する",37,2,"Japanese",0.0158798283261803,2,1
"Japonic","有する",37,3,"Japanese",0.0158798283261803,2,1
"Japonic","条",31,1,"Japanese",0.0133047210300429,2,1
"Japonic","第",30,1,"Japanese",0.0128755364806867,3,1
"Japonic","で",30,1,"Japanese",0.0128755364806867,2,1
"Japonic","自由",30,2,"Japanese",0.0128755364806867,2,1
"Japonic","し",29,1,"Japanese",0.0124463519313305,1,1
"Japonic","な",29,1,"Japanese",0.0124463519313305,2,1
"Japonic","こと",28,2,"Japanese",0.0120171673819742,1,1
"Japonic","ない",26,2,"Japanese",0.0111587982832618,1,1
"Japonic","も",23,1,"Japanese",0.00987124463519313,3,1
"Japonic","又",23,1,"Japanese",0.00987124463519313,2,1
"Japonic","が",18,1,"Japanese",0.00772532188841202,1,1
"Japonic","受ける",18,3,"Japanese",0.00772532188841202,1,1
"Japonic","さ",16,1,"Japanese",0.00686695278969957,2,1
"Japonic","社会",15,2,"Japanese",0.00643776824034335,2,1
"Japonic","なら",15,2,"Japanese",0.00643776824034335,2,1
"Japonic","ある",13,2,"Japanese",0.0055793991416309,2,1
"Japonic","かつ",13,2,"Japanese",0.0055793991416309,1,1
"Japonic","この",13,2,"Japanese",0.0055793991416309,1,1
"Japonic","その",13,2,"Japanese",0.0055793991416309,2,1
"Japonic","た",12,1,"Japanese",0.00515021459227468,3,1
"Japonic","れ",12,1,"Japanese",0.00515021459227468,1,1
"Japonic","自己",12,2,"Japanese",0.00515021459227468,2,1
"Japonic","よっ",11,2,"Japanese",0.00472103004291845,2,1
"Japonic","なけれ",11,3,"Japanese",0.00472103004291845,2,1
"Japonic","ば",11,1,"Japanese",0.00472103004291845,2,1
"Japonic","れる",11,2,"Japanese",0.00472103004291845,2,1
"Japonic","保護",10,2,"Japanese",0.00429184549356223,2,1
"Japonic","教育",10,2,"Japanese",0.00429184549356223,5,1
"Japonic","対し",10,2,"Japanese",0.00429184549356223,2,1
"Japonic","宣言",9,2,"Japanese",0.00386266094420601,2,1
"Japonic","国際",9,2,"Japanese",0.00386266094420601,2,1
"Japonic","おい",9,2,"Japanese",0.00386266094420601,3,1
"Japonic","人権",8,2,"Japanese",0.00343347639484979,2,1
"Japonic","平等",8,2,"Japanese",0.00343347639484979,2,1
"Japonic","国",8,1,"Japanese",0.00343347639484979,2,1
"Japonic","また",8,2,"Japanese",0.00343347639484979,3,1
"Japonic","他",8,1,"Japanese",0.00343347639484979,3,1
"Japonic","何",8,1,"Japanese",0.00343347639484979,3,1
"Japonic","いかなる",8,4,"Japanese",0.00343347639484979,2,1
"Japonic","者",8,1,"Japanese",0.00343347639484979,2,1
"Japonic","対する",7,3,"Japanese",0.00300429184549356,2,1
"Japonic","法",7,1,"Japanese",0.00300429184549356,2,1
"Japonic","られ",6,2,"Japanese",0.00257510729613734,2,1
"Japonic","完全",6,2,"Japanese",0.00257510729613734,2,1
"Japonic","宗教",6,2,"Japanese",0.00257510729613734,1,1
"Japonic","よる",6,2,"Japanese",0.00257510729613734,1,1
"Japonic","差別",6,2,"Japanese",0.00257510729613734,4,1
"Japonic","労働",6,2,"Japanese",0.00257510729613734,2,1
"Japonic","尊厳",5,2,"Japanese",0.00214592274678112,3,1
"Japonic","る",5,1,"Japanese",0.00214592274678112,2,1
"Japonic","行為",5,2,"Japanese",0.00214592274678112,1,1
"Japonic","人間",5,2,"Japanese",0.00214592274678112,2,1
"Japonic","よう",5,2,"Japanese",0.00214592274678112,1,1
"Japonic","ため",5,2,"Japanese",0.00214592274678112,2,1
"Japonic","促進",5,2,"Japanese",0.00214592274678112,2,1
"Japonic","連合",5,2,"Japanese",0.00214592274678112,2,1
"Japonic","生活",5,2,"Japanese",0.00214592274678112,2,1
"Japonic","これ",5,2,"Japanese",0.00214592274678112,3,1
"Japonic","ら",5,1,"Japanese",0.00214592274678112,2,1
"Japonic","地域",5,2,"Japanese",0.00214592274678112,4,1
"Japonic","もしくは",5,4,"Japanese",0.00214592274678112,2,1
"Japonic","なく",5,2,"Japanese",0.00214592274678112,2,1
"Japonic","享有",5,2,"Japanese",0.00214592274678112,2,1
"Japonic","並びに",5,3,"Japanese",0.00214592274678112,2,1
"Japonic","目的",5,2,"Japanese",0.00214592274678112,2,1
"Japonic","婚姻",5,2,"Japanese",0.00214592274678112,1,1
"Japonic","保障",5,2,"Japanese",0.00214592274678112,2,1
"Japonic","世界",4,2,"Japanese",0.00171673819742489,1,1
"Japonic","基礎",4,2,"Japanese",0.00171673819742489,2,1
"Japonic","受け",4,2,"Japanese",0.00171673819742489,2,1
"Japonic","間",4,1,"Japanese",0.00171673819742489,3,1
"Japonic","発展",4,2,"Japanese",0.00171673819742489,2,1
"Japonic","基本",4,2,"Japanese",0.00171673819742489,2,1
"Japonic","尊重",4,2,"Japanese",0.00171673819742489,2,1
"Japonic","人民",4,2,"Japanese",0.00171673819742489,2,1
"Japonic","下",4,1,"Japanese",0.00171673819742489,2,1
"Japonic","政治",4,2,"Japanese",0.00171673819742489,3,1
"Japonic","上",4,1,"Japanese",0.00171673819742489,3,1
"Japonic","い",4,1,"Japanese",0.00171673819742489,2,1
"Japonic","か",4,1,"Japanese",0.00171673819742489,2,1
"Japonic","権",4,1,"Japanese",0.00171673819742489,1,1
"Japonic","利",4,1,"Japanese",0.00171673819742489,2,2
"Japonic","制限",4,2,"Japanese",0.00171673819742489,2,2
"Japonic","ず",4,1,"Japanese",0.00171673819742489,2,2
"Japonic","ほしいまま",4,5,"Japanese",0.00171673819742489,3,2
"Japonic","公平",4,2,"Japanese",0.00171673819742489,2,2
"Japonic","犯罪",4,2,"Japanese",0.00171673819742489,2,2
"Japonic","より",4,2,"Japanese",0.00171673819742489,2,2
"Japonic","自国",4,2,"Japanese",0.00171673819742489,1,2
"Japonic","場合",4,2,"Japanese",0.00171673819742489,2,2
"Japonic","国籍",4,2,"Japanese",0.00171673819742489,1,2
"Japonic","国連",3,2,"Japanese",0.00128755364806867,3,2
"Japonic","でき",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","平和",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","良心",3,2,"Japanese",0.00128755364806867,3,2
"Japonic","一般",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","手段",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","す",3,1,"Japanese",0.00128755364806867,2,2
"Japonic","並び",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","男女",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","つい",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","信念",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","加盟",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","個人",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","人種",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","意見",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","財産",3,2,"Japanese",0.00128755364806867,1,2
"Japonic","掲げる",3,3,"Japanese",0.00128755364806867,2,2
"Japonic","できる",3,3,"Japanese",0.00128755364806867,2,2
"Japonic","国又",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","非",3,1,"Japanese",0.00128755364806867,2,2
"Japonic","奴隷",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","法律",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","裁判",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","義務",3,2,"Japanese",0.00128755364806867,1,2
"Japonic","必要",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","家族",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","家庭",3,2,"Japanese",0.00128755364806867,1,2
"Japonic","干渉",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","もつ",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","意思",3,2,"Japanese",0.00128755364806867,1,2
"Japonic","のみ",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","集団",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","含む",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","選挙",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","もの",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","同等",3,2,"Japanese",0.00128755364806867,3,2
"Japonic","人格",3,2,"Japanese",0.00128755364806867,2,2
"Japonic","総会",2,2,"Japanese",0.000858369098712446,2,2
"Japonic","人類",2,2,"Japanese",0.000858369098712446,2,2
"Japonic","構成",2,2,"Japanese",0.000858369098712446,2,2
"Japonic","認",2,1,"Japanese",0.000858369098712446,2,2
"Japonic","おけ",2,2,"Japanese",0.000858369098712446,5,2
"Japonic","び",2,1,"Japanese",0.000858369098712446,2,2
"Japonic","肝要",2,2,"Japanese",0.000858369098712446,2,2
"Japonic","諸国",2,2,"Japanese",0.000858369098712446,1,2
"Japonic","友好",2,2,"Japanese",0.000858369098712446,2,2
"Japonic","関係",2,2,"Japanese",0.000858369098712446,1,2
"Japonic","進歩",2,2,"Japanese",0.000858369098712446,2,2
"Japonic","水準",2,2,"Japanese",0.000858369098712446,1,2
"Japonic","協力",2,2,"Japanese",0.000858369098712446,1,2
"Japonic","普遍",2,2,"Japanese",0.000858369098712446,2,2
"Japonic","達成",2,2,"Japanese",0.000858369098712446,4,2
"Japonic","誓約",2,2,"Japanese",0.000858369098712446,2,2
"Japonic","共通",2,2,"Japanese",0.000858369098712446,2,2
"Japonic","理解",2,2,"Japanese",0.000858369098712446,1,2
"Japonic","もっ",2,2,"Japanese",0.000858369098712446,3,2
"Japonic","とも",2,2,"Japanese",0.000858369098712446,2,2
"Japonic","各",2,1,"Japanese",0.000858369098712446,2,2
"Japonic","ながら",2,3,"Japanese",0.000858369098712446,1,2
"Japonic","管轄",2,2,"Japanese",0.000858369098712446,2,2
"Japonic","確保",2,2,"Japanese",0.000858369098712446,2,2
"Japonic","努力",2,2,"Japanese",0.000858369098712446,2,2
"Japonic","あり",2,2,"Japanese",0.000858369098712446,2,2
"Japonic","精神",2,2,"Japanese",0.000858369098712446,2,2
"Japonic","地位",2,2,"Japanese",0.000858369098712446,2,2
"Japonic","なる",2,2,"Japanese",0.000858369098712446,1,2
"Japonic","属する",2,3,"Japanese",0.000858369098712446,2,2
