"family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"Koreanic","모든",44,2,"Korean",0.0380293863439931,3,1
"Koreanic","권리를",34,3,"Korean",0.0293863439930856,4,1
"Koreanic","가진다",33,3,"Korean",0.0285220397579948,3,1
"Koreanic","사람은",31,3,"Korean",0.0267934312878133,2,1
"Koreanic","제",30,1,"Korean",0.0259291270527226,3,1
"Koreanic","조",30,1,"Korean",0.0259291270527226,3,1
"Koreanic","또는",28,2,"Korean",0.0242005185825411,4,1
"Koreanic","대한",18,2,"Korean",0.0155574762316335,3,1
"Koreanic","및",12,1,"Korean",0.010371650821089,4,1
"Koreanic","받을",12,2,"Korean",0.010371650821089,5,1
"Koreanic","권리와",11,3,"Korean",0.00950734658599827,2,1
"Koreanic","자신의",10,3,"Korean",0.00864304235090752,2,1
"Koreanic","이러한",9,3,"Korean",0.00777873811581677,3,1
"Koreanic","어떠한",9,3,"Korean",0.00777873811581677,3,1
"Koreanic","아니한다",9,4,"Korean",0.00777873811581677,3,1
"Koreanic","그리고",8,3,"Korean",0.00691443388072602,3,1
"Koreanic","이",8,1,"Korean",0.00691443388072602,3,1
"Koreanic","어느",8,2,"Korean",0.00691443388072602,3,1
"Koreanic","누구도",8,3,"Korean",0.00691443388072602,3,1
"Koreanic","수",7,1,"Korean",0.00605012964563526,5,1
"Koreanic","자유를",7,3,"Korean",0.00605012964563526,2,1
"Koreanic","자유에",7,3,"Korean",0.00605012964563526,3,1
"Koreanic","그",6,1,"Korean",0.00518582541054451,3,2
"Koreanic","동등한",6,3,"Korean",0.00518582541054451,3,2
"Koreanic","한다",6,2,"Korean",0.00518582541054451,3,2
"Koreanic","대하여",6,3,"Korean",0.00518582541054451,3,2
"Koreanic","있는",5,2,"Korean",0.00432152117545376,3,2
"Koreanic","사회적",5,3,"Korean",0.00432152117545376,3,2
"Koreanic","보호를",5,3,"Korean",0.00432152117545376,3,2
"Koreanic","다른",5,2,"Korean",0.00432152117545376,4,2
"Koreanic","것이",4,2,"Korean",0.00345721694036301,2,2
"Koreanic","의하여",4,3,"Korean",0.00345721694036301,4,2
"Koreanic","국제연합의",4,5,"Korean",0.00345721694036301,1,2
"Koreanic","기본적",4,3,"Korean",0.00345721694036301,4,2
"Koreanic","위하여",4,3,"Korean",0.00345721694036301,6,2
"Koreanic","통하여",4,3,"Korean",0.00345721694036301,1,2
"Koreanic","선언에",4,3,"Korean",0.00345721694036301,2,2
"Koreanic","국가",4,2,"Korean",0.00345721694036301,3,2
"Koreanic","자유와",4,3,"Korean",0.00345721694036301,3,2
"Koreanic","위한",4,2,"Korean",0.00345721694036301,2,2
"Koreanic","자유",3,2,"Korean",0.00259291270527226,2,2
"Koreanic","하는",3,2,"Korean",0.00259291270527226,2,2
"Koreanic","존엄과",3,3,"Korean",0.00259291270527226,5,2
"Koreanic","신념을",3,3,"Korean",0.00259291270527226,3,2
"Koreanic","완전한",3,3,"Korean",0.00259291270527226,3,2
