"family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"Indo-European","i",88,1,"Polish",0.0580092287409361,9,1
"Indo-European","do",50,2,"Polish",0.03295978905735,8,1
"Indo-European","w",43,1,"Polish",0.028345418589321,11,1
"Indo-European","prawo",38,5,"Polish",0.025049439683586,11,1
"Indo-European","ma",32,2,"Polish",0.021094264996704,7,1
"Indo-European","artykuł",30,7,"Polish",0.01977587343441,14,1
"Indo-European","każdy",30,5,"Polish",0.01977587343441,7,1
"Indo-European","człowiek",29,8,"Polish",0.019116677653263,6,1
"Indo-European","lub",25,3,"Polish",0.016479894528675,10,1
"Indo-European","z",19,1,"Polish",0.012524719841793,5,1
"Indo-European","praw",17,4,"Polish",0.011206328279499,6,1
"Indo-European","wolności",17,8,"Polish",0.011206328279499,9,1
"Indo-European","nie",17,3,"Polish",0.011206328279499,3,1
"Indo-European","jego",15,4,"Polish",0.00988793671720501,10,2
"Indo-European","na",14,2,"Polish",0.00922874093605801,12,2
"Indo-European","jest",12,4,"Polish",0.00791034937376401,3,2
"Indo-European","się",11,3,"Polish",0.00725115359261701,1,2
"Indo-European","prawa",9,5,"Polish",0.00593276203032301,3,2
"Indo-European","wolno",9,5,"Polish",0.00593276203032301,2,2
"Indo-European","że",8,2,"Polish",0.005273566249176,4,2
"Indo-European","oraz",8,4,"Polish",0.005273566249176,9,2
"Indo-European","ochrony",8,7,"Polish",0.005273566249176,6,2
"Indo-European","człowieka",7,9,"Polish",0.004614370468029,4,2
"Indo-European","ZWAŻYWSZY",7,9,"Polish",0.004614370468029,4,2
"Indo-European","o",7,1,"Polish",0.004614370468029,13,2
"Indo-European","bez",7,3,"Polish",0.004614370468029,10,2
"Indo-European","to",7,2,"Polish",0.004614370468029,7,2
"Indo-European","nikogo",7,6,"Polish",0.004614370468029,6,2
"Indo-European","narodów",6,7,"Polish",0.003955174686882,9,2
"Indo-European","deklaracji",6,10,"Polish",0.003955174686882,8,2
"Indo-European","mają",6,4,"Polish",0.003955174686882,8,2
"Indo-European","wszystkich",5,10,"Polish",0.003295978905735,2,2
"Indo-European","aby",5,3,"Polish",0.003295978905735,5,2
"Indo-European","społeczeństwa",5,13,"Polish",0.003295978905735,16,3
"Indo-European","za",5,2,"Polish",0.003295978905735,6,3
"Indo-European","swych",5,5,"Polish",0.003295978905735,13,3
"Indo-European","są",5,2,"Polish",0.003295978905735,5,3
"Indo-European","niniejszej",5,10,"Polish",0.003295978905735,11,3
"Indo-European","względu",5,7,"Polish",0.003295978905735,1,3
"Indo-European","wyznania",5,8,"Polish",0.003295978905735,13,3
"Indo-European","kraju",5,5,"Polish",0.003295978905735,4,3
"Indo-European","ani",5,3,"Polish",0.003295978905735,10,3
"Indo-European","godności",4,8,"Polish",0.002636783124588,6,3
"Indo-European","jako",4,4,"Polish",0.002636783124588,7,3
"Indo-European","od",4,2,"Polish",0.002636783124588,9,3
"Indo-European","konieczne",4,9,"Polish",0.002636783124588,9,3
"Indo-European","państwa",4,7,"Polish",0.002636783124588,4,3
"Indo-European","zjednoczonych",4,13,"Polish",0.002636783124588,10,3
"Indo-European","dla",4,3,"Polish",0.002636783124588,6,3
"Indo-European","wszyscy",4,7,"Polish",0.002636783124588,7,3
"Indo-European","wszystkie",4,9,"Polish",0.002636783124588,12,3
"Indo-European","prawnej",4,7,"Polish",0.002636783124588,6,3
"Indo-European","sposób",4,6,"Polish",0.002636783124588,11,3
"Indo-European","osobowości",4,10,"Polish",0.002636783124588,8,3
"Indo-European","przez",4,5,"Polish",0.002636783124588,7,3
"Indo-European","samowolnie",4,10,"Polish",0.002636783124588,1,3
"Indo-European","przestępstwa",4,12,"Polish",0.002636783124588,5,3
"Indo-European","być",4,3,"Polish",0.002636783124588,13,3
"Indo-European","swobodnego",4,10,"Polish",0.002636783124588,5,3
"Indo-European","pracy",4,5,"Polish",0.002636783124588,9,3
"Indo-European","ludzkiej",3,8,"Polish",0.001977587343441,15,4
"Indo-European","które",3,5,"Polish",0.001977587343441,6,4
"Indo-European","którym",3,6,"Polish",0.001977587343441,7,4
"Indo-European","ludzie",3,6,"Polish",0.001977587343441,9,4
"Indo-European","korzystać",3,9,"Polish",0.001977587343441,9,4
"Indo-European","przeciw",3,7,"Polish",0.001977587343441,13,4
