"family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"Indo-European","и",116,1,"Russian",0.0738383195416932,8,1
"Indo-European","в",51,1,"Russian",0.0324633991088479,9,1
"Indo-European","на",40,2,"Russian",0.0254614894971356,9,1
"Indo-European","право",38,5,"Russian",0.0241884150222788,3,1
"Indo-European","человек",32,7,"Russian",0.0203691915977085,6,1
"Indo-European","каждый",32,6,"Russian",0.0203691915977085,10,2
"Indo-European","имеет",30,5,"Russian",0.0190961171228517,8,2
"Indo-European","статья",30,6,"Russian",0.0190961171228517,11,2
"Indo-European","или",28,3,"Russian",0.0178230426479949,4,2
"Indo-European","его",19,3,"Russian",0.0120942075111394,12,2
"Indo-European","не",17,2,"Russian",0.0108211330362826,8,2
"Indo-European","быть",16,4,"Russian",0.0101845957988542,8,2
"Indo-European","прав",13,4,"Russian",0.00827498408656906,9,2
"Indo-European","к",12,1,"Russian",0.00763844684914067,7,2
"Indo-European","во",11,2,"Russian",0.00700190961171229,11,2
"Indo-European","для",11,3,"Russian",0.00700190961171229,9,2
"Indo-European","от",10,2,"Russian",0.0063653723742839,4,2
"Indo-European","свободу",10,7,"Russian",0.0063653723742839,7,2
"Indo-European","что",9,3,"Russian",0.00572883513685551,14,2
"Indo-European","должно",9,6,"Russian",0.00572883513685551,6,2
"Indo-European","может",9,5,"Russian",0.00572883513685551,3,3
"Indo-European","человека",8,8,"Russian",0.00509229789942712,13,3
"Indo-European","как",8,3,"Russian",0.00509229789942712,11,3
"Indo-European","никто",8,5,"Russian",0.00509229789942712,8,3
"Indo-European","принимая",7,8,"Russian",0.00445576066199873,10,3
"Indo-European","внимание",7,8,"Russian",0.00445576066199873,6,3
"Indo-European","при",7,3,"Russian",0.00445576066199873,10,3
"Indo-European","свобод",7,6,"Russian",0.00445576066199873,11,3
"Indo-European","то",7,2,"Russian",0.00445576066199873,6,3
"Indo-European","образование",7,11,"Russian",0.00445576066199873,8,3
"Indo-European","их",6,2,"Russian",0.00381922342457034,10,3
"Indo-European","содействовать",6,13,"Russian",0.00381922342457034,5,3
"Indo-European","свою",6,4,"Russian",0.00381922342457034,9,3
"Indo-European","с",6,1,"Russian",0.00381922342457034,11,3
"Indo-European","все",6,3,"Russian",0.00381922342457034,9,3
"Indo-European","защиту",6,6,"Russian",0.00381922342457034,1,3
"Indo-European","по",6,2,"Russian",0.00381922342457034,9,3
"Indo-European","права",5,5,"Russian",0.00318268618714195,11,3
