"family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"Niger-Congo","ya",125,2,"Swahili",0.0702247191011236,6,1
"Niger-Congo","na",114,2,"Swahili",0.0640449438202247,4,1
"Niger-Congo","haki",65,4,"Swahili",0.0365168539325843,5,1
"Niger-Congo","kwa",57,3,"Swahili",0.0320224719101124,4,1
"Niger-Congo","wa",43,2,"Swahili",0.0241573033707865,5,1
"Niger-Congo","mtu",37,3,"Swahili",0.0207865168539326,3,1
"Niger-Congo","cha",35,3,"Swahili",0.0196629213483146,9,1
"Niger-Congo","Kifungu",28,7,"Swahili",0.0157303370786517,6,2
"Niger-Congo","Kila",28,4,"Swahili",0.0157303370786517,6,2
"Niger-Congo","au",26,2,"Swahili",0.0146067415730337,7,2
"Niger-Congo","yake",26,4,"Swahili",0.0146067415730337,6,2
"Niger-Congo","ana",25,3,"Swahili",0.0140449438202247,8,2
"Niger-Congo","katika",21,6,"Swahili",0.0117977528089888,8,2
"Niger-Congo","za",20,2,"Swahili",0.0112359550561798,8,2
"Niger-Congo","uhuru",20,5,"Swahili",0.0112359550561798,7,2
"Niger-Congo","yote",19,4,"Swahili",0.0106741573033708,2,2
"Niger-Congo","watu",17,4,"Swahili",0.00955056179775281,3,2
"Niger-Congo","hali",16,4,"Swahili",0.00898876404494382,4,2
"Niger-Congo","nchi",15,4,"Swahili",0.00842696629213483,9,2
"Niger-Congo","sheria",14,6,"Swahili",0.00786516853932584,5,2
"Niger-Congo","kuwa",12,4,"Swahili",0.00674157303370787,4,2
"Niger-Congo","kazi",12,4,"Swahili",0.00674157303370787,11,2
"Niger-Congo","bila",11,4,"Swahili",0.00617977528089888,7,2
"Niger-Congo","yo",11,2,"Swahili",0.00617977528089888,7,2
"Niger-Congo","ni",11,2,"Swahili",0.00617977528089888,8,2
"Niger-Congo","kila",11,4,"Swahili",0.00617977528089888,10,2
"Niger-Congo","wote",10,4,"Swahili",0.00561797752808989,4,2
"Niger-Congo","hii",9,3,"Swahili",0.0050561797752809,3,2
"Niger-Congo","binadamu",9,8,"Swahili",0.0050561797752809,4,2
"Niger-Congo","Kwa",8,3,"Swahili",0.00449438202247191,7,2
"Niger-Congo","asili",8,5,"Swahili",0.00449438202247191,9,2
"Niger-Congo","sawa",8,4,"Swahili",0.00449438202247191,11,2
"Niger-Congo","maisha",8,6,"Swahili",0.00449438202247191,8,2
"Niger-Congo","kama",8,4,"Swahili",0.00449438202247191,6,2
"Niger-Congo","kati",8,4,"Swahili",0.00449438202247191,6,2
"Niger-Congo","anayo",8,5,"Swahili",0.00449438202247191,11,2
"Niger-Congo","la",7,2,"Swahili",0.00393258426966292,6,2
"Niger-Congo","Umoja",7,5,"Swahili",0.00393258426966292,5,2
"Niger-Congo","Mataifa",7,7,"Swahili",0.00393258426966292,6,2
"Niger-Congo","Taarifa",7,7,"Swahili",0.00393258426966292,2,2
"Niger-Congo","mataifa",7,7,"Swahili",0.00393258426966292,8,3
"Niger-Congo","mambo",7,5,"Swahili",0.00393258426966292,7,3
"Niger-Congo","taifa",7,5,"Swahili",0.00393258426966292,2,3
"Niger-Congo","kulindwa",7,8,"Swahili",0.00393258426966292,5,3
"Niger-Congo","YA",6,2,"Swahili",0.00337078651685393,6,3
"Niger-Congo","lazima",6,6,"Swahili",0.00337078651685393,8,3
"Niger-Congo","dini",6,4,"Swahili",0.00337078651685393,5,3
"Niger-Congo","ye",6,2,"Swahili",0.00337078651685393,6,3
"Niger-Congo","wakati",6,6,"Swahili",0.00337078651685393,2,3
"Niger-Congo","kupata",6,6,"Swahili",0.00337078651685393,4,3
"Niger-Congo","hiyo",5,4,"Swahili",0.00280898876404494,3,3
"Niger-Congo","heshima",5,7,"Swahili",0.00280898876404494,5,3
"Niger-Congo","bora",5,4,"Swahili",0.00280898876404494,7,3
"Niger-Congo","wake",5,4,"Swahili",0.00280898876404494,11,3
"Niger-Congo","jamii",5,5,"Swahili",0.00280898876404494,4,3
"Niger-Congo","ambao",5,5,"Swahili",0.00280898876404494,3,3
"Niger-Congo","ubaguzi",5,7,"Swahili",0.00280898876404494,7,3
"Niger-Congo","nyingine",5,8,"Swahili",0.00280898876404494,9,3
"Niger-Congo","kanuni",5,6,"Swahili",0.00280898876404494,5,3
"Niger-Congo","mmoja",5,5,"Swahili",0.00280898876404494,9,3
"Niger-Congo","ndoa",5,4,"Swahili",0.00280898876404494,4,3
"Niger-Congo","kamili",4,6,"Swahili",0.00224719101123596,7,3
"Niger-Congo","siasa",4,5,"Swahili",0.00224719101123596,8,3
"Niger-Congo","ndio",4,4,"Swahili",0.00224719101123596,8,3
"Niger-Congo","kwamba",4,6,"Swahili",0.00224719101123596,8,3
"Niger-Congo","kutokana",4,8,"Swahili",0.00224719101123596,4,3
"Niger-Congo","Mtu",4,3,"Swahili",0.00224719101123596,9,3
"Niger-Congo","makosa",4,6,"Swahili",0.00224719101123596,10,3
"Niger-Congo","zake",4,4,"Swahili",0.00224719101123596,4,3
"Niger-Congo","wajibu",4,6,"Swahili",0.00224719101123596,8,3
"Niger-Congo","jamaa",4,5,"Swahili",0.00224719101123596,10,3
"Niger-Congo","mwenyewe",4,8,"Swahili",0.00224719101123596,5,3
"Niger-Congo","ajili",4,5,"Swahili",0.00224719101123596,2,3
"Niger-Congo","njia",4,4,"Swahili",0.00224719101123596,8,3
"Niger-Congo","kushiriki",4,9,"Swahili",0.00224719101123596,3,3
"Niger-Congo","Elimu",4,5,"Swahili",0.00224719101123596,6,3
"Niger-Congo","juu",3,3,"Swahili",0.00168539325842697,8,3
"Niger-Congo","zilizo",3,6,"Swahili",0.00168539325842697,3,3
"Niger-Congo","Wanachama",3,9,"Swahili",0.00168539325842697,3,4
"Niger-Congo","amani",3,5,"Swahili",0.00168539325842697,7,4
"Niger-Congo","a",3,1,"Swahili",0.00168539325842697,10,4
"Niger-Congo","wao",3,3,"Swahili",0.00168539325842697,7,4
"Niger-Congo","cho",3,3,"Swahili",0.00168539325842697,6,4
"Niger-Congo","chote",3,5,"Swahili",0.00168539325842697,10,4
"Niger-Congo","chini",3,5,"Swahili",0.00168539325842697,5,4
"Niger-Congo","kuendeleza",3,10,"Swahili",0.00168539325842697,6,4
"Niger-Congo","ka",3,2,"Swahili",0.00168539325842697,6,4
"Niger-Congo","yao",3,3,"Swahili",0.00168539325842697,6,4
"Niger-Congo","wanaume",3,7,"Swahili",0.00168539325842697,11,4
"Niger-Congo","wanawake",3,8,"Swahili",0.00168539325842697,8,4
"Niger-Congo","kukuza",3,6,"Swahili",0.00168539325842697,10,4
"Niger-Congo","jambo",3,5,"Swahili",0.00168539325842697,2,4
"Niger-Congo","baraza",3,6,"Swahili",0.00168539325842697,2,4
"Niger-Congo","huru",3,4,"Swahili",0.00168539325842697,7,4
"Niger-Congo","rangi",3,5,"Swahili",0.00168539325842697,3,4
"Niger-Congo","mali",3,4,"Swahili",0.00168539325842697,3,4
"Niger-Congo","hayo",3,4,"Swahili",0.00168539325842697,3,4
"Niger-Congo","fulani",3,6,"Swahili",0.00168539325842697,8,4
"Niger-Congo","iwe",3,3,"Swahili",0.00168539325842697,8,4
"Niger-Congo","namna",3,5,"Swahili",0.00168539325842697,7,4
"Niger-Congo","kuishi",3,6,"Swahili",0.00168539325842697,12,4
"Niger-Congo","wana",3,4,"Swahili",0.00168539325842697,7,4
"Niger-Congo","hadharani",3,9,"Swahili",0.00168539325842697,4,4
"Niger-Congo","lo",3,2,"Swahili",0.00168539325842697,7,4
"Niger-Congo","lote",3,4,"Swahili",0.00168539325842697,5,4
"Niger-Congo","tu",3,2,"Swahili",0.00168539325842697,5,4
"Niger-Congo","hiari",3,5,"Swahili",0.00168539325842697,7,4
"Niger-Congo","pamoja",3,6,"Swahili",0.00168539325842697,7,4
"Niger-Congo","Serikali",3,8,"Swahili",0.00168539325842697,5,4
"Niger-Congo","wengine",3,7,"Swahili",0.00168539325842697,2,4
"Niger-Congo","pia",3,3,"Swahili",0.00168539325842697,9,4
"Niger-Congo","maoni",3,5,"Swahili",0.00168539325842697,5,4
"Niger-Congo","chama",3,5,"Swahili",0.00168539325842697,2,4
"Niger-Congo","yeye",3,4,"Swahili",0.00168539325842697,10,4
"Niger-Congo","ambazo",3,6,"Swahili",0.00168539325842697,6,4
"Niger-Congo","kutunzwa",3,8,"Swahili",0.00168539325842697,7,4
"Niger-Congo","maendeleo",3,9,"Swahili",0.00168539325842697,7,4
"Niger-Congo","kufanya",3,7,"Swahili",0.00168539325842697,4,4
"Niger-Congo","kuchagua",3,8,"Swahili",0.00168539325842697,3,4
"Niger-Congo","mshahara",3,8,"Swahili",0.00168539325842697,1,4
"Niger-Congo","elimu",3,5,"Swahili",0.00168539325842697,8,4
"Niger-Congo","Katika",2,6,"Swahili",0.00112359550561798,5,4
"Niger-Congo","Baraza",2,6,"Swahili",0.00112359550561798,8,4
"Niger-Congo","kuu",2,3,"Swahili",0.00112359550561798,3,4
"Niger-Congo","kutangaza",2,9,"Swahili",0.00112359550561798,7,4
"Niger-Congo","Haki",2,4,"Swahili",0.00112359550561798,5,4
"Niger-Congo","taarifa",2,7,"Swahili",0.00112359550561798,6,4
"Niger-Congo","maana",2,5,"Swahili",0.00112359550561798,2,4
