"family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"Turkic","ve",88,2,"Turkish",0.0493827160493827,1,1
"Turkic","ı",41,1,"Turkish",0.0230078563411897,6,1
"Turkic","bir",33,3,"Turkish",0.0185185185185185,6,1
"Turkic","hakk",32,4,"Turkish",0.0179573512906846,6,1
"Turkic","madde",30,5,"Turkish",0.0168350168350168,8,1
"Turkic","veya",27,4,"Turkish",0.0151515151515152,10,1
"Turkic","her",26,3,"Turkish",0.0145903479236813,2,1
"Turkic","ın",21,2,"Turkish",0.0117845117845118,9,1
"Turkic","i",20,1,"Turkish",0.0112233445566779,6,1
"Turkic","h",18,1,"Turkish",0.0101010101010101,9,1
"Turkic","ına",17,3,"Turkish",0.00953984287317621,5,1
"Turkic","ır",15,2,"Turkish",0.00841750841750842,9,1
"Turkic","haklar",14,6,"Turkish",0.00785634118967452,8,1
"Turkic","ını",14,3,"Turkish",0.00785634118967452,3,1
"Turkic","vard",14,4,"Turkish",0.00785634118967452,8,1
"Turkic","ının",13,4,"Turkish",0.00729517396184063,7,1
"Turkic","bu",13,2,"Turkish",0.00729517396184063,8,1
"Turkic","e",13,1,"Turkish",0.00729517396184063,5,1
"Turkic","haizdir",13,7,"Turkish",0.00729517396184063,12,1
"Turkic","ş",12,1,"Turkish",0.00673400673400673,6,2
"Turkic","olarak",11,6,"Turkish",0.00617283950617284,7,2
"Turkic","herkes",11,6,"Turkish",0.00617283950617284,2,2
"Turkic","b",10,1,"Turkish",0.00561167227833894,10,2
"Turkic","şahs",10,4,"Turkish",0.00561167227833894,5,2
"Turkic","g",9,1,"Turkish",0.00505050505050505,5,2
"Turkic","k",8,1,"Turkish",0.00448933782267116,7,2
"Turkic","ile",8,3,"Turkish",0.00448933782267116,5,2
"Turkic","ında",8,4,"Turkish",0.00448933782267116,7,2
"Turkic","hiç",8,3,"Turkish",0.00448933782267116,8,2
"Turkic","kimse",8,5,"Turkish",0.00448933782267116,5,2
"Turkic","ütün",7,4,"Turkish",0.00392817059483726,3,2
"Turkic","sosyal",7,6,"Turkish",0.00392817059483726,7,2
"Turkic","çin",7,3,"Turkish",0.00392817059483726,8,2
"Turkic","çe",7,2,"Turkish",0.00392817059483726,5,2
"Turkic","kar",7,3,"Turkish",0.00392817059483726,8,2
"Turkic","şı",7,2,"Turkish",0.00392817059483726,8,2
"Turkic","ba",7,2,"Turkish",0.00392817059483726,7,2
"Turkic","m",7,1,"Turkish",0.00392817059483726,3,2
"Turkic","serbest",7,7,"Turkish",0.00392817059483726,5,2
"Turkic","insan",6,5,"Turkish",0.00336700336700337,7,2
"Turkic","ana",6,3,"Turkish",0.00336700336700337,10,2
"Turkic","öğretim",6,7,"Turkish",0.00336700336700337,5,2
"Turkic","şit",6,3,"Turkish",0.00336700336700337,6,2
"Turkic","herhangi",6,8,"Turkish",0.00336700336700337,2,2
"Turkic","ğu",6,2,"Turkish",0.00336700336700337,5,2
"Turkic","herkesin",6,8,"Turkish",0.00336700336700337,11,2
"Turkic","tam",6,3,"Turkish",0.00336700336700337,2,2
"Turkic","hak",6,3,"Turkish",0.00336700336700337,5,2
"Turkic","d",5,1,"Turkish",0.00280583613916947,6,2
"Turkic","ık",5,2,"Turkish",0.00280583613916947,10,2
"Turkic","s",5,1,"Turkish",0.00280583613916947,7,2
"Turkic","ilan",5,4,"Turkish",0.00280583613916947,5,2
"Turkic","t",5,1,"Turkish",0.00280583613916947,3,2
"Turkic","şekilde",5,7,"Turkish",0.00280583613916947,5,2
"Turkic","milli",5,5,"Turkish",0.00280583613916947,2,2
"Turkic","milletleraras",5,13,"Turkish",0.00280583613916947,6,2
"Turkic","din",5,3,"Turkish",0.00280583613916947,6,2
"Turkic","şahıs",5,5,"Turkish",0.00280583613916947,4,2
"Turkic","ından",5,5,"Turkish",0.00280583613916947,6,2
"Turkic","nı",4,2,"Turkish",0.00224466891133558,5,2
"Turkic","y",4,1,"Turkish",0.00224466891133558,7,2
"Turkic","karşı",4,5,"Turkish",0.00224466891133558,4,2
"Turkic","milletler",4,9,"Turkish",0.00224466891133558,5,2
"Turkic","olan",4,4,"Turkish",0.00224466891133558,5,2
"Turkic","daha",4,4,"Turkish",0.00224466891133558,8,2
"Turkic","ği",4,2,"Turkish",0.00224466891133558,3,2
"Turkic","ıyla",4,4,"Turkish",0.00224466891133558,4,2
"Turkic","şbu",4,3,"Turkish",0.00224466891133558,2,2
"Turkic","do",4,2,"Turkish",0.00224466891133558,2,2
"Turkic","tabi",4,4,"Turkish",0.00224466891133558,9,2
"Turkic","ıdır",4,4,"Turkish",0.00224466891133558,3,2
"Turkic","ayk",4,3,"Turkish",0.00224466891133558,2,2
"Turkic","ırı",4,3,"Turkish",0.00224466891133558,4,3
"Turkic","keyfi",4,5,"Turkish",0.00224466891133558,11,3
"Turkic","a",4,1,"Turkish",0.00224466891133558,6,3
"Turkic","ç",4,1,"Turkish",0.00224466891133558,7,3
"Turkic","etmek",4,5,"Turkish",0.00224466891133558,8,3
"Turkic","hakkı",4,5,"Turkish",0.00224466891133558,12,3
"Turkic","ğe",4,2,"Turkish",0.00224466891133558,4,3
"Turkic","kamu",4,4,"Turkish",0.00224466891133558,9,3
"Turkic","hi",4,2,"Turkish",0.00224466891133558,6,3
"Turkic","i̇nsan",3,6,"Turkish",0.00168350168350168,5,3
"Turkic","hakları",3,7,"Turkish",0.00168350168350168,2,3
"Turkic","olmas",3,5,"Turkish",0.00168350168350168,3,3
"Turkic","bulunmas",3,8,"Turkish",0.00168350168350168,6,3
"Turkic","geli",3,4,"Turkish",0.00168350168350168,5,3
"Turkic","haysiyet",3,8,"Turkish",0.00168350168350168,11,3
"Turkic","de",3,2,"Turkish",0.00168350168350168,1,3
"Turkic","erkek",3,5,"Turkish",0.00168350168350168,15,3
"Turkic","kad",3,3,"Turkish",0.00168350168350168,9,3
"Turkic","etmi",3,4,"Turkish",0.00168350168350168,12,3
"Turkic","na",3,2,"Turkish",0.00168350168350168,3,3
"Turkic","hayat",3,5,"Turkish",0.00168350168350168,12,3
"Turkic","birle",3,5,"Turkish",0.00168350168350168,3,3
"Turkic","şmiş",3,4,"Turkish",0.00168350168350168,5,3
"Turkic","ger",3,3,"Turkish",0.00168350168350168,1,3
"Turkic","genel",3,5,"Turkish",0.00168350168350168,4,3
"Turkic","toplulu",3,7,"Turkish",0.00168350168350168,3,3
"Turkic","yoluyla",3,7,"Turkish",0.00168350168350168,7,3
"Turkic","sayg",3,4,"Turkish",0.00168350168350168,5,3
"Turkic","beyannamede",3,11,"Turkish",0.00168350168350168,6,3
"Turkic","istifade",3,8,"Turkish",0.00168350168350168,6,3
"Turkic","memleket",3,8,"Turkish",0.00168350168350168,2,3
"Turkic","uyru",3,4,"Turkish",0.00168350168350168,3,3
"Turkic","olsun",3,5,"Turkish",0.00168350168350168,4,3
"Turkic","ferdin",3,6,"Turkish",0.00168350168350168,3,3
"Turkic","tan",3,3,"Turkish",0.00168350168350168,15,3
"Turkic","kanun",3,5,"Turkish",0.00168350168350168,12,3
"Turkic","ız",3,2,"Turkish",0.00168350168350168,3,3
"Turkic","ürlü",3,4,"Turkish",0.00168350168350168,9,3
"Turkic","yap",3,3,"Turkish",0.00168350168350168,3,3
"Turkic","vardır",3,6,"Turkish",0.00168350168350168,6,3
"Turkic","kendisine",3,9,"Turkish",0.00168350168350168,8,3
"Turkic","şitlikle",3,8,"Turkish",0.00168350168350168,6,3
"Turkic","taraf",3,5,"Turkish",0.00168350168350168,3,3
"Turkic","adil",3,4,"Turkish",0.00168350168350168,4,3
"Turkic","çık",3,3,"Turkish",0.00168350168350168,6,3
"Turkic","su",3,2,"Turkish",0.00168350168350168,5,3
"Turkic","edilemez",3,8,"Turkish",0.00168350168350168,4,3
"Turkic","özel",3,4,"Turkish",0.00168350168350168,3,3
"Turkic","mahrum",3,6,"Turkish",0.00168350168350168,8,3
"Turkic","evlilik",3,7,"Turkish",0.00168350168350168,7,3
"Turkic","ancak",3,5,"Turkish",0.00168350168350168,13,3
"Turkic","mal",3,3,"Turkish",0.00168350168350168,3,3
"Turkic","olmak",3,5,"Turkish",0.00168350168350168,6,3
"Turkic","kat",3,3,"Turkish",0.00168350168350168,6,3
"Turkic","şahsiyetinin",3,12,"Turkish",0.00168350168350168,8,3
"Turkic","çbir",3,4,"Turkish",0.00168350168350168,6,3
"Turkic","da",3,2,"Turkish",0.00168350168350168,12,3
"Turkic","evrensel",2,8,"Turkish",0.00112233445566779,7,3
"Turkic","bulunan",2,7,"Turkish",0.00112233445566779,7,3
"Turkic","eşit",2,4,"Turkish",0.00112233445566779,11,3
"Turkic","tanı",2,4,"Turkish",0.00112233445566779,7,3
"Turkic","insanlar",2,8,"Turkish",0.00112233445566779,12,3
"Turkic","ürriyetlerine",2,13,"Turkish",0.00112233445566779,6,3
"Turkic","üksek",2,5,"Turkish",0.00112233445566779,9,3
"Turkic","ama",2,3,"Turkish",0.00112233445566779,4,3
"Turkic","zul",2,3,"Turkish",0.00112233445566779,11,3
"Turkic","üm",2,2,"Turkish",0.00112233445566779,3,3
"Turkic","son",2,3,"Turkish",0.00112233445566779,11,3
"Turkic","için",2,4,"Turkish",0.00112233445566779,8,3
"Turkic","hukuk",2,5,"Turkish",0.00112233445566779,2,3
"Turkic","korunmas",2,8,"Turkish",0.00112233445566779,6,3
"Turkic","zaruret",2,7,"Turkish",0.00112233445566779,10,3
"Turkic","teşvik",2,6,"Turkish",0.00112233445566779,2,3
"Turkic","birleşmi",2,8,"Turkish",0.00112233445566779,6,3
"Turkic","halklar",2,7,"Turkish",0.00112233445566779,4,3
"Turkic","olmaları",2,8,"Turkish",0.00112233445566779,4,4
"Turkic","ürriyet",2,7,"Turkish",0.00112233445566779,5,4
"Turkic","şartlar",2,7,"Turkish",0.00112233445566779,6,4
"Turkic","kurmaya",2,7,"Turkish",0.00112233445566779,7,4
"Turkic","üye",2,3,"Turkish",0.00112233445566779,3,4
"Turkic","devletlerin",2,11,"Turkish",0.00112233445566779,3,4
"Turkic","Milletler",2,9,"Turkish",0.00112233445566779,7,4
"Turkic","te",2,2,"Turkish",0.00112233445566779,2,4
"Turkic","işbirli",2,7,"Turkish",0.00112233445566779,2,4
"Turkic","çekten",2,6,"Turkish",0.00112233445566779,3,4
"Turkic","taahhü",2,6,"Turkish",0.00112233445566779,6,4
"Turkic","ürriyetlerin",2,12,"Turkish",0.00112233445566779,10,4
"Turkic","yerine",2,6,"Turkish",0.00112233445566779,8,4
"Turkic","gerek",2,5,"Turkish",0.00112233445566779,5,4
"Turkic","ahalisi",2,7,"Turkish",0.00112233445566779,8,4
"Turkic","gerekse",2,7,"Turkish",0.00112233445566779,1,4
"Turkic","alt",2,3,"Turkish",0.00112233445566779,2,4
"Turkic","ındaki",2,6,"Turkish",0.00112233445566779,5,4
"Turkic","aras",2,4,"Turkish",0.00112233445566779,11,4
"Turkic","sağ",2,3,"Turkish",0.00112233445566779,7,4
"Turkic","gayret",2,6,"Turkish",0.00112233445566779,9,4
"Turkic","amac",2,4,"Turkish",0.00112233445566779,3,4
"Turkic","siyasi",2,6,"Turkish",0.00112233445566779,7,4
"Turkic","di",2,2,"Turkish",0.00112233445566779,13,4
"Turkic","ğer",2,3,"Turkish",0.00112233445566779,13,4
"Turkic","şe",2,2,"Turkish",0.00112233445566779,7,4
"Turkic","fark",2,4,"Turkish",0.00112233445566779,5,4
"Turkic","özetilmeksizin",2,14,"Turkish",0.00112233445566779,6,4
"Turkic","olunan",2,6,"Turkish",0.00112233445566779,7,4
"Turkic","bundan",2,6,"Turkish",0.00112233445566779,3,4
"Turkic","şka",2,3,"Turkish",0.00112233445566779,2,4
"Turkic","bulundu",2,7,"Turkish",0.00112233445566779,7,4
"Turkic","hiçbir",2,6,"Turkish",0.00112233445566779,6,4
"Turkic","ki",2,2,"Turkish",0.00112233445566779,8,4
"Turkic","ölelik",2,6,"Turkish",0.00112233445566779,6,4
"Turkic","muamelelere",2,11,"Turkish",0.00112233445566779,10,4
"Turkic","ınmas",2,5,"Turkish",0.00112233445566779,10,4
"Turkic","ılacak",2,6,"Turkish",0.00112233445566779,8,4
"Turkic","gerekli",2,7,"Turkish",0.00112233445566779,6,4
"Turkic","ış",2,2,"Turkish",0.00112233445566779,8,4
"Turkic","ılır",2,4,"Turkish",0.00112233445566779,8,4
"Turkic","ötürü",2,5,"Turkish",0.00112233445566779,3,4
"Turkic","ailesi",2,6,"Turkish",0.00112233445566779,5,4
"Turkic","tecav",2,5,"Turkish",0.00112233445566779,8,4
"Turkic","üzlere",2,6,"Turkish",0.00112233445566779,5,4
"Turkic","korunmaya",2,9,"Turkish",0.00112233445566779,1,4
"Turkic","devletin",2,8,"Turkish",0.00112233445566779,9,4
"Turkic","ınırları",2,8,"Turkish",0.00112233445566779,4,4
"Turkic","memleketi",2,9,"Turkish",0.00112233445566779,6,4
"Turkic","dahil",2,5,"Turkish",0.00112233445566779,8,4
"Turkic","ülteci",2,6,"Turkish",0.00112233445566779,10,4
"Turkic","uyrukluk",2,8,"Turkish",0.00112233445566779,8,4
"Turkic","ırk",2,3,"Turkish",0.00112233445566779,13,4
"Turkic","aile",2,4,"Turkish",0.00112233445566779,9,4
"Turkic","evlenme",2,7,"Turkish",0.00112233445566779,2,4
"Turkic","r",2,1,"Turkish",0.00112233445566779,4,4
"Turkic","cemiyetin",2,9,"Turkish",0.00112233445566779,6,4
"Turkic","temel",2,5,"Turkish",0.00112233445566779,3,4
"Turkic","tek",2,3,"Turkish",0.00112233445566779,9,4
"Turkic","şına",2,4,"Turkish",0.00112233445566779,5,4
"Turkic","şkalar",2,6,"Turkish",0.00112233445566779,6,4
"Turkic","mü",2,2,"Turkish",0.00112233445566779,12,4
"Turkic","fikir",2,5,"Turkish",0.00112233445566779,5,4
"Turkic","ürriyetine",2,10,"Turkish",0.00112233445566779,10,4
"Turkic","surette",2,7,"Turkish",0.00112233445566779,6,4
"Turkic","içerir",2,6,"Turkish",0.00112233445566779,8,4
"Turkic","derne",2,5,"Turkish",0.00112233445566779,3,4
"Turkic","memleketin",2,10,"Turkish",0.00112233445566779,7,4
"Turkic","ılmak",2,5,"Turkish",0.00112233445566779,4,4
"Turkic","iradesi",2,7,"Turkish",0.00112233445566779,5,4
"Turkic","edecek",2,6,"Turkish",0.00112233445566779,8,4
"Turkic","üvenli",2,6,"Turkish",0.00112233445566779,8,4
"Turkic","elveri",2,6,"Turkish",0.00112233445566779,3,4
"Turkic","şli",2,3,"Turkish",0.00112233445566779,7,4
"Turkic","çalışma",2,7,"Turkish",0.00112233445566779,10,4
"Turkic","ücrete",2,6,"Turkish",0.00112233445566779,6,4
"Turkic","uygun",2,5,"Turkish",0.00112233445566779,4,4
"Turkic","tü",2,2,"Turkish",0.00112233445566779,11,4
"Turkic","bunlara",2,7,"Turkish",0.00112233445566779,7,4
"Turkic","refah",2,5,"Turkish",0.00112233445566779,8,4
"Turkic","ışında",2,6,"Turkish",0.00112233445566779,6,4
"Turkic","çocuklar",2,8,"Turkish",0.00112233445566779,9,4
"Turkic","çinde",2,5,"Turkish",0.00112233445566779,12,4
"Turkic","öğrenim",2,7,"Turkish",0.00112233445566779,9,4
"Turkic","yla",2,3,"Turkish",0.00112233445566779,4,4
"Turkic","milletlerin",2,11,"Turkish",0.00112233445566779,5,5
"Turkic","ürriyetlerinin",2,14,"Turkish",0.00112233445566779,5,5
"Turkic","kullan",2,6,"Turkish",0.00112233445566779,7,5
"Turkic","ya",2,2,"Turkish",0.00112233445566779,5,5
"Turkic","beyannamesi",1,11,"Turkish",0.000561167227833895,14,5
"Turkic","Önsöz",1,5,"Turkish",0.000561167227833895,6,5
"Turkic","i̇nsanlı",1,8,"Turkish",0.000561167227833895,4,5
"Turkic","ailesinin",1,9,"Turkish",0.000561167227833895,6,5
"Turkic","üyelerinde",1,10,"Turkish",0.000561167227833895,7,5
"Turkic","haysiyetin",1,10,"Turkish",0.000561167227833895,5,5
"Turkic","bunlar",1,6,"Turkish",0.000561167227833895,3,5
"Turkic","devir",1,5,"Turkish",0.000561167227833895,12,5
"Turkic","kabul",1,5,"Turkish",0.000561167227833895,12,5
"Turkic","etmez",1,5,"Turkish",0.000561167227833895,7,5
"Turkic","nın",1,3,"Turkish",0.000561167227833895,10,5
"Turkic","nmas",1,4,"Turkish",0.000561167227833895,5,5
"Turkic","hususunun",1,9,"Turkish",0.000561167227833895,3,5
"Turkic","ürriyetin",1,9,"Turkish",0.000561167227833895,11,5
"Turkic","adaletin",1,8,"Turkish",0.000561167227833895,6,5
"Turkic","ünya",1,4,"Turkish",0.000561167227833895,9,5
"Turkic","barışının",1,9,"Turkish",0.000561167227833895,8,5
"Turkic","temeli",1,6,"Turkish",0.000561167227833895,6,5
"Turkic","nmamas",1,6,"Turkish",0.000561167227833895,3,5
"Turkic","hor",1,3,"Turkish",0.000561167227833895,8,5
"Turkic","örülmesinin",1,11,"Turkish",0.000561167227833895,1,5
"Turkic","insanl",1,6,"Turkish",0.000561167227833895,10,5
