type count length
في 54 2
أو 45 2
المادة 30 6
الحق 30 4
لكل 26 3
أن 20 2
من 19 2
على 18 3
شخص 17 3
أي 15 2
فرد 14 3
لا 11 2
إلى 10 3
كان 8 3
الإنسان 8 7
الحقوق 8 6
هذا 8 3
حرية 8 4
والحريات 7 8
كل 7 2
حق 7 2
دون 7 3
ولما 6 4
الإعلان 6 7
عن 6 2
له 6 2
يجوز 6 4
حقوق 5 4
القانون 5 7
حماية 5 5
بين 5 3
الأمم 5 5
المتحدة 5 7
الأساسية 5 8
مع 5 2
المجتمع 5 7
إنسان 5 5
التمتع 5 6
التي 5 4
ذلك 5 3
إليه 4 4
فيه 4 3
الفرد 4 5
كانت 4 4
بهذا 4 4
العامة 4 6
التعليم 4 7
تمييز 4 5
قدم 4 3
الزواج 4 6
الاجتماعية 4 10
وفي 4 3
الاعتراف 3 8
جميع 3 4
أساس 3 4
قد 3 2
ما 3 2
آخر 3 3
الدول 3 5
متساوية 3 7
وأن 3 3
الذي 3 4
هذه 3 3
أية 3 3
يكون 3 4
الدولي 3 6
سواء 3 4
تلك 3 3
غير 3 3
كما 3 3
المساواة 3 8
عمل 3 3
أحد 3 3
بالكرامة 2 8
الأسرة 2 6
الحرية 2 6
أعمال 2 5
تعزيز 2 5
بحقوق 2 5
وبما 2 4
والنساء 2 7
الاجتماعي 2 9
مستوى 2 5
الحياة 2 6
الأعضاء 2 7
واحترامها 2 9
العام 2 5
أنه 2 3
الشعوب 2 6
احترام 2 6
لضمان 2 5
ومراعاتها 2 9
الناس 2 5
بكافة 2 5
الواردة 2 7
بسبب 2 4
الجنس 2 5
الدين 2 5
الرأي 2 5
السياسي 2 7
الوطني 2 6
تفرقة 2 5
البقعة 2 6
إليها 2 5
قيد 2 3
القيود 2 6
أمام 2 4
بحماية 2 6
عنه 2 3
يلجأ 2 4
فيها 2 4
التامة 2 6
نزيهة 2 5
حقوقه 2 5
يعتبر 2 5
أداة 2 4
إلا 2 3
وقت 2 3
دولة 2 4
يحق 2 3
بلاد 2 4
أخرى 2 4
أغراض 2 5
ومبادئها 2 8
عند 2 3
هي 2 2
ويشمل 2 5
الاشتراك 2 8
والجماعات 2 9
دورية 2 5
وعلى 2 4
لشخصيته 2 7
العمل 2 5
وله 2 3
الحماية 2 7
البطالة 2 7
أجر 2 3
ولأسرته 2 7
وسائل 2 5
الفني 2 5
إنماء 2 5
وإلى 2 4
العلمي 2 6
ممارسة 2 6
وحرياته 2 7
الديباجة 1 8
لما 1 3
المتأصلة 1 8
أعضاء 1 5
البشرية 1 7
وبحقوقهم 1 8
المتساوية 1 9
الثابتة 1 7
هو 1 2
والعدل 1 6
والسلام 1 7
العالم 1 6
تناسي 1 5
وازدراؤها 1 9
أفضيا 1 5
همجية 1 5
آذت 1 3
الضمير 1 6
الإنساني 1 8
وكان 1 4
غاية 1 4
يرنو 1 4
عامة 1 4
البشر 1 5
انبثاق 1 6
عالم 1 4
يتمتع 1 5
بحرية 1 5
القول 1 5
والعقيدة 1 8
ويتحرر 1 6
الفزع 1 5
والفاقة 1 7
الضروري 1 7
يتولى 1 5
لكيلا 1 5
يضطر 1 4
المرء 1 5
الأمر 1 5
التمرد 1 6
الاستبداد 1 9
والظلم 1 6
الجوهري 1 7
تنمية 1 5
العلاقات 1 8
الودية 1 6
شعوب 1 4
أكدت 1 4
الميثاق 1 7
جديد 1 4
إيمانها 1 7
وبكرامة 1 7
وقدره 1 5
للرجال 1 6
وحزمت 1 5
أمرها 1 5
تدفع 1 4
بالرقي 1 6
ترفع 1 4
جو 1 2
أفسح 1 4
تعهدت 1 5
بالتعاون 1 8
ضمان 1 4
اطراد 1 5
مراعاة 1 6
للإدراك 1 7
لهذه 1 4
الأهمية 1 7
الكبرى 1 6
للوفاء 1 6
التام 1 5
التعهد 1 6
فإن 1 3
الجمعية 1 7
تنادي 1 5
