type count length
的 147 1
和 77 1
人人 28 2
或 27 1
权利 27 2
有权 26 2
自由 24 2
在 23 1
并 19 1
任何 18 2
对 15 1
有 15 1
享受 15 2
社会 14 2
不得 14 2
国家 13 2
他 13 1
而 10 1
人 10 1
应 10 1
不 9 1
教育 9 2
受 9 1
任何人 9 3
宣言 8 2
平等 8 2
通过 7 2
领土 7 2
其他 7 2
鉴于 7 2
为 7 1
享有 7 2
法律 7 2
行为 7 2
所 7 1
一个 6 2
人民 6 2
保护 6 2
中 6 1
以 6 1
本 6 1
时 6 1
发展 5 2
促进 5 2
联合国 5 3
基本 5 2
普遍 5 2
宗教 5 2
国籍 5 2
这种 5 2
其 5 1
包括 5 2
所有 4 2
加以 4 2
家庭 4 2
承认 4 2
人权 4 2
这些 4 2
被 4 1
使 4 1
各国 4 2
各 4 1
以及 4 2
由 4 1
尊重 4 2
充分 4 2
实现 4 2
国际 4 2
是 4 1
情况 4 2
一切 4 2
歧视 4 2
任意 4 2
刑事 4 2
限制 4 2
工作 4 2
世界人权宣言 3 6
颁布 3 2
这一 3 2
会员国 3 3
政治 3 2
人类 3 2
尊严 3 2
已 3 1
良心 3 2
进行 3 2
必要 3 2
他们 3 2
生活 3 2
下 3 1
财产 3 2
无论 3 2
公正 3 2
义务 3 2
保证 3 2
干涉 3 2
本国 3 2
参加 3 2
福利 3 2
联合国大会 2 5
具有 2 2
大会 2 2
要求 2 2
并且 2 2
分 2 1
地位 2 2
及其 2 2
世界 2 2
和平 2 2
基础 2 2
了 2 1
间 2 1
权 2 1
自 2 1
进步 2 2
誓愿 2 2
同 2 1
合作 2 2
遵行 2 2
作为 2 2
每 2 1
努力 2 2
得到 2 2
有效 2 2
上 2 1
精神 2 2
所载 2 2
种族 2 2
生 2 1
或者 2 2
独立 2 2
奴隶 2 2
刑罚 2 2
人格 2 2
以免 2 2
侵害 2 2
法庭 2 2
完全 2 2
公 2 1
开 2 1
确定 2 2
获得 2 2
需 2 1
寻求 2 2
由于 2 2
违背 2 2
宗旨 2 2
原则 2 2
此种 2 2
剥夺 2 2
改变 2 2
方面 2 2
只有 2 2
单独 2 2
所有权 2 3
思想 2 2
此项 2 2
信仰 2 2
主张 2 2
自由选择 2 4
意志 2 2
定期 2 2
选举 2 2
社会保障 2 4
个人 2 2
文化 2 2
各种 2 2
组织 2 2
职业 2 2
合适 2 2
失业 2 2
保障 2 2
家属 2 2
利益 2 2
儿童 2 2
都 2 1
初级 2 2
目的 2 2
在于 2 2
个性 2 2
集团 2 2
活动 2 2
科学 2 2
产生 2 2
秩序 2 2
行使 2 2
一九四八年 1 5
十二月 1 3
十日 1 2
第 1 1
iii 1 3
号 1 1
决议 1 2
年 1 1
月 1 1
日 1 1
历史 1 2
意义 1 2
后 1 1
广为 1 2
宣传 1 2
主要 1 2
各级 1 2
学校 1 2
机 1 1
构 1 1
传播 1 2
展示 1 2
阅读 1 2
阐述 1 2
全文如下 1 4
序言 1 2
成员 1 2
