type count length
de 118 2
van 108 3
en 102 2
het 52 3
zijn 41 4
op 41 2
recht 39 5
een 38 3
te 37 2
ieder 33 5
in 32 2
heeft 32 5
artikel 30 7
of 30 2
worden 26 6
rechten 22 7
om 20 2
zal 20 3
voor 19 4
door 15 4
dat 14 3
met 14 3
aan 14 3
die 13 3
hebben 12 6
welke 12 5
deze 12 4
vrijheid 11 8
mens 10 4
vrijheden 10 9
bescherming 9 11
alle 8 4
is 8 2
tegen 8 5
Overwegende 7 11
Verenigde 7 9
Naties 7 6
onderwijs 7 9
wet 7 3
gelijke 6 7
tot 6 3
als 6 3
Verklaring 6 10
bij 6 3
zullen 5 6
bevorderen 5 10
sociale 5 7
zich 5 4
gemeenschap 5 11
zonder 5 6
ook 5 3
andere 5 6
geen 5 4
land 5 4
gezin 5 5
vrije 5 5
waardigheid 4 11
handelingen 4 11
genieten 4 8
iedere 4 6
fundamentele 4 12
er 4 2
naar 4 4
algemeen 4 8
onder 4 5
aanspraak 4 9
enig 4 4
godsdienst 4 10
dan 4 3
gehouden 4 8
niemand 4 7
onderworpen 4 11
strijd 4 6
hem 4 3
enige 4 5
ten 4 3
staat 4 5
nationaliteit 4 13
hetzij 4 6
geweten 3 7
vrij 3 4
grootste 3 8
belang 3 6
niet 3 4
nemen 3 5
naties 3 6
volkeren 3 8
hun 3 3
lid 3 3
eerbied 3 7
volledige 3 9
grond 3 5
gelijk 3 6
onderscheid 3 11
aard 3 4
overtuiging 3 11
nationale 3 9
maatschappelijke 3 16
eigendom 3 8
internationale 3 14
betreft 3 7
beperking 3 9
leven 3 5
persoon 3 7
noch 3 4
achterstelling 3 14
volle 3 5
openbare 3 8
inmenging 3 9
kan 3 3
mag 3 3
huwelijk 3 8
anderen 3 7
deel 3 4
wil 3 3
persoonlijkheid 3 15
arbeid 3 6
erkenning 2 9
grondslag 2 9
vrede 2 5
wereld 2 6
mensen 2 6
meningsuiting 2 13
ideaal 2 6
opdat 2 5
gedwongen 2 9
instantie 2 9
ontwikkeling 2 12
mannen 2 6
vrouwen 2 7
vooruitgang 2 11
levensstandaard 2 15
staten 2 6
samenwerking 2 12
organisatie 2 11
inachtneming 2 12
begrip 2 6
daarvan 2 7
vergadering 2 11
opvoeding 2 9
nationaal 2 9
internationaal 2 14
zowel 2 5
zij 2 3
behoren 2 7
jegens 2 6
ras 2 3
politieke 2 9
status 2 6
gebied 2 6
onafhankelijk 2 13
wel 2 3
behandeling 2 11
hij 2 3
allen 2 5
dergelijke 2 10
rechterlijke 2 12
toegekend 2 9
willekeurige 2 12
gelijkheid 2 10
eerlijke 2 8
wegens 2 6
feit 2 4
wordt 2 5
krachtens 2 9
nodig 2 5
strafrechtelijk 2 15
vergrijp 2 8
handeling 2 9
verzuim 2 7
begaan 2 6
toepassing 2 10
aantasting 2 10
vrijelijk 2 9
grenzen 2 7
inbegrip 2 8
dit 2 3
beroep 2 6
doeleinden 2 10
beginselen 2 10
willekeurig 2 11
veranderen 2 10
wat 2 3
ervan 2 5
slechts 2 7
maatschappij 2 12
alleen 2 6
omvat 2 5
alsmede 2 7
mening 2 6
middelen 2 8
vereniging 2 10
middel 2 6
periodieke 2 10
verzekert 2 9
culturele 2 9
ontplooiing 2 11
verwezenlijkt 2 13
gunstige 2 8
werkloosheid 2 12
loon 2 4
beloning 2 8
bestaan 2 7
ter 2 3
belangen 2 8
welzijn 2 7
geval 2 5
kinderen 2 8
lager 2 5
orde 2 4
genoemd 2 7
mogen 2 5
UNIVERSELE 1 10
VERKLARING 1 10
Preambule 1 9
inherente 1 9
onvervreemdbare 1 15
leden 1 5
mensengemeenschap 1 17
gerechtigheid 1 13
terzijdestelling 1 16
minachting 1 10
geleid 1 6
barbaarse 1 9
mensheid 1 8
geweld 1 6
aangedaan 1 9
komst 1 5
waarin 1 6
geloof 1 6
vrees 1 5
gebrek 1 6
verkondigd 1 10
hoogste 1 7
beschermd 1 9
suprematie 1 10
worde 1 5
laatste 1 7
toevlucht 1 9
opstand 1 7
tyrannie 1 8
onderdrukking 1 13
vriendschappelijke 1 18
betrekkingen 1 12
tussen 1 6
Handvest 1 8
vertrouwen 1 10
waarde 1 6
opnieuw 1 7
bevestigd 1 9
besloten 1 8
hogere 1 6
groter 1 6
plechtig 1 8
verbonden 1 9
overal 1 6
nakoming 1 8
verbintenis 1 11
hebbe 1 5
proclameert 1 11
algemene 1 8
universele 1 10
gemeenschappelijk 1 17
allevolkeren 1 12
bereiken 1 8
individu 1 8
elk 1 3
orgaan 1 6
verklaring 1 10
voortdurend 1 11
ogen 1 4
streven 1 7
vooruitstrevende 1 16
maatregelen 1 11
terrein 1 7
daadwerkelijk 1 13
doen 1 4
erkennen 1 8
toepassen 1 9
zelf 1 4
gebieden 1 8
jurisdictie 1 11
staan 1 5
geboren 1 7
begiftigd 1 9
verstand 1 8
elkander 1 8
geest 1 5
broederschap 1 12
gedragen 1 8
opgesomd 1 8
zoals 1 5
kleur 1 5
geslacht 1 8
taal 1 4
afkomst 1 7
geboorte 1 8
verder 1 6
gemaakt 1 7
juridische 1 10
waartoe 1 7
iemand 1 6
behoort 1 7
onverschillig 1 13
soevereiniteit 1 14
bestaat 1 7
onschendbaarheid 1 16
slavernij 1 9
horigheid 1 9
Slavernij 1 9
slavenhandel 1 12
vorm 1 4
verboden 1 8
folteringen 1 11
wrede 1 5
onmenselijke 1 12
onterende 1 9
bestraffing 1 11
waar 1 4
bevindt 1 7
erkend 1 6
ophitsing 1 9
daadwerkelijke 1 14
rechtshulp 1 10
bevoegde 1 8
instanties 1 10
grondrechten 1 12
grondwet 1 8
arrestatie 1 10
detentie 1 8
verbanning 1 10
zaak 1 4
onafhankelijke 1 14
onpartijdige 1 12
vaststellen 1 11
verplichtingen 1 14
bepalen 1 7
gegrondheid 1 11
ingestelde 1 10
strafvervolging 1 15
strafbaar 1 9
vervolgd 1 8
onschuldig 1 10
totdat 1 6
schuld 1 6
bewezen 1 7
rechtszitting 1 13
waarbij 1 7
waarborgen 1 10
verdediging 1 11
schuldig 1 8
betekenden 1 10
tijdstip 1 8
waarop 1 6
werd 1 4
evenmin 1 7
zwaardere 1 9
straf 1 5
opgelegd 1 8
tijde 1 5
strafbare 1 9
was 1 3
persoonlijke 1 12
aangelegenheden 1 15
tehuis 1 6
briefwisseling 1 14
eer 1 3
goede 1 5
naam 1 4
verplaatsen 1 11
vertoeven 1 9
binnen 1 6
elke 1 4
welk 1 4
zijne 1 5
verlaten 1 8
terug 1 5
keren 1 5
landen 1 6
asiel 1 5
zoeken 1 6
vervolging 1 10
gedaan 1 6
ingeval 1 7
strafvervolgingen 1 17
misdrijven 1 10
ontnomen 1 8
ontzegd 1 7
huwbare 1 7
leeftijd 1 8
huwen 1 5
stichten 1 8
tijdens 1 7
ontbinding 1 10
gesloten 1 8
toestemming 1 11
aanstaande 1 10
echtgenoten 1 11
natuurlijke 1 11
groepseenheid 1 13
tezamen 1 7
beroofd 1 7
gedachte 1 8
tevens 1 6
openbaar 1 8
particuliere 1 12
belijden 1 8
onderwijzen 1 11
praktische 1 10
eredienst 1 9
geboden 1 7
voorschriften 1 13
koesteren 1 9
ongeacht 1 8
inlichtingen 1 12
denkbeelden 1 11
sporen 1 6
ontvangen 1 9
geven 1 5
vreedzame 1 9
bestuur 1 7
rechtstreeks 1 12
gekozen 1 7
vertegenwoordigers 1 18
voet 1 4
toegelaten 1 10
overheidsdiensten 1 17
volk 1 4
gezag 1 5
regering 1 8
uiting 1 6
komen 1 5
verkiezingen 1 12
gelijkwaardig 1 13
kiesrecht 1 9
geheime 1 7
stemmingen 1 10
volgens 1 7
procedure 1 9
evenzeer 1 8
stemmen 1 7
zekerheid 1 9
inspanning 1 10
overeenkomstig 1 14
hulpbronnen 1 11
betreffende 1 11
economische 1 11
onmisbaar 1 9
keuze 1 5
rechtmatige 1 11
arbeidsvoorwaarden 1 18
verricht 1 8
rechtvaardige 1 13
menswaardig 1 11
zo 1 2
aangevuld 1 9
vakverenigingen 1 15
richten 1 7
daarbij 1 7
sluiten 1 7
rust 1 4
eigen 1 5
tijd 1 4
redelijke 1 9
arbeidstijd 1 11
vakanties 1 9
behoud 1 6
hoog 1 4
genoeg 1 6
gezondheid 1 10
zichzelf 1 8
waaronder 1 9
inbegrepen 1 10
voeding 1 7
kleding 1 7
huisvesting 1 11
geneeskundige 1 13
verzorging 1 10
noodzakelijke 1 13
diensten 1 8
voorziening 1 11
ziekte 1 6
invaliditeit 1 12
overlijden 1 10
echtgenoot 1 10
ouderdom 1 8
ander 1 5
gemis 1 5
bestaansmiddelen 1 16
ontstaan 1 8
gevolge 1 7
omstandigheden 1 14
kind 1 4
bijzondere 1 10
zorg 1 4
bijstand 1 8
al 1 2
wettig 1 6
dezelfde 1 8
kosteloos 1 9
althans 1 7
basisonderwijs 1 14
verplicht 1 9
Ambachtsonderwijs 1 17
beroepsopleiding 1 16
beschikbaar 1 11
gesteld 1 7
hoger 1 5
openstaan 1 9
daartoe 1 7
begaafdheid 1 11
bezit 1 5
gericht 1 7
menselijke 1 10
versterking 1 11
verdraagzaamheid 1 16
vriendschap 1 11
rassen 1 6
godsdienstige 1 13
groepen 1 7
werkzaamheden 1 13
handhaving 1 10
steunen 1 7
ouders 1 6
komt 1 4
eerste 1 6
plaats 1 6
toe 1 3
soort 1 5
kiezen 1 6
gegeven 1 7
kunst 1 5
wetenschappelijke 1 17
vruchten 1 8
geestelijke 1 11
materiële 1 9
voortspruitende 1 15
uit 1 3
wetenschappelijk 1 16
letterkundig 1 12
artistiek 1 9
werk 1 4
voortgebracht 1 13
zodanige 1 8
daarin 1 6
kunnen 1 6
plichten 1 8
mogelijk 1 8
uitoefening 1 11
beperkingen 1 11
vastgesteld 1 11
uitsluitend 1 11
verzekering 1 11
onmisbare 1 9
eerbiediging 1 12
voldoen 1 7
gerechtvaardigde 1 16
eisen 1 5
moraliteit 1 10
democratische 1 13
uitgeoefend 1 11
bepaling 1 8
zodanig 1 7
uitgelegd 1 9
groep 1 5
daaraan 1 7
ontlenen 1 8
iets 1 4
ondernemen 1 10
verrichten 1 10
vernietiging 1 12
doel 1 4
