type count length
the 121 3
and 106 3
of 91 2
to 83 2
in 43 2
right 33 5
be 31 2
article 30 7
everyone 30 8
or 30 2
has 28 3
shall 27 5
his 21 3
rights 20 6
a 19 1
any 18 3
for 17 3
is 13 2
by 13 2
all 12 3
equal 11 5
human 11 5
freedom 11 7
as 11 2
this 11 4
freedoms 10 8
one 10 3
no 10 2
which 9 5
law 9 3
with 9 4
entitled 9 8
protection 9 10
have 8 4
social 8 6
education 8 9
are 8 3
Declaration 7 11
whereas 7 7
free 7 4
family 6 6
against 6 7
fundamental 6 11
full 6 4
other 6 5
at 6 2
dignity 5 7
from 5 4
it 5 2
United 5 6
Nations 5 7
their 5 5
person 5 6
society 5 7
national 5 8
international 5 13
without 5 7
religion 5 8
country 5 7
public 5 6
recognition 4 11
enjoy 4 5
that 4 4
promote 4 7
development 4 11
peoples 4 7
respect 4 7
such 4 4
discrimination 4 14
an 4 2
penal 4 5
offence 4 7
State 4 5
may 4 3
nationality 4 11
acts 3 4
conscience 3 10
belief 3 6
common 3 6
not 3 3
nations 3 7
life 3 4
universal 3 9
observance 3 10
these 3 5
among 3 5
under 3 5
act 3 3
set 3 3
forth 3 5
political 3 9
property 3 8
on 3 2
basis 3 5
limitation 3 10
security 3 8
held 3 4
subjected 3 9
necessary 3 9
was 3 3
nor 3 3
interference 3 12
including 3 9
marriage 3 8
alone 3 5
association 3 11
others 3 6
community 3 9
through 3 7
personality 3 11
work 3 4
just 3 4
Universal 2 9
Human 2 5
Rights 2 6
peace 2 5
world 2 5
beings 2 6
people 2 6
essential 2 9
if 2 2
compelled 2 9
should 2 6
men 2 3
women 2 5
determined 2 10
Member 2 6
States 2 6
themselves 2 10
cooperation 2 11
understanding 2 13
realization 2 11
standard 2 8
every 2 5
teaching 2 8
effective 2 9
born 2 4
they 2 4
distinction 2 11
kind 2 4
race 2 4
opinion 2 7
status 2 6
made 2 4
whether 2 7
independent 2 11
non 2 3
slavery 2 7
trade 2 5
before 2 6
him 2 3
arbitrary 2 9
guilty 2 6
he 2 2
time 2 4
committed 2 9
attacks 2 7
each 2 4
own 2 3
seek 2 4
case 2 4
contrary 2 8
purposes 2 8
principles 2 10
arbitrarily 2 11
deprived 2 8
change 2 6
age 2 3
due 2 3
its 2 3
only 2 4
group 2 5
well 2 4
includes 2 8
government 2 10
freely 2 6
will 2 4
periodic 2 8
cultural 2 8
favourable 2 10
unemployment 2 12
pay 2 3
himself 2 7
interests 2 9
care 2 4
children 2 8
elementary 2 10
scientific 2 10
order 2 5
Preamble 1 8
inherent 1 8
inalienable 1 11
members 1 7
foundation 1 10
justice 1 7
disregard 1 9
contempt 1 8
resulted 1 8
barbarous 1 9
outraged 1 8
mankind 1 7
advent 1 6
speech 1 6
fear 1 4
want 1 4
been 1 4
proclaimed 1 10
highest 1 7
aspiration 1 10
man 1 3
recourse 1 8
last 1 4
resort 1 6
rebellion 1 9
tyranny 1 7
oppression 1 10
protected 1 9
rule 1 4
friendly 1 8
relations 1 9
between 1 7
Charter 1 7
reaffirmed 1 10
faith 1 5
worth 1 5
progress 1 8
better 1 6
standards 1 9
larger 1 6
pledged 1 7
achieve 1 7
promotion 1 9
greatest 1 8
importance 1 10
pledge 1 6
now 1 3
therefore 1 9
General 1 7
Assembly 1 8
proclaims 1 9
achievement 1 11
end 1 3
individual 1 10
organ 1 5
keeping 1 7
constantly 1 10
mind 1 4
strive 1 6
progressive 1 11
measures 1 8
secure 1 6
both 1 4
territories 1 11
jurisdiction 1 12
i 1 1
endowed 1 7
reason 1 6
towards 1 7
another 1 7
spirit 1 6
brotherhood 1 11
colour 1 6
sex 1 3
language 1 8
origin 1 6
birth 1 5
furthermore 1 11
jurisdictional 1 14
territory 1 9
belongs 1 7
trust 1 5
self 1 4
governing 1 9
sovereignty 1 11
liberty 1 7
servitude 1 9
slave 1 5
prohibited 1 10
forms 1 5
torture 1 7
cruel 1 5
inhuman 1 7
degrading 1 9
treatment 1 9
punishment 1 10
everywhere 1 10
violation 1 9
incitement 1 10
remedy 1 6
competent 1 9
tribunals 1 9
violating 1 9
granted 1 7
constitution 1 12
arrest 1 6
detention 1 9
exile 1 5
equality 1 8
fair 1 4
hearing 1 7
impartial 1 9
tribunal 1 8
determination 1 13
obligations 1 11
criminal 1 8
charge 1 6
charged 1 7
presumed 1 8
innocent 1 8
until 1 5
proved 1 6
according 1 9
trial 1 5
had 1 3
guarantees 1 10
defence 1 7
account 1 7
omission 1 8
did 1 3
constitute 1 10
when 1 4
heavier 1 7
penalty 1 7
imposed 1 7
than 1 4
applicable 1 10
privacy 1 7
home 1 4
correspondence 1 14
upon 1 4
honour 1 6
reputation 1 10
movement 1 8
residence 1 9
within 1 6
borders 1 7
leave 1 5
return 1 6
countries 1 9
asylum 1 6
persecution 1 11
invoked 1 7
prosecutions 1 12
genuinely 1 9
arising 1 7
crimes 1 6
denied 1 6
marry 1 5
found 1 5
during 1 6
dissolution 1 11
entered 1 7
into 1 4
consent 1 7
intending 1 9
spouses 1 7
natural 1 7
unit 1 4
thought 1 7
either 1 6
private 1 7
manifest 1 8
practice 1 8
worship 1 7
expression 1 10
hold 1 4
opinions 1 8
receive 1 7
impart 1 6
information 1 11
ideas 1 5
media 1 5
regardless 1 10
frontiers 1 9
peaceful 1 8
assembly 1 8
belong 1 6
take 1 4
part 1 4
directly 1 8
chosen 1 6
representatives 1 15
access 1 6
service 1 7
authority 1 9
expressed 1 9
genuine 1 7
elections 1 9
suffrage 1 8
secret 1 6
vote 1 4
equivalent 1 10
voting 1 6
procedures 1 10
member 1 6
effort 1 6
accordance 1 10
organization 1 12
resources 1 9
economic 1 8
indispensable 1 13
choice 1 6
employment 1 10
conditions 1 10
who 1 3
works 1 5
remuneration 1 12
ensuring 1 8
existence 1 9
worthy 1 6
supplemented 1 12
means 1 5
form 1 4
join 1 4
unions 1 6
rest 1 4
leisure 1 7
reasonable 1 10
working 1 7
hours 1 5
holidays 1 8
living 1 6
adequate 1 8
health 1 6
being 1 5
food 1 4
clothing 1 8
housing 1 7
medical 1 7
services 1 8
event 1 5
sickness 1 8
disability 1 10
widowhood 1 9
old 1 3
lack 1 4
livelihood 1 10
circumstances 1 13
beyond 1 6
control 1 7
motherhood 1 10
childhood 1 9
special 1 7
assistance 1 10
out 1 3
wedlock 1 7
same 1 4
least 1 5
stages 1 6
compulsory 1 10
technical 1 9
professional 1 12
generally 1 9
available 1 9
higher 1 6
equally 1 7
accessible 1 10
merit 1 5
directed 1 8
strengthening 1 13
tolerance 1 9
friendship 1 10
racial 1 6
religious 1 9
groups 1 6
further 1 7
activities 1 10
maintenance 1 11
parents 1 7
prior 1 5
choose 1 6
given 1 5
participate 1 11
arts 1 4
share 1 5
advancement 1 11
benefits 1 8
moral 1 5
material 1 8
resulting 1 9
literary 1 8
artistic 1 8
production 1 10
author 1 6
can 1 3
fully 1 5
realized 1 8
duties 1 6
possible 1 8
exercise 1 8
subject 1 7
limitations 1 11
solely 1 6
purpose 1 7
securing 1 8
meeting 1 7
requirements 1 12
morality 1 8
general 1 7
welfare 1 7
democratic 1 10
exercised 1 9
nothing 1 7
interpreted 1 11
implying 1 8
engage 1 6
activity 1 8
perform 1 7
aimed 1 5
destruction 1 11
herein 1 6
