type count length
ja 94 2
on 64 2
oikeus 34 6
artikla 30 7
tai 26 3
jokaisella 26 10
sekä 17 4
ei 14 2
n 13 1
kun 10 3
hänen 10 5
vastaan 7 7
ovat 7 4
kaikkien 7 8
sen 7 3
saa 7 3
kansakuntien 6 12
julistuksen 6 11
kansojen 5 8
nauttia 5 7
ketään 5 6
suojaan 5 7
ihmisoikeuksien 4 15
tämän 4 5
riippumatta 4 11
jotka 4 5
vapaasti 4 8
kaikki 4 6
tässä 4 5
lain 4 4
mielivaltaisesti 4 16
yhteiskunnan 4 12
opetuksen 4 9
oltava 4 6
yhdistyneiden 3 13
yleiskokous 3 11
myös 3 4
kielillä 3 8
heidän 3 6
että 3 4
edistää 3 7
edistämään 3 10
kanssa 3 6
niiden 3 6
julistuksessa 3 13
ilman 3 5
pidä 3 4
kansainvälisen 3 14
tämä 3 4
ihmisellä 3 9
siihen 3 6
teoista 3 7
toisten 3 7
oikeuksia 3 9
yleismaailmallisen 2 18
maata 2 5
välittömästi 2 12
kaikkea 2 7
muissa 2 6
alueiden 2 8
tunnustaminen 2 13
rauhan 2 6
ne 2 2
ihmiset 2 7
voivat 2 6
utta 2 4
vapaina 2 7
turvataan 2 9
jotta 2 5
ihmisten 2 8
k 2 1
oikeuksiin 2 10
yhtei 2 5
kunnioittamista 2 15
näiden 2 6
oikeuksien 2 10
niin 2 4
kukin 2 5
opettamalla 2 11
vapauksien 2 10
turvaamaan 2 10
yleisen 2 7
a 2 1
kohtaan 2 7
minkäänlaista 2 13
muuhun 2 6
yhteiskunnalliseen 2 18
erotusta 2 8
mitään 2 6
myöskään 2 8
maan 2 4
henkilö 2 7
muun 2 4
alainen 2 7
pitää 2 5
eikä 2 4
e 2 1
edessä 2 6
oikeutetut 2 10
kaikilla 2 8
syrjintää 2 9
sellaiseen 2 10
tuomioistuimessa 2 16
hänelle 2 7
lailla 2 6
ta 2 2
täysin 2 6
häntä 2 5
julkisesti 2 10
oikeuksiaan 2 11
olevan 2 6
tuomita 2 7
t 2 1
ai 2 2
kuin 2 4
mikä 2 4
älköön 2 6
kenenkään 2 9
sellaista 2 9
valita 2 6
kunkin 2 6
valtion 2 7
oike 2 4
us 2 2
tähän 2 5
vastoin 2 7
Yhdistyneiden 2 13
päämääriä 2 9
keltään 2 7
perustaa 2 8
oikeudet 2 8
avioliiton 2 10
vain 2 4
yksin 2 5
yhdessä 2 7
en 2 2
