type count length
και 105 3
να 83 2
του 52 3
της 47 3
το 42 2
την 40 3
δικαίωμα 39 8
η 34 1
σε 33 2
έχει 33 4
αρθρο 30 5
των 27 3
ή 27 1
που 26 3
με 26 2
για 22 3
στην 21 4
Καθένας 19 7
τα 17 2
τη 17 2
τις 16 3
δεν 16 3
από 14 3
κάθε 14 4
είναι 12 5
οι 12 2
τον 12 3
κανείς 12 6
δικαιωμάτων 11 11
τους 11 4
δικαιώματα 10 10
πρέπει 10 6
κατά 9 4
θα 8 2
άτομο 8 5
μπορεί 8 6
έχουν 8 5
επειδή 7 6
ως 7 2
στα 7 3
ελευθεριών 6 10
μέσα 6 4
διάκριση 6 8
υπό 6 3
ανθρώπου 5 8
ο 5 1
ανάπτυξη 5 8
προς 5 4
διακήρυξη 5 9
στη 5 3
καμία 5 5
ελεύθερα 5 8
εκπαίδευση 5 10
όλα 4 3
ελευθερίας 4 10
ένα 4 3
ανάμεσα 4 7
ηνωμένων 4 8
εθνών 4 5
αξιοπρέπεια 4 11
κοινωνική 4 9
ελευθερίες 4 10
παρούσα 4 7
όλες 4 4
χωρίς 4 5
οποία 4 5
ελευθερία 4 9
ίση 4 3
μια 4 3
οικογένεια 4 10
μόνο 4 4
συμμετέχει 4 10
αναγνώριση 3 10
ανθρώπινης 3 10
στον 3 4
κόσμο 3 5
πράξεις 3 7
σημασία 3 7
έθνη 3 4
προσωπικότητας 3 14
συνθήκες 3 8
αυτή 3 4
στο 3 3
στους 3 5
ολοι 3 4
άλλες 3 5
οποιαδήποτε 3 11
ακόμα 3 5
εξαιτίας 3 8
χώρας 3 5
είτε 3 4
περιορισμό 3 10
ζωή 3 3
επιτρέπεται 3 11
ούτε 3 4
αν 3 2
προστασία 3 9
αυθαίρετα 3 9
πλήρη 3 5
περίπτωση 3 9
αδίκημα 3 7
χρόνο 3 5
σκοπούς 3 7
ηλικία 3 6
θρησκείας 3 9
ελεύθερη 3 8
προστασίας 3 10
κοινωνία 3 8
άλλους 3 6
μαζί 3 4
όπως 3 4
μέλη 2 4
αποτελεί 2 8
θεμέλιο 2 7
ειρήνης 2 7
ανθρώπινη 2 9
συνείδηση 2 9
ενός 2 4
όπου 2 4
άνθρωποι 2 8
ελεύθεροι 2 9
ουσιαστική 2 10
προστατεύονται 2 14
καθεστώς 2 8
δικαίου 2 7
ώστε 2 4
άνθρωπος 2 8
μην 2 3
λαοί 2 4
διακήρυξαν 2 10
θεμελιακά 2 9
ισότητα 2 7
πρόοδο 2 6
ζωής 2 4
πλαίσια 2 7
μιας 2 4
υποχρέωση 2 9
συνεργασία 2 10
θεμελιακών 2 10
όλο 2 3
πέρα 2 4
ότι 2 3
κοινωνίας 2 9
διδασκαλία 2 10
παιδεία 2 7
σεβασμός 2 8
εξασφαλιστεί 2 12
διεθνή 2 6
ίσοι 2 4
προκηρύσσει 2 11
απολύτως 2 8
ειδικότερα 2 10
πεποιθήσεις 2 11
εθνική 2 6
γίνεται 2 7
χώρα 2 4
βρίσκεται 2 9
ποινή 2 5
απέναντι 2 8
νόμο 2 4
δημόσια 2 7
απαραίτητες 2 11
εσωτερικό 2 9
επεμβάσεις 2 10
κατοικία 2 8
προσβολές 2 9
είδους 2 6
κράτους 2 7
αυτήν 2 5
άσυλο 2 5
παρέχεται 2 9
αυτό 2 4
ενέργειες 2 9
αρχές 2 5
στερηθεί 2 8
γάμου 2 5
παρά 2 4
κράτος 2 6
θρησκευτικές 2 12
άσκηση 2 6
έκφρασης 2 8
οποιοδήποτε 2 11
ίσους 2 5
όρους 2 5
υπηρεσίες 2 9
θέληση 2 6
εξασφαλίζει 2 11
κοινωνικής 2 10
ανάλογα 2 7
εξασφαλίσει 2 11
προσωπικότητάς 2 14
δίκαιες 2 7
αμοιβής 2 7
εργασίας 2 8
συνδικάτα 2 9
παιδιά 2 6
εξασφαλίζεται 2 13
