type count length
の 156 1
を 127 1
に 127 1
は 104 1
て 55 1
権利 49 2
及び 49 2
と 47 1
すべて 40 3
人 39 1
的 38 1
する 37 2
有する 37 3
条 31 1
第 30 1
で 30 1
自由 30 2
し 29 1
な 29 1
こと 28 2
ない 26 2
も 23 1
又 23 1
が 18 1
受ける 18 3
さ 16 1
社会 15 2
なら 15 2
ある 13 2
かつ 13 2
この 13 2
その 13 2
た 12 1
れ 12 1
自己 12 2
よっ 11 2
なけれ 11 3
ば 11 1
れる 11 2
保護 10 2
教育 10 2
対し 10 2
宣言 9 2
国際 9 2
おい 9 2
人権 8 2
平等 8 2
国 8 1
また 8 2
他 8 1
何 8 1
いかなる 8 4
者 8 1
対する 7 3
法 7 1
られ 6 2
完全 6 2
宗教 6 2
よる 6 2
差別 6 2
労働 6 2
尊厳 5 2
る 5 1
行為 5 2
人間 5 2
よう 5 2
ため 5 2
促進 5 2
連合 5 2
生活 5 2
これ 5 2
ら 5 1
地域 5 2
もしくは 5 4
なく 5 2
享有 5 2
並びに 5 3
目的 5 2
婚姻 5 2
保障 5 2
世界 4 2
基礎 4 2
受け 4 2
間 4 1
発展 4 2
基本 4 2
尊重 4 2
人民 4 2
下 4 1
政治 4 2
上 4 1
い 4 1
か 4 1
権 4 1
利 4 1
制限 4 2
ず 4 1
ほしいまま 4 5
公平 4 2
犯罪 4 2
より 4 2
自国 4 2
場合 4 2
国籍 4 2
国連 3 2
でき 3 2
平和 3 2
良心 3 2
一般 3 2
手段 3 2
す 3 1
並び 3 2
男女 3 2
つい 3 2
信念 3 2
加盟 3 2
個人 3 2
人種 3 2
意見 3 2
財産 3 2
掲げる 3 3
できる 3 3
国又 3 2
非 3 1
奴隷 3 2
法律 3 2
裁判 3 2
義務 3 2
必要 3 2
家族 3 2
家庭 3 2
干渉 3 2
もつ 3 2
意思 3 2
のみ 3 2
集団 3 2
含む 3 2
選挙 3 2
もの 3 2
同等 3 2
人格 3 2
総会 2 2
人類 2 2
構成 2 2
認 2 1
おけ 2 2
び 2 1
肝要 2 2
諸国 2 2
友好 2 2
関係 2 2
進歩 2 2
水準 2 2
協力 2 2
普遍 2 2
達成 2 2
誓約 2 2
共通 2 2
理解 2 2
もっ 2 2
とも 2 2
各 2 1
ながら 2 3
管轄 2 2
確保 2 2
努力 2 2
あり 2 2
精神 2 2
地位 2 2
なる 2 2
属する 2 3
独立 2 2
統治 2 2
問わ 2 2
服する 2 3
与え 2 2
国内 2 2
所 2 1
公開 2 2
訴追 2 2
保 2 1
有罪 2 2
時 2 1
行わ 2 2
刑罰 2 2
攻撃 2 2
各国 2 2
いずれ 2 3
から 2 2
他国 2 2
求め 2 2
もっぱら 2 4
奪わ 2 2
変更 2 2
成年 2 2
中 2 1
単独 2 2
共同 2 2
思想 2 2
表明 2 2
否 2 1
結社 2 2
定期 2 2
投票 2 2
組織 2 2
応じ 2 2
文化 2 2
実現 2 2
職業 2 2
選択 2 2
有利 2 2
失業 2 2
報酬 2 2
利益 2 2
及 2 1
福祉 2 2
子 2 1
初等 2 2
活動 2 2
科学 2 2
秩序 2 2
行使 2 2
正当 2 2
回 1 1
採択 1 2
前文 1 2
員 1 1
固有 1 2
譲る 1 2
承 1 1
正義 1 2
無視 1 2
軽侮 1 2
踏み 1 2
にじっ 1 3
野蛮 1 2
もたらし 1 4
言 1 1
論及 1 2
信仰 1 2
恐怖 1 2
欠乏 1 2
到来 1 2
人々 1 2
最高 1 2
願望 1 2
専制 1 2
圧迫 1 2
最後 1 2
反逆 1 2
訴える 1 3
支配 1 2
民 1 1
憲章 1 2
価値 1 2
同権 1 2
再 1 1
確認 1 2
一層 1 2
大きな 1 3
うち 1 2
向上 1 2
決意 1 2
遵守 1 2
重要 1 2
ここ 1 2
機関 1 2
常 1 1
念頭 1 2
置き 1 2
自身 1 2
指導 1 2
それ 1 2
措置 1 2
べき 1 2
基準 1 2
公布 1 2
生まれ 1 3
理性 1 2
授け 1 2
おり 1 2
互い 1 2
同 1 1
胞 1 1
行動 1 2
皮膚 1 2
色 1 1
性 1 1
言語 1 2
国民 1 2
出身 1 2
門地 1 2
類する 1 3
さらに 1 3
信託 1 2
自治 1 2
なん 1 2
主権 1 2
基ずく 1 3
生命 1 2
身体 1 2
安全 1 2
苦役 1 2
制度 1 2
売買 1 2
形 1 1
禁止 1 2
拷問 1 2
残虐 1 2
人道 1 2
屈辱 1 2
取扱 1 2
刑 1 1
罰 1 1
場所 1 2
めら 1 2
なし 1 2
違反 1 2
そそのかす 1 5
いかな 1 3
憲法 1 2
侵害 1 2
権限 1 2
効果 1 2
救済 1 2
逮捕 1 2
拘禁 1 2
追放 1 2
刑事 1 2
責任 1 2
決 1 1
定 1 1
当たっ 1 3
審理 1 2
弁護 1 2
障 1 1
従っ 1 2
立証 1 2
まで 1 2
無罪 1 2
推定 1 2
実行 1 2
なかっ 1 3
作 1 1
為又 1 2
不 1 1
作為 1 2
適用 1 2
重い 1 2
課せ 1 2
私事 1 2
通信 1 2
名誉 1 2
信用 1 2
べ 1 1
境界 1 2
内 1 1
移転 1 2
居住 1 2
立ち 1 2
去り 1 2
帰る 1 2
迫害 1 2
避難 1 2
享 1 1
原則 1 2
反する 1 3
原因 1 2
採用 1 2
否認 1 2
つくる 1 3
解消 1 2
際し 1 2
関し 1 2
両 1 1
当事 1 2
合意 1 2
成立 1 2
自然 1 2
単位 1 2
あっ 1 2
護 1 1
所有 1 2
こ 1 1
公的 1 2
私的 1 2
布教 1 2
行事 1 2
礼拝 1 2
儀式 1 2
表現 1 2
あらゆる 1 4
よ 1 1
り 1 1
国境 1 2
越える 1 3
かかわり 1 4
情報 1 2
受 1 1
け 1 1
伝える 1 3
集会 1 2
強制 1 2
直接 1 2
選出 1 2
代表 1 2
通じ 1 2
参与 1 2
ひとしく 1 4
公務 1 2
つく 1 2
権力 1 2
真正 1 2
普通 1 2
秘密 1 2
はこ 1 2
手続 1 2
一員 1 2
有し 1 2
国家 1 2
資源 1 2
欠く 1 2
経済 1 2
社 1 1
会 1 1
弟 1 1
件 1 1
ふさわし 1 4
補充 1 2
組合 1 2
びこ 1 2
加入 1 2
時間 1 2
合理 1 2
有給 1 2
休暇 1 2
休 1 1
息 1 1
余暇 1 2
衣食住 1 3
医療 1 2
施設 1 2
等 1 1
健康 1 2
十分 1 2
保持 1 2
疾病 1 2
心身 1 2
障害 1 2
配偶 1 2
死亡 1 2
老齢 1 2
不可抗 1 3
力 1 1
不能 1 2
母 1 1
特別 1 2
援助 1 2
児 1 1
童 1 1
嫡出 1 2
同じ 1 2
少なく 1 3
段階 1 2
無償 1 2
技術 1 2
利用 1 2
高等 1 2
能力 1 2
ひと 1 2
しく 1 2
開放 1 2
教科 1 2
相互 1 2
寛容 1 2
増進 1 2
維持 1 2
親 1 1
与える 1 3
種類 1 2
優先 1 2
参加 1 2
芸術 1 2
鑑賞 1 2
恩恵 1 2
あずかる 1 4
創作 1 2
文学 1 2
美術 1 2
作品 1 2
生ずる 1 3
物質 1 2
あつ 1 2
可能 1 2
負う 1 2
当 1 1
たつ 1 2
ては 1 2
他人 1 2
事由 1 2
承認 1 2
民主 1 2
道徳 1 2
公 1 1
要求 1 2
満たす 1 3
目 1 1
定め 1 2
原 1 1
則 1 1
反し 1 2
規定 1 2
破壊 1 2
従事 1 2
そ 1 1
行う 1 2
認める 1 3
解釈 1 2
