type count length
모든 44 2
권리를 34 3
가진다 33 3
사람은 31 3
제 30 1
조 30 1
또는 28 2
대한 18 2
및 12 1
받을 12 2
권리와 11 3
자신의 10 3
이러한 9 3
어떠한 9 3
아니한다 9 4
그리고 8 3
이 8 1
어느 8 2
누구도 8 3
수 7 1
자유를 7 3
자유에 7 3
그 6 1
동등한 6 3
한다 6 2
대하여 6 3
있는 5 2
사회적 5 3
보호를 5 3
다른 5 2
것이 4 2
의하여 4 3
국제연합의 4 5
기본적 4 3
위하여 4 3
통하여 4 3
선언에 4 3
국가 4 2
자유와 4 3
위한 4 2
자유 3 2
하는 3 2
존엄과 3 3
신념을 3 3
완전한 3 3
자신과 3 3
사람과 3 3
있어 3 2
인종 3 2
종교 3 2
없이 3 2
규정된 3 3
있다 3 2
관계없이 3 4
국제적 3 3
아니된다 3 4
자의적으로 3 5
필요한 3 3
따라 3 2
포함하여 3 4
권리는 3 3
목적과 3 3
국적을 3 3
권리가 3 3
교육은 3 3
세계의 2 3
평화의 2 3
양심을 2 3
인간이 2 3
누릴 2 2
강요받지 2 4
법에 2 2
의한 2 2
필수적이며 2 5
인간의 2 3
권리에 2 3
보다 2 2
생활수준을 2 5
인권과 2 3
공통의 2 3
각 2 1
교육을 2 3
국민들 2 3
영토의 2 3
자유가 2 3
하기 2 2
할 2 1
인간은 2 3
정치적 2 3
기타의 2 3
차별이 2 3
향유할 2 3
자격이 2 3
근거하여 2 4
받지 2 2
법 2 1
앞에 2 2
법의 2 2
완전히 2 3
유죄로 2 3
행위시에 2 4
또한 2 2
범죄 2 2
그의 2 2
비호를 2 3
원칙에 2 3
가질 2 2
박탈당하지 2 5
변경할 2 3
자유롭고 2 4
사회의 2 3
국가의 2 3
단독으로 2 4
공동으로 2 4
재산을 2 3
포함한다 2 4
어떤 2 2
인격의 2 3
자유로운 2 4
정당하고 2 4
유리한 2 3
동일한 2 3
경우에 2 3
이익을 2 3
아동은 2 3
가능하여야 2 5
발전과 2 3
세 1 1
계 1 1
인 1 1
권 1 1
선 1 1
언 1 1
전 1 1
문 1 1
인류 1 2
구성원의 1 4
천부의 1 3
존엄성과 1 4
동등하고 1 4
양도할 1 3
없는 1 2
인정하는 1 4
정의 1 2
기초이며 1 4
인권에 1 3
무시와 1 3
경멸이 1 3
인류의 1 3
격분시키는 1 5
만행을 1 3
초래하였으며 1 6
언론과 1 3
신앙의 1 3
공포와 1 3
결핍으로부터의 1 7
도래가 1 3
사람들의 1 4
지고한 1 3
열망으로서 1 5
천명되어 1 4
왔으며 1 3
폭정과 1 3
억압에 1 3
대항하는 1 4
마지막 1 3
수단으로서 1 5
반란을 1 3
일으키도록 1 5
않으려면 1 4
통치에 1 3
인권이 1 3
보호되어야 1 5
국가간에 1 4
우호관계의 1 5
발전을 1 3
증진하는 1 4
사람들은 1 4
헌장에서 1 4
인권 1 2
가치 1 2
남녀의 1 3
재확인하였으며 1 7
폭넓은 1 3
자유속에서 1 5
진보와 1 3
나은 1 2
증진하기로 1 5
다짐하였고 1 5
회원국들은 1 5
국제연합과 1 5
협력하여 1 4
자유의 1 3
보편적 1 3
존중과 1 3
준수를 1 3
증진할 1 3
것을 1 2
스스로 1 3
서약하였으며 1 6
이해가 1 3
서약의 1 3
이행을 1 3
가장 1 2
중요하므로 1 5
이에 1 2
국제연합총회는 1 7
개인과 1 3
사회 1 2
기관이 1 3
선언을 1 3
항상 1 2
유념하면서 1 5
학습 1 2
존중을 1 3
증진하기 1 4
노력하며 1 4
국내적 1 3
국제적인 1 4
점진적 1 3
조치를 1 3
회원국 1 3
관할 1 2
사이에서 1 4
보편적이고 1 5
효과적으로 1 5
인식되고 1 4
준수되도록 1 5
노력하도록 1 5
국가가 1 3
성취하여야 1 5
기준으로서 1 5
세계인권선언을 1 7
선포한다 1 4
태어날 1 3
때부터 1 3
자유로우며 1 5
동등하다 1 4
천부적으로 1 5
이성과 1 3
부여받았으며 1 6
서로 1 2
형제애의 1 4
정신으로 1 4
행동하여야 1 5
피부색 1 3
성 1 1
언어 1 2
견해 1 2
민족적 1 3
출신 1 2
재산 1 2
출생 1 2
신분과 1 3
같은 1 2
종류의 1 3
더 1 1
나아가 1 3
개인이 1 3
속한 1 2
영토가 1 3
독립국 1 3
신탁통치지역 1 6
비자치지역이거나 1 8
주권에 1 3
여타의 1 3
제약을 1 3
받느냐에 1 4
법적 1 2
지위에 1 3
있어서는 1 4
생명과 1 3
신체의 1 3
안전에 1 3
노예상태 1 4
예속상태에 1 5
놓여지지 1 4
형태의 1 3
노예제도와 1 5
노예매매는 1 5
금지된다 1 4
고문 1 2
잔혹하거나 1 5
비인도적이거나 1 7
굴욕적인 1 4
처우 1 2
형벌을 1 3
어디에서나 1 5
인간으로서 1 5
인정받을 1 4
평등하며 1 4
차별도 1 3
위반되는 1 4
차별과 1 3
그러한 1 3
차별의 1 3
선동으로부터 1 6
헌법 1 2
법률이 1 3
부여한 1 3
침해하는 1 4
행위에 1 3
권한있는 1 4
국내법정에서 1 6
실효성 1 3
구제를 1 3
체포 1 2
구금 1 2
추방되지 1 4
권리 1 2
의무 1 2
자신에 1 3
형사상 1 3
혐의에 1 3
결정에 1 3
독립적이며 1 5
공평한 1 3
법정에서 1 4
평등하게 1 4
공정하고 1 4
공개된 1 3
재판을 1 3
형사피의자는 1 6
변호에 1 3
보장된 1 3
공개 1 2
재판에서 1 4
법률에 1 3
입증될 1 3
