type count length
la 108 2
kaj 105 3
de 77 2
ŭ 44 1
en 31 2
ĉiu 31 3
a 31 1
Artikolo 28 8
je 20 2
rajtas 20 6
al 19 2
rajtoj 18 6
estu 18 4
por 16 3
ajn 16 3
havas 15 5
kiu 14 3
rajton 14 6
estas 13 5
ke 12 2
kontra 11 6
ĉi 11 2
liberecoj 9 9
tio 8 3
tiu 8 3
per 8 3
ricevi 8 6
pro 8 3
Pro 7 3
ĉiuj 7 4
ĉu 7 2
ĝi 7 2
sia 7 3
ĝo 6 2
homoj 6 5
kiel 6 4
alia 6 4
edukado 6 7
Neniu 6 5
aliaj 6 5
digno 5 5
egalaj 5 6
kiuj 5 4
sen 5 3
Nacioj 5 6
sian 5 4
libereco 5 8
socio 5 5
Ĉiuj 5 4
kia 5 3
protekto 5 8
li 5 2
lia 5 3
Deklaracio 4 10
familio 4 7
homaj 4 5
liberecon 4 9
el 4 2
ne 4 2
popoloj 4 7
Unui 4 4
ĝintaj 4 6
personeco 4 9
anta 4 4
pli 4 3
kun 4 3
tiuj 4 4
plena 4 5
difinitaj 4 9
socia 4 5
internacia 4 10
lando 4 5
diskriminacio 4 13
egala 4 5
protekton 4 9
publika 4 7
o 4 1
rajto 4 5
libera 4 6
ĝon 3 3
nepre 3 5
inter 3 5
nacioj 3 6
kredon 3 6
fundamentaj 3 11
homa 3 4
tiun 3 4
Deklaracion 3 11
naciaj 3 6
mem 3 3
sub 3 3
religio 3 7
ĵoj 3 3
persono 3 7
sekureco 3 8
siaj 3 4
suferu 3 6
jure 3 4
necesaj 3 7
estis 3 5
libere 3 6
neniu 3 5
i 3 1
sole 3 4
Ŝtato 3 5
partopreni 3 10
kiun 3 4
Homaj 2 5
Rajtoj 2 6
proklamita 2 10
Ĝenerala 2 8
Asembleo 2 8
paco 2 4
mondo 2 5
tia 2 3
alta 2 4
necesas 2 7
aj 2 2
viroj 2 5
virinoj 2 7
socian 2 6
progreson 2 9
vivon 2 5
universala 2 10
respekto 2 8
observado 2 9
pri 2 3
instruado 2 9
certigu 2 7
same 2 4
tiel 2 4
liberaj 2 7
ili 2 3
diferencigo 2 11
raso 2 4
politika 2 8
opinio 2 6
nacia 2 5
naski 2 5
senkonsidere 2 12
sendependa 2 10
limigo 2 6
rajtojn 2 7
sklaveco 2 8
esti 2 4
ŭas 2 3
agoj 2 4
kiujn 2 5
arbitrajn 2 9
proceso 2 7
punebla 2 7
faro 2 4
oni 2 3
ĝis 2 3
tempo 2 5
kiam 2 4
familion 2 8
nek 2 3
intervenoj 2 10
lo 2 2
peti 2 4
celoj 2 5
principoj 2 9
havi 2 4
ŝtatanecon 2 10
arbitre 2 7
forprenita 2 10
ŝanĝ 2 4
ia 2 2
koncerne 2 8
geedzeco 2 8
okazu 2 5
fundamenta 2 10
sola 2 4
inkluzivas 2 10
religion 2 8
si 2 2
volo 2 4
povas 2 5
k 2 1
organizo 2 8
rimedoj 2 7
sociaj 2 6
laboro 2 6
justaj 2 6
senlaboreco 2 11
interesoj 2 9
inkluzive 2 9
bonfarto 2 8
okazo 2 5
ekster 2 6
infanoj 2 7
egale 2 5
ricevu 2 6
elementa 2 8
akirebla 2 8
agadon 2 6
artikolo 2 8
komunumo 2 8
ian 2 3
Universala 1 10
Adoptita 1 8
Rezolucio 1 9
A 1 1
III 1 3
decembro 1 8
Antaŭkonsideroj 1 15
agnosko 1 7
esenca 1 6
nefordoneblaj 1 13
membroj 1 7
homara 1 6
fundamento 1 10
libero 1 6
justo 1 5
malagnosko 1 10
malestimo 1 9
rezultigis 1 10
barbarajn 1 9
agojn 1 5
forte 1 5
ofendis 1 7
konscienc 1 9
on 1 2
homaro 1 6
efektivi 1 8
ĝuos 1 4
parolo 1 6
kredo 1 5
liberi 1 6
timo 1 4
bezono 1 6
plej 1 4
aspiro 1 6
ordinaraj 1 9
se 1 2
devigitaj 1 9
elektebla 1 9
vojo 1 4
ribeli 1 6
tiranismo 1 9
subpremo 1 8
hom 1 3
protektataj 1 11
leĝo 1 4
evoluigi 1 8
amikajn 1 7
rilatojn 1 8
Ĉarto 1 5
reasertis 1 9
firman 1 6
valoro 1 6
firme 1 5
decidis 1 7
ŭenigi 1 6
altnivelan 1 10
granda 1 6
sin 1 3
devigis 1 7
atingi 1 6
kunlaboro 1 9
ŭenigon 1 7
komuna 1 6
kompreno 1 8
esence 1 6
grava 1 5
realigo 1 7
sindevigo 1 9
Tial 1 4
nun 1 3
Proklamas 1 9
Universalan 1 11
komunan 1 7
celon 1 5
atingo 1 6
individuo 1 9
organo 1 6
konstante 1 9
atentante 1 9
strebu 1 6
respektigo 1 10
ŭgradaj 1 7
pa 1 2
ŝoj 1 3
internaciaj 1 11
ilian 1 5
universalan 1 11
efektivan 1 9
agnoskon 1 8
observadon 1 10
inte 1 4
r 1 1
teritorioj 1 10
ilia 1 4
jurisdikcio 1 11
denaske 1 7
posedas 1 7
racion 1 6
konsciencon 1 11
devus 1 5
konduti 1 7
unu 1 3
spirito 1 7
frateco 1 7
liberec 1 7
oj 1 2
validas 1 7
ha 1 2
ŭtkoloro 1 8
sekso 1 5
lingvo 1 6
deveno 1 6
poseda 1 6
aŭ 1 2
stato 1 5
Plie 1 4
nenia 1 5
farata 1 6
surbaz 1 6
e 1 1
jurisdikcia 1 11
pozicio 1 7
teritorio 1 9
apartenas 1 9
koncerna 1 8
kuratoreco 1 10
suvereneco 1 10
vivo 1 4
persona 1 7
tenata 1 6
servuteco 1 9
sklavkomerco 1 12
malpermesitaj 1 13
formoj 1 6
torturon 1 8
kruelan 1 7
nehoman 1 7
sendignigan 1 11
traktadon 1 9
punon 1 5
ĉie 1 3
agnoskita 1 9
s 1 1
jura 1 4
ega 1 3
lan 1 3
instigo 1 7
kompetentaj 1 11
tribunaloj 1 10
efikan 1 6
riparon 1 7
fundamentajn 1 12
konstitucio 1 11
le 1 2
