type count length
ya 125 2
na 114 2
haki 65 4
kwa 57 3
wa 43 2
mtu 37 3
cha 35 3
Kifungu 28 7
Kila 28 4
au 26 2
yake 26 4
ana 25 3
katika 21 6
za 20 2
uhuru 20 5
yote 19 4
watu 17 4
hali 16 4
nchi 15 4
sheria 14 6
kuwa 12 4
kazi 12 4
bila 11 4
yo 11 2
ni 11 2
kila 11 4
wote 10 4
hii 9 3
binadamu 9 8
Kwa 8 3
asili 8 5
sawa 8 4
maisha 8 6
kama 8 4
kati 8 4
anayo 8 5
la 7 2
Umoja 7 5
Mataifa 7 7
Taarifa 7 7
mataifa 7 7
mambo 7 5
taifa 7 5
kulindwa 7 8
YA 6 2
lazima 6 6
dini 6 4
ye 6 2
wakati 6 6
kupata 6 6
hiyo 5 4
heshima 5 7
bora 5 4
wake 5 4
jamii 5 5
ambao 5 5
ubaguzi 5 7
nyingine 5 8
kanuni 5 6
mmoja 5 5
ndoa 5 4
kamili 4 6
siasa 4 5
ndio 4 4
kwamba 4 6
kutokana 4 8
Mtu 4 3
makosa 4 6
zake 4 4
wajibu 4 6
jamaa 4 5
mwenyewe 4 8
ajili 4 5
njia 4 4
kushiriki 4 9
Elimu 4 5
juu 3 3
zilizo 3 6
Wanachama 3 9
amani 3 5
a 3 1
wao 3 3
cho 3 3
chote 3 5
chini 3 5
kuendeleza 3 10
ka 3 2
yao 3 3
wanaume 3 7
wanawake 3 8
kukuza 3 6
jambo 3 5
baraza 3 6
huru 3 4
rangi 3 5
mali 3 4
hayo 3 4
fulani 3 6
iwe 3 3
namna 3 5
kuishi 3 6
wana 3 4
hadharani 3 9
lo 3 2
lote 3 4
tu 3 2
hiari 3 5
pamoja 3 6
Serikali 3 8
wengine 3 7
pia 3 3
maoni 3 5
chama 3 5
yeye 3 4
ambazo 3 6
kutunzwa 3 8
maendeleo 3 9
kufanya 3 7
kuchagua 3 8
mshahara 3 8
elimu 3 5
Katika 2 6
Baraza 2 6
kuu 2 3
kutangaza 2 9
Haki 2 4
taarifa 2 7
maana 2 5
i 2 1
zote 2 4
kujali 2 6
TAARIFA 2 7
ulimwengu 2 9
JUU 2 3
HAKI 2 4
ZA 2 2
BINADAMU 2 8
vitendo 2 7
dhamiri 2 7
ambayo 2 6
msaada 2 6
imani 2 5
sababu 2 6
starehe 2 7
zaidi 2 5
Nchi 2 4
kushirikiana 2 12
hizi 2 4
huu 2 3
juhudi 2 6
kushikilia 2 10
kufundisha 2 10
hizo 2 4
huo 2 3
miongoni 2 8
mwa 2 3
Watu 2 4
wamezaliwa 2 10
Wote 2 4
yapasa 2 6
anastahili 2 10
wo 2 2
utawala 2 7
kutegemea 2 9
nafsi 2 5
Mbele 2 5
wanastahili 2 11
kuvunja 2 7
hukumu 2 6
mujibu 2 6
kutoka 2 6
kuhukumiwa 2 10
vyema 2 5
kosa 2 4
Wala 2 4
ile 2 3
sifa 2 4
udhalimu 2 8
maazimio 2 8
utaifa 2 6
kuoana 2 6
kuunda 2 6
binafsi 2 7
inahusu 2 7
kutoa 2 5
muda 2 4
kura 2 4
siri 2 4
zinazotokana 2 12
kulinda 2 7
watoto 2 6
itolewe 2 7
ustadi 2 6
wazi 2 4
barabara 2 8
mbali 2 5
Ni 2 2
sayansi 2 7
zilizoelezwa 2 12
Disemba 1 7
lilikubali 1 10
Ulimwengu 1 9
Binadamu 1 8
Maelezo 1 7
yamepigwa 1 9
