type count length
ng 172 2
sa 168 2
at 109 2
mga 80 3
na 73 2
Ang 47 3
ang 46 3
karapatan 36 9
may 34 3
bawat 33 5
ay 32 2
o 30 1
Artikulo 30 8
mang 24 4
kanyang 22 7
tao 16 3
ito 15 3
karapatang 15 10
pantay 14 6
lahat 13 5
walang 13 6
ano 13 3
bansa 12 5
isang 12 5
nang 11 4
di 11 2
kalayaan 11 8
Bansang 9 7
Nagkakaisa 9 10
pamamagitan 9 11
batas 9 5
Walang 9 6
Pahayag 7 7
pang 7 4
Sapagkat 7 8
laban 7 5
panlipunan 7 10
m 7 1
karapat 7 7
pangangalaga 7 12
iba 6 3
pagtatangi 6 10
para 6 4
sarili 6 6
pandaigdig 6 10
lipunan 6 7
sino 6 4
kasama 6 6
karangalan 5 10
Estado 5 6
kalayaang 5 9
edukasyon 5 9
malaya 5 6
dapat 5 5
relihiyon 5 9
pangunahing 5 11
pagkakasalang 5 13
panahong 5 8
pag 5 3
upang 4 5
bilang 4 6
kanilang 4 8
pagkatao 4 8
lalong 4 6
buhay 4 5
ga 4 2
ganap 4 5
maging 4 6
taong 4 5
pinarurusahan 4 13
pamilya 4 7
alin 4 4
malayang 4 8
lamang 4 6
Kapulungan 3 10
batay 3 5
Pilipinas 3 9
budhi 3 5
a 3 1
mahalaga 3 8
mamamayan 3 9
paggalang 3 9
pagtalima 3 9
lubhang 3 7
nasa 3 4
an 3 2
pambansa 3 8
ilalim 3 6
katwiran 3 8
pampulitika 3 11
ari 3 3
arian 3 5
dito 3 4
makatarungan 3 12
kailangan 3 9
hindi 3 5
nararapat 3 9
panghihimasok 3 13
pagkamamamayan 3 14
pangkat 3 7
pamayanan 3 9
paggawa 3 7
gawain 3 6
edukasyong 3 10
Pandaigdig 2 10
Karapatan 2 9
Tao 2 3
nilalaman 2 9
teritoryo 2 9
salin 2 5
Pilipino 2 8
Punong 2 6
Pangkaalaman 2 12
pagpapahayag 2 12
NG 2 2
pagkilala 2 9
saligan 2 7
kapayapaan 2 10
daigdig 2 7
gawang 2 6
magtatamasa 2 11
kung 2 4
itaguyod 2 8
pagpapaunlad 2 12
mabuting 2 8
pagsasamahan 2 12
Mga 2 3
kaunlaran 2 9
g 2 1
pamantayan 2 10
saligang 2 8
pangkalahatang 2 14
pagtuturo 2 9
pa 2 2
hakbang 2 7
mabisang 2 8
isa 2 3
nakalahad 2 9
uri 2 3
gaya 2 4
lahi 2 4
kuro 2 4
kalagayan 2 9
kinabibilangan 2 14
it 2 2
katakdaan 2 9
kapanatagan 2 11
in 2 2
harap 2 5
gayong 2 6
hukumang 2 8
makatwirang 2 11
hayag 2 5
paglilitis 2 10
alinsunod 2 9
dahil 2 5
ni 2 2
tuligsa 2 7
paninirahan 2 11
hanggahan 2 9
humanap 2 7
uusig 2 5
tunay 2 5
nasasalungat 2 12
layunin 2 7
aalisan 2 7
magpalit 2 8
ma 2 2
y 2 1
asawa 2 5
pagtatakda 2 10
nito 2 4
gayon 2 5
paniniwala 2 10
paraan 2 6
kar 2 3
apatan 2 6
makilahok 2 9
pamahalaan 2 10
paglilingkod 2 12
pambayan 2 8
pana 2 4
pangkalinangan 2 14
mapapasukang 2 12
kapantay 2 8
bayad 2 5
i 2 1
ba 2 2
pangyayari 2 10
tanging 2 7
anak 2 4
lehitimo 2 8
kaayusang 2 9
ad 2 2
Noong 1 5
Disyembre 1 9
Pangkal 1 7
ahatang 1 7
nagsagawa 1 9
nagpahayag 1 10
buong 1 5
noon 1 4
mababasa 1 8
susunod 1 7
pahina 1 6
Kasunod 1 7
makasaysayang 1 13
gawaing 1 7
nanawagan 1 9
kagawad 1 7
ilathala 1 8
palaganapin 1 11
itanghal 1 8
basahin 1 7
talakayin 1 9
lalung 1 6
lalo 1 4
paaralan 1 8
inst 1 4
itusyong 1 8
edukasyonal 1 11
kalagayang 1 10
pulitik 1 7
al 1 2
Pangwakas 1 9
Textong 1 7
May 1 3
Pahintulot 1 10
Katipunan 1 9
Bagong 1 6
Pilipina 1 8
Ipinaabot 1 9
taus 1 4
pasasalamat 1 11
Law 1 3
Center 1 6
