type count length
ve 88 2
ı 41 1
bir 33 3
hakk 32 4
madde 30 5
veya 27 4
her 26 3
ın 21 2
i 20 1
h 18 1
ına 17 3
ır 15 2
haklar 14 6
ını 14 3
vard 14 4
ının 13 4
bu 13 2
e 13 1
haizdir 13 7
ş 12 1
olarak 11 6
herkes 11 6
b 10 1
şahs 10 4
g 9 1
k 8 1
ile 8 3
ında 8 4
hiç 8 3
kimse 8 5
ütün 7 4
sosyal 7 6
çin 7 3
çe 7 2
kar 7 3
şı 7 2
ba 7 2
m 7 1
serbest 7 7
insan 6 5
ana 6 3
öğretim 6 7
şit 6 3
herhangi 6 8
ğu 6 2
herkesin 6 8
tam 6 3
hak 6 3
d 5 1
ık 5 2
s 5 1
ilan 5 4
t 5 1
şekilde 5 7
milli 5 5
milletleraras 5 13
din 5 3
şahıs 5 5
ından 5 5
nı 4 2
y 4 1
karşı 4 5
milletler 4 9
olan 4 4
daha 4 4
ği 4 2
ıyla 4 4
şbu 4 3
do 4 2
tabi 4 4
ıdır 4 4
ayk 4 3
ırı 4 3
keyfi 4 5
a 4 1
ç 4 1
etmek 4 5
hakkı 4 5
ğe 4 2
kamu 4 4
hi 4 2
i̇nsan 3 6
hakları 3 7
olmas 3 5
bulunmas 3 8
geli 3 4
haysiyet 3 8
de 3 2
erkek 3 5
kad 3 3
etmi 3 4
na 3 2
hayat 3 5
birle 3 5
şmiş 3 4
ger 3 3
genel 3 5
toplulu 3 7
yoluyla 3 7
sayg 3 4
beyannamede 3 11
istifade 3 8
memleket 3 8
uyru 3 4
olsun 3 5
ferdin 3 6
tan 3 3
kanun 3 5
ız 3 2
ürlü 3 4
yap 3 3
vardır 3 6
kendisine 3 9
şitlikle 3 8
taraf 3 5
adil 3 4
çık 3 3
su 3 2
edilemez 3 8
özel 3 4
mahrum 3 6
evlilik 3 7
ancak 3 5
mal 3 3
olmak 3 5
kat 3 3
şahsiyetinin 3 12
çbir 3 4
da 3 2
evrensel 2 8
bulunan 2 7
eşit 2 4
tanı 2 4
insanlar 2 8
ürriyetlerine 2 13
üksek 2 5
ama 2 3
zul 2 3
üm 2 2
son 2 3
için 2 4
hukuk 2 5
korunmas 2 8
zaruret 2 7
teşvik 2 6
birleşmi 2 8
halklar 2 7
olmaları 2 8
ürriyet 2 7
şartlar 2 7
kurmaya 2 7
üye 2 3
devletlerin 2 11
Milletler 2 9
te 2 2
işbirli 2 7
çekten 2 6
taahhü 2 6
ürriyetlerin 2 12
yerine 2 6
gerek 2 5
ahalisi 2 7
gerekse 2 7
alt 2 3
ındaki 2 6
aras 2 4
sağ 2 3
gayret 2 6
amac 2 4
siyasi 2 6
di 2 2
ğer 2 3
şe 2 2
fark 2 4
özetilmeksizin 2 14
olunan 2 6
bundan 2 6
şka 2 3
bulundu 2 7
hiçbir 2 6
ki 2 2
ölelik 2 6
muamelelere 2 11
ınmas 2 5
ılacak 2 6
gerekli 2 7
ış 2 2
ılır 2 4
ötürü 2 5
ailesi 2 6
tecav 2 5
üzlere 2 6
korunmaya 2 9
devletin 2 8
ınırları 2 8
memleketi 2 9
dahil 2 5
ülteci 2 6
uyrukluk 2 8
ırk 2 3
aile 2 4
evlenme 2 7
r 2 1
cemiyetin 2 9
temel 2 5
tek 2 3
şına 2 4
şkalar 2 6
mü 2 2
fikir 2 5
ürriyetine 2 10
surette 2 7
içerir 2 6
derne 2 5
memleketin 2 10
ılmak 2 5
iradesi 2 7
edecek 2 6
üvenli 2 6
elveri 2 6
şli 2 3
çalışma 2 7
ücrete 2 6
uygun 2 5
tü 2 2
bunlara 2 7
refah 2 5
ışında 2 6
çocuklar 2 8
çinde 2 5
öğrenim 2 7
yla 2 3
milletlerin 2 11
ürriyetlerinin 2 14
kullan 2 6
ya 2 2
beyannamesi 1 11
Önsöz 1 5
i̇nsanlı 1 8
ailesinin 1 9
üyelerinde 1 10
haysiyetin 1 10
bunlar 1 6
devir 1 5
kabul 1 5
etmez 1 5
nın 1 3
nmas 1 4
hususunun 1 9
ürriyetin 1 9
adaletin 1 8
ünya 1 4
barışının 1 9
temeli 1 6
nmamas 1 6
hor 1 3
örülmesinin 1 11
insanl 1 6
vicdanı 1 7
isyana 1 6
sevkeden 1 8
vah 1 3
şiliklere 1 9
sebep 1 5
olmu 1 4
deh 1 3
şetten 1 6
yoksulluktan 1 12
kurtulmu 1 8
içinde 1 6
öz 1 2
inanma 1 6
sahip 1 5
olacaklar 1 9
dünyan 1 6
kurulmas 1 8
en 1 2
çları 1 5
oralak 1 6
edilmi 1 6
i̇nsanin 1 8
bask 1 4
ıya 1 3
çare 1 4
ayaklanmaya 1 11
mecbur 1 6
kalmamas 1 8
rejimi 1 6
esasl 1 5
Uluslararas 1 11
dost 1 4
ça 1 2
ilişkiler 1 9
ştirilmesini 1 12
etmenin 1 7
esaslı 1 6
antla 1 5
şmada 1 5
ğerine 1 6
ınların 1 7
eşitliğ 1 7
ine 1 3
imanlar 1 7
kere 1 4
ilerlemeyi 1 10
kolayla 1 7
ştırmaya 1 8
geni 1 4
içerisinde 1 10
iyi 1 3
karar 1 5
verdiklerini 1 12
beyan 1 5
bulunmalar 1 10
şkilat 1 6
ederek 1 6
dünyada 1 7
saygı 1 5
gösterilmesinin 1 15
teminini 1 8
herkesçe 1 8
aynı 1 4
anla 1 4
şılmas 1 6
yukar 1 5
ıdaki 1 5
dün 1 3
getirilmesi 1 11
derece 1 6
önemli 1 6
gö 1 2
re 1 2
kurulu 1 6
İnsanlı 1 7
ğunun 1 5
fertleriyle 1 11
uzuvlar 1 7
beyannameyi 1 11
daima 1 5
gözönünde 1 9
tutarak 1 7
eğ 1 2
itim 1 4
ürriyetlere 1 11
ıyı 1 3
geliştirmeye 1 12
gittik 1 6
artan 1 5
tedbirlerle 1 11
bizzat 1 6
devletler 1 9
idaresi 1 7
ülkeler 1 7
dünyaca 1 7
fiilen 1 6
tanınmas 1 8
tatbik 1 6
edilmesini 1 10
lamaya 1 6
etmeleri 1 8
ula 1 3
şılacak 1 7
ortak 1 5
ideal 1 5
beyannamesini 1 13
eder 1 4
bütün 1 5
ür 1 2
bak 1 3
ımından 1 7
ğarlar 1 6
Ak 1 2
ıl 1 2
vicdana 1 7
sahiptirler 1 11
birbirlerine 1 12
karde 1 5
şlik 1 4
zihniyeti 1 9
hareket 1 7
etmelidirler 1 12
rk 1 2
renk 1 4
cinsiyet 1 8
dil 1 3
akide 1 5
