"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","في",54,2,"Arabic",0.0422866092404072,5,2
"2","أو",45,2,"Arabic",0.0352388410336727,5,2
"3","المادة",30,6,"Arabic",0.0234925606891151,3,2
"4","الحق",30,4,"Arabic",0.0234925606891151,7,2
"5","لكل",26,3,"Arabic",0.0203602192638998,4,2
"6","أن",20,2,"Arabic",0.0156617071260767,6,2
"7","من",19,2,"Arabic",0.0148786217697729,8,2
"8","على",18,3,"Arabic",0.0140955364134691,4,2
"9","شخص",17,3,"Arabic",0.0133124510571652,8,2
"10","أي",15,2,"Arabic",0.0117462803445576,7,2
"11","فرد",14,3,"Arabic",0.0109631949882537,4,2
"12","لا",11,2,"Arabic",0.00861393891934221,8,2
"13","إلى",10,3,"Arabic",0.00783085356303837,4,2
"14","كان",8,3,"Arabic",0.0062646828504307,6,2
"15","الإنسان",8,7,"Arabic",0.0062646828504307,9,2
"16","الحقوق",8,6,"Arabic",0.0062646828504307,6,2
"17","هذا",8,3,"Arabic",0.0062646828504307,3,2
"18","حرية",8,4,"Arabic",0.0062646828504307,3,2
"19","والحريات",7,8,"Arabic",0.00548159749412686,3,2
"20","كل",7,2,"Arabic",0.00548159749412686,5,2
"21","حق",7,2,"Arabic",0.00548159749412686,5,2
"22","دون",7,3,"Arabic",0.00548159749412686,4,3
"23","ولما",6,4,"Arabic",0.00469851213782302,5,3
"24","الإعلان",6,7,"Arabic",0.00469851213782302,4,3
"25","عن",6,2,"Arabic",0.00469851213782302,11,3
"26","له",6,2,"Arabic",0.00469851213782302,6,3
"27","يجوز",6,4,"Arabic",0.00469851213782302,6,3
"28","حقوق",5,4,"Arabic",0.00391542678151919,7,3
"29","القانون",5,7,"Arabic",0.00391542678151919,4,3
"30","حماية",5,5,"Arabic",0.00391542678151919,5,3
"31","بين",5,3,"Arabic",0.00391542678151919,3,3
"32","الأمم",5,5,"Arabic",0.00391542678151919,5,3
"33","المتحدة",5,7,"Arabic",0.00391542678151919,7,3
"34","الأساسية",5,8,"Arabic",0.00391542678151919,5,3
"35","مع",5,2,"Arabic",0.00391542678151919,4,3
"36","المجتمع",5,7,"Arabic",0.00391542678151919,4,3
"37","إنسان",5,5,"Arabic",0.00391542678151919,3,3
"38","التمتع",5,6,"Arabic",0.00391542678151919,6,3
"39","التي",5,4,"Arabic",0.00391542678151919,7,3
"40","ذلك",5,3,"Arabic",0.00391542678151919,7,3
"41","إليه",4,4,"Arabic",0.00313234142521535,3,3
"42","فيه",4,3,"Arabic",0.00313234142521535,5,3
"43","الفرد",4,5,"Arabic",0.00313234142521535,4,3
"44","كانت",4,4,"Arabic",0.00313234142521535,4,3
"45","بهذا",4,4,"Arabic",0.00313234142521535,4,3
"46","العامة",4,6,"Arabic",0.00313234142521535,7,3
"47","التعليم",4,7,"Arabic",0.00313234142521535,6,3
"48","تمييز",4,5,"Arabic",0.00313234142521535,5,3
"49","قدم",4,3,"Arabic",0.00313234142521535,6,3
"50","الزواج",4,6,"Arabic",0.00313234142521535,7,3
"51","الاجتماعية",4,10,"Arabic",0.00313234142521535,3,3
"52","وفي",4,3,"Arabic",0.00313234142521535,6,3
"53","الاعتراف",3,8,"Arabic",0.00234925606891151,7,3
"54","جميع",3,4,"Arabic",0.00234925606891151,5,3
"55","أساس",3,4,"Arabic",0.00234925606891151,3,3
"56","قد",3,2,"Arabic",0.00234925606891151,6,3
"57","ما",3,2,"Arabic",0.00234925606891151,9,3
"58","آخر",3,3,"Arabic",0.00234925606891151,8,3
"59","الدول",3,5,"Arabic",0.00234925606891151,5,3
"60","متساوية",3,7,"Arabic",0.00234925606891151,3,3
"61","وأن",3,3,"Arabic",0.00234925606891151,7,3
"62","الذي",3,4,"Arabic",0.00234925606891151,7,3
"63","هذه",3,3,"Arabic",0.00234925606891151,2,3
"64","أية",3,3,"Arabic",0.00234925606891151,7,3
"65","يكون",3,4,"Arabic",0.00234925606891151,6,3
"66","الدولي",3,6,"Arabic",0.00234925606891151,6,3
"67","سواء",3,4,"Arabic",0.00234925606891151,6,3
"68","تلك",3,3,"Arabic",0.00234925606891151,6,3
"69","غير",3,3,"Arabic",0.00234925606891151,6,3
"70","كما",3,3,"Arabic",0.00234925606891151,5,3
"71","المساواة",3,8,"Arabic",0.00234925606891151,5,3
"72","عمل",3,3,"Arabic",0.00234925606891151,5,3
"73","أحد",3,3,"Arabic",0.00234925606891151,7,3
"74","بالكرامة",2,8,"Arabic",0.00156617071260767,6,3
"75","الأسرة",2,6,"Arabic",0.00156617071260767,4,3
"76","الحرية",2,6,"Arabic",0.00156617071260767,3,3
"77","أعمال",2,5,"Arabic",0.00156617071260767,5,3
"78","تعزيز",2,5,"Arabic",0.00156617071260767,5,3
"79","بحقوق",2,5,"Arabic",0.00156617071260767,7,3
"80","وبما",2,4,"Arabic",0.00156617071260767,8,3
"81","والنساء",2,7,"Arabic",0.00156617071260767,8,3
"82","الاجتماعي",2,9,"Arabic",0.00156617071260767,2,3
"83","مستوى",2,5,"Arabic",0.00156617071260767,6,3
"84","الحياة",2,6,"Arabic",0.00156617071260767,3,3
"85","الأعضاء",2,7,"Arabic",0.00156617071260767,5,3
"86","واحترامها",2,9,"Arabic",0.00156617071260767,7,3
"87","العام",2,5,"Arabic",0.00156617071260767,3,3
"88","أنه",2,3,"Arabic",0.00156617071260767,5,3
"89","الشعوب",2,6,"Arabic",0.00156617071260767,6,3
"90","احترام",2,6,"Arabic",0.00156617071260767,6,3
"91","لضمان",2,5,"Arabic",0.00156617071260767,5,3
"92","ومراعاتها",2,9,"Arabic",0.00156617071260767,7,4
"93","الناس",2,5,"Arabic",0.00156617071260767,4,4
"94","بكافة",2,5,"Arabic",0.00156617071260767,4,4
"95","الواردة",2,7,"Arabic",0.00156617071260767,5,4
"96","بسبب",2,4,"Arabic",0.00156617071260767,3,4
"97","الجنس",2,5,"Arabic",0.00156617071260767,4,4
"98","الدين",2,5,"Arabic",0.00156617071260767,5,4
"99","الرأي",2,5,"Arabic",0.00156617071260767,4,4
"100","السياسي",2,7,"Arabic",0.00156617071260767,7,4
"101","الوطني",2,6,"Arabic",0.00156617071260767,6,4
"102","تفرقة",2,5,"Arabic",0.00156617071260767,6,4
"103","البقعة",2,6,"Arabic",0.00156617071260767,5,4
"104","إليها",2,5,"Arabic",0.00156617071260767,5,4
"105","قيد",2,3,"Arabic",0.00156617071260767,5,4
"106","القيود",2,6,"Arabic",0.00156617071260767,5,4
"107","أمام",2,4,"Arabic",0.00156617071260767,6,4
"108","بحماية",2,6,"Arabic",0.00156617071260767,4,4
"109","عنه",2,3,"Arabic",0.00156617071260767,5,4
"110","يلجأ",2,4,"Arabic",0.00156617071260767,5,4
"111","فيها",2,4,"Arabic",0.00156617071260767,7,4
"112","التامة",2,6,"Arabic",0.00156617071260767,7,4
"113","نزيهة",2,5,"Arabic",0.00156617071260767,7,4
"114","حقوقه",2,5,"Arabic",0.00156617071260767,2,4
"115","يعتبر",2,5,"Arabic",0.00156617071260767,5,4
"116","أداة",2,4,"Arabic",0.00156617071260767,4,4
"117","إلا",2,3,"Arabic",0.00156617071260767,4,4
"118","وقت",2,3,"Arabic",0.00156617071260767,5,4
