"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","i",37,1,"Catalan",0.0526315789473684,6,1
"2","de",34,2,"Catalan",0.0483641536273115,4,1
"3","la",27,2,"Catalan",0.0384068278805121,2,1
"4","a",24,1,"Catalan",0.0341394025604552,9,1
"5","els",22,3,"Catalan",0.0312944523470839,9,1
"6","el",19,2,"Catalan",0.027027027027027,9,2
"7","que",18,3,"Catalan",0.0256045519203414,2,2
"8","en",16,2,"Catalan",0.0227596017069701,7,2
"9","o",12,1,"Catalan",0.0170697012802276,11,2
"10","per",11,3,"Catalan",0.015647226173542,10,2
"11","drets",11,5,"Catalan",0.015647226173542,7,2
"12","Article",11,7,"Catalan",0.015647226173542,5,2
"13","d",10,1,"Catalan",0.0142247510668563,6,2
"14","dret",9,4,"Catalan",0.0128022759601707,4,2
"15","tots",7,4,"Catalan",0.00995732574679943,13,2
"16","no",7,2,"Catalan",0.00995732574679943,9,2
"17","persona",7,7,"Catalan",0.00995732574679943,3,2
"18","les",6,3,"Catalan",0.0085348506401138,8,2
"19","és",6,2,"Catalan",0.0085348506401138,9,2
"20","Considerant",6,11,"Catalan",0.0085348506401138,8,2
"21","humans",6,6,"Catalan",0.0085348506401138,7,2
"22","han",6,3,"Catalan",0.0085348506401138,10,3
"23","un",6,2,"Catalan",0.0085348506401138,8,3
"24","Declaració",5,10,"Catalan",0.00711237553342817,5,3
"25","com",5,3,"Catalan",0.00711237553342817,6,3
"26","contra",5,6,"Catalan",0.00711237553342817,3,3
"27","amb",5,3,"Catalan",0.00711237553342817,4,3
"28","té",5,2,"Catalan",0.00711237553342817,4,3
"29","qualsevol",5,9,"Catalan",0.00711237553342817,4,3
"30","llibertat",4,9,"Catalan",0.00568990042674253,9,3
"31","més",4,3,"Catalan",0.00568990042674253,12,3
"32","una",4,3,"Catalan",0.00568990042674253,8,3
"33","llibertats",4,10,"Catalan",0.00568990042674253,9,3
"34","aquesta",4,7,"Catalan",0.00568990042674253,8,3
"35","Tota",4,4,"Catalan",0.00568990042674253,8,3
"36","seva",4,4,"Catalan",0.00568990042674253,5,3
"37","llei",4,4,"Catalan",0.00568990042674253,14,3
"38","Nacions",3,7,"Catalan",0.0042674253200569,2,3
"39","Unides",3,6,"Catalan",0.0042674253200569,4,3
"40","reconeixement",3,13,"Catalan",0.0042674253200569,11,3
"41","dignitat",3,8,"Catalan",0.0042674253200569,3,3
"42","iguals",3,6,"Catalan",0.0042674253200569,6,3
"43","membres",3,7,"Catalan",0.0042674253200569,5,3
"44","es",3,2,"Catalan",0.0042674253200569,4,4
"45","entre",3,5,"Catalan",0.0042674253200569,2,4
"46","pobles",3,6,"Catalan",0.0042674253200569,9,4
"47","fonamentals",3,11,"Catalan",0.0042674253200569,6,4
"48","l",3,1,"Catalan",0.0042674253200569,2,4
"49","sota",3,4,"Catalan",0.0042674253200569,8,4
"50","són",3,3,"Catalan",0.0042674253200569,11,4
"51","cap",3,3,"Catalan",0.0042674253200569,5,4
"52","distinció",3,9,"Catalan",0.0042674253200569,9,4
"53","altra",3,5,"Catalan",0.0042674253200569,5,4
"54","si",3,2,"Catalan",0.0042674253200569,3,4
"55","ningú",3,5,"Catalan",0.0042674253200569,4,4
"56","serà",3,4,"Catalan",0.0042674253200569,8,4
"57","tenen",3,5,"Catalan",0.0042674253200569,6,4
"58","Assemblea",2,9,"Catalan",0.00284495021337127,12,4
"59","General",2,7,"Catalan",0.00284495021337127,10,4
"60","Universal",2,9,"Catalan",0.00284495021337127,9,4
"61","Drets",2,5,"Catalan",0.00284495021337127,3,4
"62","Humans",2,6,"Catalan",0.00284495021337127,3,4
"63","humana",2,6,"Catalan",0.00284495021337127,3,4
"64","justícia",2,8,"Catalan",0.00284495021337127,9,4
"65","món",2,3,"Catalan",0.00284495021337127,6,4
"66","actes",2,5,"Catalan",0.00284495021337127,8,4
"67","consciència",2,11,"Catalan",0.00284495021337127,10,4
"68","tothom",2,6,"Catalan",0.00284495021337127,3,4
"69","éssers",2,6,"Catalan",0.00284495021337127,5,4
"70","essencial",2,9,"Catalan",0.00284495021337127,5,4
"71","tal",2,3,"Catalan",0.00284495021337127,4,5
"72","recurs",2,6,"Catalan",0.00284495021337127,2,5
"73","promoure",2,8,"Catalan",0.00284495021337127,4,5
"74","nacions",2,7,"Catalan",0.00284495021337127,8,5
"75","llur",2,4,"Catalan",0.00284495021337127,3,5
"76","igualtat",2,8,"Catalan",0.00284495021337127,8,5
"77","social",2,6,"Catalan",0.00284495021337127,3,5
"78","vida",2,4,"Catalan",0.00284495021337127,10,5
"79","Estats",2,6,"Catalan",0.00284495021337127,9,5
"80","respecte",2,8,"Catalan",0.00284495021337127,7,5
"81","efectiu",2,7,"Catalan",0.00284495021337127,3,5
"82","aquests",2,7,"Catalan",0.00284495021337127,5,5
"83","cada",2,4,"Catalan",0.00284495021337127,4,5
"84","nacionals",2,9,"Catalan",0.00284495021337127,10,5
"85","tant",2,4,"Catalan",0.00284495021337127,6,5
"86","sense",2,5,"Catalan",0.00284495021337127,2,5
"87","independent",2,11,"Catalan",0.00284495021337127,7,5
"88","està",2,4,"Catalan",0.00284495021337127,6,5
"89","sotmès",2,6,"Catalan",0.00284495021337127,6,5
"90","esclavitud",2,10,"Catalan",0.00284495021337127,6,5
"91","igual",2,5,"Catalan",0.00284495021337127,9,5
"92","protecció",2,9,"Catalan",0.00284495021337127,4,5
"93","discriminació",2,13,"Catalan",0.00284495021337127,10,5
"94","seus",2,4,"Catalan",0.00284495021337127,5,5
"95","hom",2,3,"Catalan",0.00284495021337127,5,5
"96","Adoptada",1,8,"Catalan",0.00142247510668563,5,5
"97","proclamada",1,10,"Catalan",0.00142247510668563,7,5
"98","resolució",1,9,"Catalan",0.00142247510668563,3,5
"99","III",1,3,"Catalan",0.00142247510668563,6,6
"100","desembre",1,8,"Catalan",0.00142247510668563,6,6
"101","PREÀMBUL",1,8,"Catalan",0.00142247510668563,5,6
"102","considerant",1,11,"Catalan",0.00142247510668563,11,6
"103","inherent",1,8,"Catalan",0.00142247510668563,6,6
"104","inalienables",1,12,"Catalan",0.00142247510668563,5,6
"105","família",1,7,"Catalan",0.00142247510668563,7,6
"106","fonament",1,8,"Catalan",0.00142247510668563,6,6
"107","pau",1,3,"Catalan",0.00142247510668563,9,6
"108","desconeixement",1,14,"Catalan",0.00142247510668563,3,6
"109","menyspreu",1,9,"Catalan",0.00142247510668563,9,6
"110","originat",1,8,"Catalan",0.00142247510668563,8,6
"111","barbàrie",1,8,"Catalan",0.00142247510668563,3,6
"112","ultratjat",1,9,"Catalan",0.00142247510668563,10,6
"113","humanitat",1,9,"Catalan",0.00142247510668563,2,6
"114","ha",1,2,"Catalan",0.00142247510668563,4,6
"115","proclamat",1,9,"Catalan",0.00142247510668563,2,6
"116","aspiració",1,9,"Catalan",0.00142247510668563,8,6
"117","elevada",1,7,"Catalan",0.00142247510668563,5,6
"118","adveniment",1,10,"Catalan",0.00142247510668563,3,6
"119","on",1,2,"Catalan",0.00142247510668563,7,6
"120","deslliurats",1,11,"Catalan",0.00142247510668563,9,6
"121","temor",1,5,"Catalan",0.00142247510668563,13,6
"122","misèria",1,7,"Catalan",0.00142247510668563,9,6
"123","puguin",1,6,"Catalan",0.00142247510668563,4,6
"124","gaudir",1,6,"Catalan",0.00142247510668563,9,6
"125","expressió",1,9,"Catalan",0.00142247510668563,8,6
"126","creença",1,7,"Catalan",0.00142247510668563,3,6
"127","siguin",1,6,"Catalan",0.00142247510668563,4,6
"128","protegits",1,9,"Catalan",0.00142247510668563,6,6
"129","règim",1,5,"Catalan",0.00142247510668563,7,6
"130","persones",1,8,"Catalan",0.00142247510668563,7,6
"131","vegin",1,5,"Catalan",0.00142247510668563,9,6
"132","forçades",1,8,"Catalan",0.00142247510668563,10,6
"133","últim",1,5,"Catalan",0.00142247510668563,5,6
"134","tirania",1,7,"Catalan",0.00142247510668563,7,6
"135","opressió",1,8,"Catalan",0.00142247510668563,3,7
"136","també",1,5,"Catalan",0.00142247510668563,9,7
"137","desenvolupament",1,15,"Catalan",0.00142247510668563,7,7
"138","relacions",1,9,"Catalan",0.00142247510668563,6,7
"139","amistoses",1,9,"Catalan",0.00142247510668563,9,7
"140","ratificat",1,9,"Catalan",0.00142247510668563,8,7
"141","Carta",1,5,"Catalan",0.00142247510668563,7,7
"142","fe",1,2,"Catalan",0.00142247510668563,6,7
"143","valor",1,5,"Catalan",0.00142247510668563,15,7
"144","homes",1,5,"Catalan",0.00142247510668563,7,7
"145","dones",1,5,"Catalan",0.00142247510668563,8,7
"146","decidit",1,7,"Catalan",0.00142247510668563,9,7
"147","progrés",1,7,"Catalan",0.00142247510668563,12,7
"148","millorar",1,8,"Catalan",0.00142247510668563,1,7
"149","nivell",1,6,"Catalan",0.00142247510668563,12,7
