"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","的",147,1,"Chinese",0.0967105263157895,2,1
"2","和",77,1,"Chinese",0.0506578947368421,2,1
"3","人人",28,2,"Chinese",0.0184210526315789,2,1
"4","或",27,1,"Chinese",0.0177631578947368,2,1
"5","权利",27,2,"Chinese",0.0177631578947368,1,1
"6","有权",26,2,"Chinese",0.0171052631578947,2,1
"7","自由",24,2,"Chinese",0.0157894736842105,2,1
"8","在",23,1,"Chinese",0.0151315789473684,2,1
"9","并",19,1,"Chinese",0.0125,2,1
"10","任何",18,2,"Chinese",0.0118421052631579,2,1
"11","对",15,1,"Chinese",0.00986842105263158,2,1
"12","有",15,1,"Chinese",0.00986842105263158,1,1
"13","享受",15,2,"Chinese",0.00986842105263158,2,1
"14","社会",14,2,"Chinese",0.00921052631578947,2,1
"15","不得",14,2,"Chinese",0.00921052631578947,2,1
"16","国家",13,2,"Chinese",0.00855263157894737,2,1
"17","他",13,1,"Chinese",0.00855263157894737,2,1
"18","而",10,1,"Chinese",0.00657894736842105,2,1
"19","人",10,1,"Chinese",0.00657894736842105,2,1
"20","应",10,1,"Chinese",0.00657894736842105,2,1
"21","不",9,1,"Chinese",0.00592105263157895,2,1
"22","教育",9,2,"Chinese",0.00592105263157895,2,1
"23","受",9,1,"Chinese",0.00592105263157895,2,1
"24","任何人",9,3,"Chinese",0.00592105263157895,2,1
"25","宣言",8,2,"Chinese",0.00526315789473684,2,1
"26","平等",8,2,"Chinese",0.00526315789473684,4,1
"27","通过",7,2,"Chinese",0.00460526315789474,2,1
"28","领土",7,2,"Chinese",0.00460526315789474,4,1
"29","其他",7,2,"Chinese",0.00460526315789474,1,1
"30","鉴于",7,2,"Chinese",0.00460526315789474,1,1
"31","为",7,1,"Chinese",0.00460526315789474,2,1
"32","享有",7,2,"Chinese",0.00460526315789474,2,1
"33","法律",7,2,"Chinese",0.00460526315789474,2,1
"34","行为",7,2,"Chinese",0.00460526315789474,2,1
"35","所",7,1,"Chinese",0.00460526315789474,2,1
"36","一个",6,2,"Chinese",0.00394736842105263,2,1
"37","人民",6,2,"Chinese",0.00394736842105263,1,1
"38","保护",6,2,"Chinese",0.00394736842105263,2,1
"39","中",6,1,"Chinese",0.00394736842105263,1,1
"40","以",6,1,"Chinese",0.00394736842105263,2,1
"41","本",6,1,"Chinese",0.00394736842105263,2,1
"42","时",6,1,"Chinese",0.00394736842105263,2,1
"43","发展",5,2,"Chinese",0.00328947368421053,2,1
"44","促进",5,2,"Chinese",0.00328947368421053,1,1
"45","联合国",5,3,"Chinese",0.00328947368421053,4,1
"46","基本",5,2,"Chinese",0.00328947368421053,2,1
"47","普遍",5,2,"Chinese",0.00328947368421053,2,1
"48","宗教",5,2,"Chinese",0.00328947368421053,2,1
"49","国籍",5,2,"Chinese",0.00328947368421053,2,1
"50","这种",5,2,"Chinese",0.00328947368421053,2,1
"51","其",5,1,"Chinese",0.00328947368421053,2,1
"52","包括",5,2,"Chinese",0.00328947368421053,2,1
"53","所有",4,2,"Chinese",0.00263157894736842,2,1
"54","加以",4,2,"Chinese",0.00263157894736842,2,1
"55","家庭",4,2,"Chinese",0.00263157894736842,2,1
"56","承认",4,2,"Chinese",0.00263157894736842,2,1
"57","人权",4,2,"Chinese",0.00263157894736842,2,1
"58","这些",4,2,"Chinese",0.00263157894736842,5,1
