"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","la",108,2,"Esperanto",0.0640569395017794,9,1
"2","kaj",105,3,"Esperanto",0.0622775800711744,3,1
"3","de",77,2,"Esperanto",0.0456702253855279,7,1
"4","ŭ",44,1,"Esperanto",0.0260972716488731,7,1
"5","en",31,2,"Esperanto",0.0183867141162515,9,1
"6","ĉiu",31,3,"Esperanto",0.0183867141162515,7,1
"7","a",31,1,"Esperanto",0.0183867141162515,6,1
"8","Artikolo",28,8,"Esperanto",0.0166073546856465,6,1
"9","je",20,2,"Esperanto",0.0118623962040332,2,1
"10","rajtas",20,6,"Esperanto",0.0118623962040332,6,1
"11","al",19,2,"Esperanto",0.0112692763938316,9,1
"12","rajtoj",18,6,"Esperanto",0.0106761565836299,4,1
"13","estu",18,4,"Esperanto",0.0106761565836299,2,2
"14","por",16,3,"Esperanto",0.00948991696322657,6,2
"15","ajn",16,3,"Esperanto",0.00948991696322657,8,2
"16","havas",15,5,"Esperanto",0.00889679715302491,10,2
"17","kiu",14,3,"Esperanto",0.00830367734282325,7,2
"18","rajton",14,6,"Esperanto",0.00830367734282325,4,2
"19","estas",13,5,"Esperanto",0.00771055753262159,4,2
"20","ke",12,2,"Esperanto",0.00711743772241993,3,2
"21","kontra",11,6,"Esperanto",0.00652431791221827,8,2
"22","ĉi",11,2,"Esperanto",0.00652431791221827,5,2
"23","liberecoj",9,9,"Esperanto",0.00533807829181495,5,2
"24","tio",8,3,"Esperanto",0.00474495848161329,9,2
"25","tiu",8,3,"Esperanto",0.00474495848161329,8,2
"26","per",8,3,"Esperanto",0.00474495848161329,7,2
"27","ricevi",8,6,"Esperanto",0.00474495848161329,9,2
"28","pro",8,3,"Esperanto",0.00474495848161329,2,2
"29","Pro",7,3,"Esperanto",0.00415183867141162,3,2
"30","ĉiuj",7,4,"Esperanto",0.00415183867141162,7,2
"31","ĉu",7,2,"Esperanto",0.00415183867141162,8,2
"32","ĝi",7,2,"Esperanto",0.00415183867141162,5,2
"33","sia",7,3,"Esperanto",0.00415183867141162,9,2
"34","ĝo",6,2,"Esperanto",0.00355871886120996,10,2
"35","homoj",6,5,"Esperanto",0.00355871886120996,6,2
"36","kiel",6,4,"Esperanto",0.00355871886120996,9,2
"37","alia",6,4,"Esperanto",0.00355871886120996,2,2
"38","edukado",6,7,"Esperanto",0.00355871886120996,3,2
"39","Neniu",6,5,"Esperanto",0.00355871886120996,7,2
"40","aliaj",6,5,"Esperanto",0.00355871886120996,7,2
"41","digno",5,5,"Esperanto",0.0029655990510083,6,2
"42","egalaj",5,6,"Esperanto",0.0029655990510083,10,2
"43","kiuj",5,4,"Esperanto",0.0029655990510083,3,2
"44","sen",5,3,"Esperanto",0.0029655990510083,9,2
"45","Nacioj",5,6,"Esperanto",0.0029655990510083,10,2
"46","sian",5,4,"Esperanto",0.0029655990510083,6,2
"47","libereco",5,8,"Esperanto",0.0029655990510083,8,2
"48","socio",5,5,"Esperanto",0.0029655990510083,4,2
"49","Ĉiuj",5,4,"Esperanto",0.0029655990510083,2,2
"50","kia",5,3,"Esperanto",0.0029655990510083,2,3
"51","protekto",5,8,"Esperanto",0.0029655990510083,8,3
"52","li",5,2,"Esperanto",0.0029655990510083,9,3
"53","lia",5,3,"Esperanto",0.0029655990510083,7,3
"54","Deklaracio",4,10,"Esperanto",0.00237247924080664,10,3
"55","familio",4,7,"Esperanto",0.00237247924080664,5,3
"56","homaj",4,5,"Esperanto",0.00237247924080664,4,3
"57","liberecon",4,9,"Esperanto",0.00237247924080664,4,3
"58","el",4,2,"Esperanto",0.00237247924080664,7,3
"59","ne",4,2,"Esperanto",0.00237247924080664,1,3
"60","popoloj",4,7,"Esperanto",0.00237247924080664,3,3
"61","Unui",4,4,"Esperanto",0.00237247924080664,13,3
"62","ĝintaj",4,6,"Esperanto",0.00237247924080664,9,3
"63","personeco",4,9,"Esperanto",0.00237247924080664,4,3
"64","anta",4,4,"Esperanto",0.00237247924080664,5,3
"65","pli",4,3,"Esperanto",0.00237247924080664,9,3
"66","kun",4,3,"Esperanto",0.00237247924080664,6,3
"67","tiuj",4,4,"Esperanto",0.00237247924080664,8,3
"68","plena",4,5,"Esperanto",0.00237247924080664,6,3
"69","difinitaj",4,9,"Esperanto",0.00237247924080664,9,3
"70","socia",4,5,"Esperanto",0.00237247924080664,10,3
"71","internacia",4,10,"Esperanto",0.00237247924080664,6,3
"72","lando",4,5,"Esperanto",0.00237247924080664,7,3
"73","diskriminacio",4,13,"Esperanto",0.00237247924080664,6,3
"74","egala",4,5,"Esperanto",0.00237247924080664,5,3
"75","protekton",4,9,"Esperanto",0.00237247924080664,5,3
"76","publika",4,7,"Esperanto",0.00237247924080664,6,3
"77","o",4,1,"Esperanto",0.00237247924080664,4,3
"78","rajto",4,5,"Esperanto",0.00237247924080664,7,3
"79","libera",4,6,"Esperanto",0.00237247924080664,7,3
"80","ĝon",3,3,"Esperanto",0.00177935943060498,5,3
"81","nepre",3,5,"Esperanto",0.00177935943060498,8,3
"82","inter",3,5,"Esperanto",0.00177935943060498,11,3
"83","nacioj",3,6,"Esperanto",0.00177935943060498,5,3
"84","kredon",3,6,"Esperanto",0.00177935943060498,3,3
"85","fundamentaj",3,11,"Esperanto",0.00177935943060498,1,3
"86","homa",3,4,"Esperanto",0.00177935943060498,5,3
"87","tiun",3,4,"Esperanto",0.00177935943060498,7,3
"88","Deklaracion",3,11,"Esperanto",0.00177935943060498,9,3
