"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","ja",94,2,"Finnish",0.06496199032481,10,1
"2","on",64,2,"Finnish",0.0442294402211472,5,1
"3","oikeus",34,6,"Finnish",0.0234968901174845,12,1
"4","artikla",30,7,"Finnish",0.0207325501036628,8,1
"5","tai",26,3,"Finnish",0.017968210089841,5,1
"6","jokaisella",26,10,"Finnish",0.017968210089841,6,1
"7","sekä",17,4,"Finnish",0.0117484450587422,12,1
"8","ei",14,2,"Finnish",0.00967519004837595,10,1
"9","n",13,1,"Finnish",0.00898410504492052,5,1
"10","kun",10,3,"Finnish",0.00691085003455425,14,1
"11","hänen",10,5,"Finnish",0.00691085003455425,8,1
"12","vastaan",7,7,"Finnish",0.00483759502418798,9,1
"13","ovat",7,4,"Finnish",0.00483759502418798,7,2
"14","kaikkien",7,8,"Finnish",0.00483759502418798,12,2
"15","sen",7,3,"Finnish",0.00483759502418798,6,2
"16","saa",7,3,"Finnish",0.00483759502418798,8,2
"17","kansakuntien",6,12,"Finnish",0.00414651002073255,10,2
"18","julistuksen",6,11,"Finnish",0.00414651002073255,7,2
"19","kansojen",5,8,"Finnish",0.00345542501727713,10,2
"20","nauttia",5,7,"Finnish",0.00345542501727713,13,2
"21","ketään",5,6,"Finnish",0.00345542501727713,15,2
"22","suojaan",5,7,"Finnish",0.00345542501727713,10,2
"23","ihmisoikeuksien",4,15,"Finnish",0.0027643400138217,10,2
"24","tämän",4,5,"Finnish",0.0027643400138217,5,2
"25","riippumatta",4,11,"Finnish",0.0027643400138217,5,2
"26","jotka",4,5,"Finnish",0.0027643400138217,11,2
"27","vapaasti",4,8,"Finnish",0.0027643400138217,8,2
"28","kaikki",4,6,"Finnish",0.0027643400138217,10,2
"29","tässä",4,5,"Finnish",0.0027643400138217,11,2
"30","lain",4,4,"Finnish",0.0027643400138217,12,2
"31","mielivaltaisesti",4,16,"Finnish",0.0027643400138217,7,2
"32","yhteiskunnan",4,12,"Finnish",0.0027643400138217,12,2
"33","opetuksen",4,9,"Finnish",0.0027643400138217,5,2
"34","oltava",4,6,"Finnish",0.0027643400138217,11,3
"35","yhdistyneiden",3,13,"Finnish",0.00207325501036628,9,3
"36","yleiskokous",3,11,"Finnish",0.00207325501036628,16,3
"37","myös",3,4,"Finnish",0.00207325501036628,11,3
"38","kielillä",3,8,"Finnish",0.00207325501036628,12,3
"39","heidän",3,6,"Finnish",0.00207325501036628,10,3
"40","että",3,4,"Finnish",0.00207325501036628,6,3
"41","edistää",3,7,"Finnish",0.00207325501036628,6,3
"42","edistämään",3,10,"Finnish",0.00207325501036628,11,3
"43","kanssa",3,6,"Finnish",0.00207325501036628,7,3
"44","niiden",3,6,"Finnish",0.00207325501036628,6,3
"45","julistuksessa",3,13,"Finnish",0.00207325501036628,7,3
"46","ilman",3,5,"Finnish",0.00207325501036628,5,3
"47","pidä",3,4,"Finnish",0.00207325501036628,8,3
"48","kansainvälisen",3,14,"Finnish",0.00207325501036628,7,3
"49","tämä",3,4,"Finnish",0.00207325501036628,13,3
"50","ihmisellä",3,9,"Finnish",0.00207325501036628,9,3
"51","siihen",3,6,"Finnish",0.00207325501036628,6,3
"52","teoista",3,7,"Finnish",0.00207325501036628,15,3
"53","toisten",3,7,"Finnish",0.00207325501036628,5,3
"54","oikeuksia",3,9,"Finnish",0.00207325501036628,7,3
"55","yleismaailmallisen",2,18,"Finnish",0.00138217000691085,11,3
"56","maata",2,5,"Finnish",0.00138217000691085,7,3
"57","välittömästi",2,12,"Finnish",0.00138217000691085,10,3
"58","kaikkea",2,7,"Finnish",0.00138217000691085,4,3
"59","muissa",2,6,"Finnish",0.00138217000691085,15,3
"60","alueiden",2,8,"Finnish",0.00138217000691085,4,3
"61","tunnustaminen",2,13,"Finnish",0.00138217000691085,14,3
"62","rauhan",2,6,"Finnish",0.00138217000691085,3,3
