"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","の",156,1,"Japanese",0.0669527896995708,1,1
"2","を",127,1,"Japanese",0.0545064377682403,2,1
"3","に",127,1,"Japanese",0.0545064377682403,1,1
"4","は",104,1,"Japanese",0.0446351931330472,2,1
"5","て",55,1,"Japanese",0.0236051502145923,2,1
"6","権利",49,2,"Japanese",0.0210300429184549,4,1
"7","及び",49,2,"Japanese",0.0210300429184549,2,1
"8","と",47,1,"Japanese",0.0201716738197425,3,1
"9","すべて",40,3,"Japanese",0.0171673819742489,2,1
"10","人",39,1,"Japanese",0.0167381974248927,2,1
"11","的",38,1,"Japanese",0.0163090128755365,2,1
"12","する",37,2,"Japanese",0.0158798283261803,2,1
"13","有する",37,3,"Japanese",0.0158798283261803,2,1
"14","条",31,1,"Japanese",0.0133047210300429,2,1
"15","第",30,1,"Japanese",0.0128755364806867,3,1
"16","で",30,1,"Japanese",0.0128755364806867,2,1
"17","自由",30,2,"Japanese",0.0128755364806867,2,1
"18","し",29,1,"Japanese",0.0124463519313305,1,1
"19","な",29,1,"Japanese",0.0124463519313305,2,1
"20","こと",28,2,"Japanese",0.0120171673819742,1,1
"21","ない",26,2,"Japanese",0.0111587982832618,1,1
"22","も",23,1,"Japanese",0.00987124463519313,3,1
"23","又",23,1,"Japanese",0.00987124463519313,2,1
"24","が",18,1,"Japanese",0.00772532188841202,1,1
"25","受ける",18,3,"Japanese",0.00772532188841202,1,1
"26","さ",16,1,"Japanese",0.00686695278969957,2,1
"27","社会",15,2,"Japanese",0.00643776824034335,2,1
"28","なら",15,2,"Japanese",0.00643776824034335,2,1
"29","ある",13,2,"Japanese",0.0055793991416309,2,1
"30","かつ",13,2,"Japanese",0.0055793991416309,1,1
"31","この",13,2,"Japanese",0.0055793991416309,1,1
"32","その",13,2,"Japanese",0.0055793991416309,2,1
"33","た",12,1,"Japanese",0.00515021459227468,3,1
"34","れ",12,1,"Japanese",0.00515021459227468,1,1
"35","自己",12,2,"Japanese",0.00515021459227468,2,1
"36","よっ",11,2,"Japanese",0.00472103004291845,2,1
"37","なけれ",11,3,"Japanese",0.00472103004291845,2,1
"38","ば",11,1,"Japanese",0.00472103004291845,2,1
"39","れる",11,2,"Japanese",0.00472103004291845,2,1
"40","保護",10,2,"Japanese",0.00429184549356223,2,1
"41","教育",10,2,"Japanese",0.00429184549356223,5,1
"42","対し",10,2,"Japanese",0.00429184549356223,2,1
"43","宣言",9,2,"Japanese",0.00386266094420601,2,1
"44","国際",9,2,"Japanese",0.00386266094420601,2,1
"45","おい",9,2,"Japanese",0.00386266094420601,3,1
"46","人権",8,2,"Japanese",0.00343347639484979,2,1
"47","平等",8,2,"Japanese",0.00343347639484979,2,1
"48","国",8,1,"Japanese",0.00343347639484979,2,1
"49","また",8,2,"Japanese",0.00343347639484979,3,1
"50","他",8,1,"Japanese",0.00343347639484979,3,1
"51","何",8,1,"Japanese",0.00343347639484979,3,1
"52","いかなる",8,4,"Japanese",0.00343347639484979,2,1
"53","者",8,1,"Japanese",0.00343347639484979,2,1
"54","対する",7,3,"Japanese",0.00300429184549356,2,1
"55","法",7,1,"Japanese",0.00300429184549356,2,1
"56","られ",6,2,"Japanese",0.00257510729613734,2,1
"57","完全",6,2,"Japanese",0.00257510729613734,2,1
"58","宗教",6,2,"Japanese",0.00257510729613734,1,1
"59","よる",6,2,"Japanese",0.00257510729613734,1,1
"60","差別",6,2,"Japanese",0.00257510729613734,4,1
"61","労働",6,2,"Japanese",0.00257510729613734,2,1
"62","尊厳",5,2,"Japanese",0.00214592274678112,3,1
"63","る",5,1,"Japanese",0.00214592274678112,2,1
"64","行為",5,2,"Japanese",0.00214592274678112,1,1
"65","人間",5,2,"Japanese",0.00214592274678112,2,1
"66","よう",5,2,"Japanese",0.00214592274678112,1,1
"67","ため",5,2,"Japanese",0.00214592274678112,2,1
"68","促進",5,2,"Japanese",0.00214592274678112,2,1
"69","連合",5,2,"Japanese",0.00214592274678112,2,1
"70","生活",5,2,"Japanese",0.00214592274678112,2,1
"71","これ",5,2,"Japanese",0.00214592274678112,3,1
"72","ら",5,1,"Japanese",0.00214592274678112,2,1
"73","地域",5,2,"Japanese",0.00214592274678112,4,1
"74","もしくは",5,4,"Japanese",0.00214592274678112,2,1
"75","なく",5,2,"Japanese",0.00214592274678112,2,1
"76","享有",5,2,"Japanese",0.00214592274678112,2,1
"77","並びに",5,3,"Japanese",0.00214592274678112,2,1
"78","目的",5,2,"Japanese",0.00214592274678112,2,1
"79","婚姻",5,2,"Japanese",0.00214592274678112,1,1
"80","保障",5,2,"Japanese",0.00214592274678112,2,1
"81","世界",4,2,"Japanese",0.00171673819742489,1,1
"82","基礎",4,2,"Japanese",0.00171673819742489,2,1
"83","受け",4,2,"Japanese",0.00171673819742489,2,1
"84","間",4,1,"Japanese",0.00171673819742489,3,1
"85","発展",4,2,"Japanese",0.00171673819742489,2,1
"86","基本",4,2,"Japanese",0.00171673819742489,2,1
"87","尊重",4,2,"Japanese",0.00171673819742489,2,1
"88","人民",4,2,"Japanese",0.00171673819742489,2,1
"89","下",4,1,"Japanese",0.00171673819742489,2,1
"90","政治",4,2,"Japanese",0.00171673819742489,3,1
"91","上",4,1,"Japanese",0.00171673819742489,3,1
"92","い",4,1,"Japanese",0.00171673819742489,2,1
"93","か",4,1,"Japanese",0.00171673819742489,2,1
"94","権",4,1,"Japanese",0.00171673819742489,1,1
"95","利",4,1,"Japanese",0.00171673819742489,2,2
"96","制限",4,2,"Japanese",0.00171673819742489,2,2
"97","ず",4,1,"Japanese",0.00171673819742489,2,2
"98","ほしいまま",4,5,"Japanese",0.00171673819742489,3,2
"99","公平",4,2,"Japanese",0.00171673819742489,2,2
"100","犯罪",4,2,"Japanese",0.00171673819742489,2,2
"101","より",4,2,"Japanese",0.00171673819742489,2,2
"102","自国",4,2,"Japanese",0.00171673819742489,1,2
"103","場合",4,2,"Japanese",0.00171673819742489,2,2
"104","国籍",4,2,"Japanese",0.00171673819742489,1,2
"105","国連",3,2,"Japanese",0.00128755364806867,3,2
"106","でき",3,2,"Japanese",0.00128755364806867,2,2
"107","平和",3,2,"Japanese",0.00128755364806867,2,2
"108","良心",3,2,"Japanese",0.00128755364806867,3,2
"109","一般",3,2,"Japanese",0.00128755364806867,2,2
"110","手段",3,2,"Japanese",0.00128755364806867,2,2
"111","す",3,1,"Japanese",0.00128755364806867,2,2
"112","並び",3,2,"Japanese",0.00128755364806867,2,2
"113","男女",3,2,"Japanese",0.00128755364806867,2,2
"114","つい",3,2,"Japanese",0.00128755364806867,2,2
"115","信念",3,2,"Japanese",0.00128755364806867,2,2
"116","加盟",3,2,"Japanese",0.00128755364806867,2,2
"117","個人",3,2,"Japanese",0.00128755364806867,2,2
"118","人種",3,2,"Japanese",0.00128755364806867,2,2
"119","意見",3,2,"Japanese",0.00128755364806867,2,2
"120","財産",3,2,"Japanese",0.00128755364806867,1,2
"121","掲げる",3,3,"Japanese",0.00128755364806867,2,2
"122","できる",3,3,"Japanese",0.00128755364806867,2,2
"123","国又",3,2,"Japanese",0.00128755364806867,2,2
"124","非",3,1,"Japanese",0.00128755364806867,2,2
"125","奴隷",3,2,"Japanese",0.00128755364806867,2,2
"126","法律",3,2,"Japanese",0.00128755364806867,2,2
"127","裁判",3,2,"Japanese",0.00128755364806867,2,2
"128","義務",3,2,"Japanese",0.00128755364806867,1,2
"129","必要",3,2,"Japanese",0.00128755364806867,2,2
"130","家族",3,2,"Japanese",0.00128755364806867,2,2
"131","家庭",3,2,"Japanese",0.00128755364806867,1,2
"132","干渉",3,2,"Japanese",0.00128755364806867,2,2
"133","もつ",3,2,"Japanese",0.00128755364806867,2,2
"134","意思",3,2,"Japanese",0.00128755364806867,1,2
"135","のみ",3,2,"Japanese",0.00128755364806867,2,2
"136","集団",3,2,"Japanese",0.00128755364806867,2,2
"137","含む",3,2,"Japanese",0.00128755364806867,2,2
"138","選挙",3,2,"Japanese",0.00128755364806867,2,2
"139","もの",3,2,"Japanese",0.00128755364806867,2,2
"140","同等",3,2,"Japanese",0.00128755364806867,3,2
"141","人格",3,2,"Japanese",0.00128755364806867,2,2
"142","総会",2,2,"Japanese",0.000858369098712446,2,2
"143","人類",2,2,"Japanese",0.000858369098712446,2,2
"144","構成",2,2,"Japanese",0.000858369098712446,2,2
"145","認",2,1,"Japanese",0.000858369098712446,2,2
"146","おけ",2,2,"Japanese",0.000858369098712446,5,2
"147","び",2,1,"Japanese",0.000858369098712446,2,2
"148","肝要",2,2,"Japanese",0.000858369098712446,2,2
"149","諸国",2,2,"Japanese",0.000858369098712446,1,2
"150","友好",2,2,"Japanese",0.000858369098712446,2,2
"151","関係",2,2,"Japanese",0.000858369098712446,1,2
"152","進歩",2,2,"Japanese",0.000858369098712446,2,2
"153","水準",2,2,"Japanese",0.000858369098712446,1,2
"154","協力",2,2,"Japanese",0.000858369098712446,1,2
"155","普遍",2,2,"Japanese",0.000858369098712446,2,2
"156","達成",2,2,"Japanese",0.000858369098712446,4,2
"157","誓約",2,2,"Japanese",0.000858369098712446,2,2
"158","共通",2,2,"Japanese",0.000858369098712446,2,2
"159","理解",2,2,"Japanese",0.000858369098712446,1,2
"160","もっ",2,2,"Japanese",0.000858369098712446,3,2
"161","とも",2,2,"Japanese",0.000858369098712446,2,2
"162","各",2,1,"Japanese",0.000858369098712446,2,2
"163","ながら",2,3,"Japanese",0.000858369098712446,1,2
"164","管轄",2,2,"Japanese",0.000858369098712446,2,2
"165","確保",2,2,"Japanese",0.000858369098712446,2,2
"166","努力",2,2,"Japanese",0.000858369098712446,2,2
"167","あり",2,2,"Japanese",0.000858369098712446,2,2
"168","精神",2,2,"Japanese",0.000858369098712446,2,2
"169","地位",2,2,"Japanese",0.000858369098712446,2,2
"170","なる",2,2,"Japanese",0.000858369098712446,1,2
"171","属する",2,3,"Japanese",0.000858369098712446,2,2
"172","独立",2,2,"Japanese",0.000858369098712446,2,2
"173","統治",2,2,"Japanese",0.000858369098712446,2,2
"174","問わ",2,2,"Japanese",0.000858369098712446,3,2
"175","服する",2,3,"Japanese",0.000858369098712446,2,2
"176","与え",2,2,"Japanese",0.000858369098712446,2,2
"177","国内",2,2,"Japanese",0.000858369098712446,1,2
"178","所",2,1,"Japanese",0.000858369098712446,2,2
"179","公開",2,2,"Japanese",0.000858369098712446,2,2
"180","訴追",2,2,"Japanese",0.000858369098712446,1,2
"181","保",2,1,"Japanese",0.000858369098712446,1,2
"182","有罪",2,2,"Japanese",0.000858369098712446,2,2
"183","時",2,1,"Japanese",0.000858369098712446,2,2
"184","行わ",2,2,"Japanese",0.000858369098712446,2,2
"185","刑罰",2,2,"Japanese",0.000858369098712446,2,2
"186","攻撃",2,2,"Japanese",0.000858369098712446,1,2
