"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","모든",44,2,"Korean",0.0380293863439931,3,1
"2","권리를",34,3,"Korean",0.0293863439930856,4,1
"3","가진다",33,3,"Korean",0.0285220397579948,3,1
"4","사람은",31,3,"Korean",0.0267934312878133,2,1
"5","제",30,1,"Korean",0.0259291270527226,3,1
"6","조",30,1,"Korean",0.0259291270527226,3,1
"7","또는",28,2,"Korean",0.0242005185825411,4,1
"8","대한",18,2,"Korean",0.0155574762316335,3,1
"9","및",12,1,"Korean",0.010371650821089,4,1
"10","받을",12,2,"Korean",0.010371650821089,5,1
"11","권리와",11,3,"Korean",0.00950734658599827,2,1
"12","자신의",10,3,"Korean",0.00864304235090752,2,1
"13","이러한",9,3,"Korean",0.00777873811581677,3,1
"14","어떠한",9,3,"Korean",0.00777873811581677,3,1
"15","아니한다",9,4,"Korean",0.00777873811581677,3,1
"16","그리고",8,3,"Korean",0.00691443388072602,3,1
"17","이",8,1,"Korean",0.00691443388072602,3,1
"18","어느",8,2,"Korean",0.00691443388072602,3,1
"19","누구도",8,3,"Korean",0.00691443388072602,3,1
"20","수",7,1,"Korean",0.00605012964563526,5,1
"21","자유를",7,3,"Korean",0.00605012964563526,2,1
"22","자유에",7,3,"Korean",0.00605012964563526,3,1
"23","그",6,1,"Korean",0.00518582541054451,3,2
"24","동등한",6,3,"Korean",0.00518582541054451,3,2
"25","한다",6,2,"Korean",0.00518582541054451,3,2
"26","대하여",6,3,"Korean",0.00518582541054451,3,2
"27","있는",5,2,"Korean",0.00432152117545376,3,2
"28","사회적",5,3,"Korean",0.00432152117545376,3,2
"29","보호를",5,3,"Korean",0.00432152117545376,3,2
"30","다른",5,2,"Korean",0.00432152117545376,4,2
"31","것이",4,2,"Korean",0.00345721694036301,2,2
"32","의하여",4,3,"Korean",0.00345721694036301,4,2
"33","국제연합의",4,5,"Korean",0.00345721694036301,1,2
"34","기본적",4,3,"Korean",0.00345721694036301,4,2
"35","위하여",4,3,"Korean",0.00345721694036301,6,2
"36","통하여",4,3,"Korean",0.00345721694036301,1,2
"37","선언에",4,3,"Korean",0.00345721694036301,2,2
"38","국가",4,2,"Korean",0.00345721694036301,3,2
"39","자유와",4,3,"Korean",0.00345721694036301,3,2
"40","위한",4,2,"Korean",0.00345721694036301,2,2
"41","자유",3,2,"Korean",0.00259291270527226,2,2
"42","하는",3,2,"Korean",0.00259291270527226,2,2
"43","존엄과",3,3,"Korean",0.00259291270527226,5,2
"44","신념을",3,3,"Korean",0.00259291270527226,3,2
"45","완전한",3,3,"Korean",0.00259291270527226,3,2
"46","자신과",3,3,"Korean",0.00259291270527226,3,2
"47","사람과",3,3,"Korean",0.00259291270527226,3,2
"48","있어",3,2,"Korean",0.00259291270527226,3,2
"49","인종",3,2,"Korean",0.00259291270527226,3,2
"50","종교",3,2,"Korean",0.00259291270527226,5,2
"51","없이",3,2,"Korean",0.00259291270527226,3,2
"52","규정된",3,3,"Korean",0.00259291270527226,3,2
"53","있다",3,2,"Korean",0.00259291270527226,3,2
"54","관계없이",3,4,"Korean",0.00259291270527226,3,2
"55","국제적",3,3,"Korean",0.00259291270527226,3,2
"56","아니된다",3,4,"Korean",0.00259291270527226,4,2
"57","자의적으로",3,5,"Korean",0.00259291270527226,3,2
"58","필요한",3,3,"Korean",0.00259291270527226,1,2
"59","따라",3,2,"Korean",0.00259291270527226,3,2
"60","포함하여",3,4,"Korean",0.00259291270527226,3,2
"61","권리는",3,3,"Korean",0.00259291270527226,2,2
"62","목적과",3,3,"Korean",0.00259291270527226,3,2
"63","국적을",3,3,"Korean",0.00259291270527226,3,2
"64","권리가",3,3,"Korean",0.00259291270527226,3,2
"65","교육은",3,3,"Korean",0.00259291270527226,2,2
"66","세계의",2,3,"Korean",0.0017286084701815,4,2
"67","평화의",2,3,"Korean",0.0017286084701815,4,2
"68","양심을",2,3,"Korean",0.0017286084701815,3,2
"69","인간이",2,3,"Korean",0.0017286084701815,4,2
"70","누릴",2,2,"Korean",0.0017286084701815,2,2
"71","강요받지",2,4,"Korean",0.0017286084701815,4,2
"72","법에",2,2,"Korean",0.0017286084701815,7,2
"73","의한",2,2,"Korean",0.0017286084701815,5,2
"74","필수적이며",2,5,"Korean",0.0017286084701815,2,2
"75","인간의",2,3,"Korean",0.0017286084701815,3,2
"76","권리에",2,3,"Korean",0.0017286084701815,2,2
"77","보다",2,2,"Korean",0.0017286084701815,2,2
"78","생활수준을",2,5,"Korean",0.0017286084701815,3,2
"79","인권과",2,3,"Korean",0.0017286084701815,3,2
"80","공통의",2,3,"Korean",0.0017286084701815,3,2
"81","각",2,1,"Korean",0.0017286084701815,3,2
"82","교육을",2,3,"Korean",0.0017286084701815,3,2
"83","국민들",2,3,"Korean",0.0017286084701815,3,2
"84","영토의",2,3,"Korean",0.0017286084701815,3,2
"85","자유가",2,3,"Korean",0.0017286084701815,8,2
"86","하기",2,2,"Korean",0.0017286084701815,2,2
"87","할",2,1,"Korean",0.0017286084701815,4,2
"88","인간은",2,3,"Korean",0.0017286084701815,3,2
"89","정치적",2,3,"Korean",0.0017286084701815,5,2
"90","기타의",2,3,"Korean",0.0017286084701815,8,2
"91","차별이",2,3,"Korean",0.0017286084701815,3,2
"92","향유할",2,3,"Korean",0.0017286084701815,3,2
"93","자격이",2,3,"Korean",0.0017286084701815,2,2
"94","근거하여",2,4,"Korean",0.0017286084701815,3,2
"95","받지",2,2,"Korean",0.0017286084701815,4,2
"96","법",2,1,"Korean",0.0017286084701815,2,2
"97","앞에",2,2,"Korean",0.0017286084701815,3,2
"98","법의",2,2,"Korean",0.0017286084701815,3,2
"99","완전히",2,3,"Korean",0.0017286084701815,5,2
"100","유죄로",2,3,"Korean",0.0017286084701815,3,2
"101","행위시에",2,4,"Korean",0.0017286084701815,3,2
"102","또한",2,2,"Korean",0.0017286084701815,5,2
"103","범죄",2,2,"Korean",0.0017286084701815,2,2
"104","그의",2,2,"Korean",0.0017286084701815,4,2
"105","비호를",2,3,"Korean",0.0017286084701815,2,2
"106","원칙에",2,3,"Korean",0.0017286084701815,3,2
"107","가질",2,2,"Korean",0.0017286084701815,3,2
"108","박탈당하지",2,5,"Korean",0.0017286084701815,5,2
"109","변경할",2,3,"Korean",0.0017286084701815,3,2
"110","자유롭고",2,4,"Korean",0.0017286084701815,2,2
"111","사회의",2,3,"Korean",0.0017286084701815,4,2
"112","국가의",2,3,"Korean",0.0017286084701815,4,2
"113","단독으로",2,4,"Korean",0.0017286084701815,4,2
"114","공동으로",2,4,"Korean",0.0017286084701815,4,2
"115","재산을",2,3,"Korean",0.0017286084701815,2,2
"116","포함한다",2,4,"Korean",0.0017286084701815,4,2
"117","어떤",2,2,"Korean",0.0017286084701815,4,2
"118","인격의",2,3,"Korean",0.0017286084701815,3,2
"119","자유로운",2,4,"Korean",0.0017286084701815,3,2
"120","정당하고",2,4,"Korean",0.0017286084701815,4,2
"121","유리한",2,3,"Korean",0.0017286084701815,1,2
"122","동일한",2,3,"Korean",0.0017286084701815,3,2
"123","경우에",2,3,"Korean",0.0017286084701815,5,2
"124","이익을",2,3,"Korean",0.0017286084701815,5,2
"125","아동은",2,3,"Korean",0.0017286084701815,3,2
"126","가능하여야",2,5,"Korean",0.0017286084701815,3,2
"127","발전과",2,3,"Korean",0.0017286084701815,4,2
"128","세",1,1,"Korean",0.000864304235090752,3,2
"129","계",1,1,"Korean",0.000864304235090752,2,2
"130","인",1,1,"Korean",0.000864304235090752,3,2
"131","권",1,1,"Korean",0.000864304235090752,6,3
"132","선",1,1,"Korean",0.000864304235090752,4,3
"133","언",1,1,"Korean",0.000864304235090752,4,3
"134","전",1,1,"Korean",0.000864304235090752,3,3
"135","문",1,1,"Korean",0.000864304235090752,3,3
"136","인류",1,2,"Korean",0.000864304235090752,4,3
"137","구성원의",1,4,"Korean",0.000864304235090752,5,3
"138","천부의",1,3,"Korean",0.000864304235090752,4,3
"139","존엄성과",1,4,"Korean",0.000864304235090752,5,3
"140","동등하고",1,4,"Korean",0.000864304235090752,3,3
"141","양도할",1,3,"Korean",0.000864304235090752,5,3
"142","없는",1,2,"Korean",0.000864304235090752,5,3
"143","인정하는",1,4,"Korean",0.000864304235090752,2,3
"144","정의",1,2,"Korean",0.000864304235090752,3,3
"145","기초이며",1,4,"Korean",0.000864304235090752,3,3
"146","인권에",1,3,"Korean",0.000864304235090752,4,3
"147","무시와",1,3,"Korean",0.000864304235090752,5,3
"148","경멸이",1,3,"Korean",0.000864304235090752,6,3
"149","인류의",1,3,"Korean",0.000864304235090752,3,3
"150","격분시키는",1,5,"Korean",0.000864304235090752,3,3
"151","만행을",1,3,"Korean",0.000864304235090752,3,3
"152","초래하였으며",1,6,"Korean",0.000864304235090752,3,3
"153","언론과",1,3,"Korean",0.000864304235090752,2,3
"154","신앙의",1,3,"Korean",0.000864304235090752,5,3
"155","공포와",1,3,"Korean",0.000864304235090752,3,3
"156","결핍으로부터의",1,7,"Korean",0.000864304235090752,3,3
"157","도래가",1,3,"Korean",0.000864304235090752,4,3
"158","사람들의",1,4,"Korean",0.000864304235090752,3,3
"159","지고한",1,3,"Korean",0.000864304235090752,1,3
"160","열망으로서",1,5,"Korean",0.000864304235090752,3,3
"161","천명되어",1,4,"Korean",0.000864304235090752,3,3
"162","왔으며",1,3,"Korean",0.000864304235090752,3,3
"163","폭정과",1,3,"Korean",0.000864304235090752,3,3
"164","억압에",1,3,"Korean",0.000864304235090752,4,3
"165","대항하는",1,4,"Korean",0.000864304235090752,3,3
"166","마지막",1,3,"Korean",0.000864304235090752,3,3
"167","수단으로서",1,5,"Korean",0.000864304235090752,3,3
"168","반란을",1,3,"Korean",0.000864304235090752,2,3
"169","일으키도록",1,5,"Korean",0.000864304235090752,5,3
"170","않으려면",1,4,"Korean",0.000864304235090752,3,3
"171","통치에",1,3,"Korean",0.000864304235090752,3,3
"172","인권이",1,3,"Korean",0.000864304235090752,3,3
"173","보호되어야",1,5,"Korean",0.000864304235090752,3,3
"174","국가간에",1,4,"Korean",0.000864304235090752,4,3
"175","우호관계의",1,5,"Korean",0.000864304235090752,3,3
"176","발전을",1,3,"Korean",0.000864304235090752,3,3
"177","증진하는",1,4,"Korean",0.000864304235090752,3,3
"178","사람들은",1,4,"Korean",0.000864304235090752,3,3
"179","헌장에서",1,4,"Korean",0.000864304235090752,3,3
"180","인권",1,2,"Korean",0.000864304235090752,4,3
"181","가치",1,2,"Korean",0.000864304235090752,2,3
"182","남녀의",1,3,"Korean",0.000864304235090752,5,3
"183","재확인하였으며",1,7,"Korean",0.000864304235090752,3,3
"184","폭넓은",1,3,"Korean",0.000864304235090752,3,3
"185","자유속에서",1,5,"Korean",0.000864304235090752,3,3
"186","진보와",1,3,"Korean",0.000864304235090752,2,3
"187","나은",1,2,"Korean",0.000864304235090752,1,3
"188","증진하기로",1,5,"Korean",0.000864304235090752,3,3
"189","다짐하였고",1,5,"Korean",0.000864304235090752,3,3
"190","회원국들은",1,5,"Korean",0.000864304235090752,4,3
"191","국제연합과",1,5,"Korean",0.000864304235090752,2,3
"192","협력하여",1,4,"Korean",0.000864304235090752,4,3
"193","자유의",1,3,"Korean",0.000864304235090752,5,3
"194","보편적",1,3,"Korean",0.000864304235090752,3,3
"195","존중과",1,3,"Korean",0.000864304235090752,2,3
"196","준수를",1,3,"Korean",0.000864304235090752,3,3
"197","증진할",1,3,"Korean",0.000864304235090752,4,3
"198","것을",1,2,"Korean",0.000864304235090752,5,3
"199","스스로",1,3,"Korean",0.000864304235090752,4,3
"200","서약하였으며",1,6,"Korean",0.000864304235090752,2,3
"201","이해가",1,3,"Korean",0.000864304235090752,2,3
"202","서약의",1,3,"Korean",0.000864304235090752,3,3
"203","이행을",1,3,"Korean",0.000864304235090752,3,3
"204","가장",1,2,"Korean",0.000864304235090752,3,3
"205","중요하므로",1,5,"Korean",0.000864304235090752,3,3
"206","이에",1,2,"Korean",0.000864304235090752,4,3
"207","국제연합총회는",1,7,"Korean",0.000864304235090752,3,3
"208","개인과",1,3,"Korean",0.000864304235090752,3,3
"209","사회",1,2,"Korean",0.000864304235090752,3,3
"210","기관이",1,3,"Korean",0.000864304235090752,3,3
"211","선언을",1,3,"Korean",0.000864304235090752,4,3
"212","항상",1,2,"Korean",0.000864304235090752,2,3
"213","유념하면서",1,5,"Korean",0.000864304235090752,5,3
"214","학습",1,2,"Korean",0.000864304235090752,3,3
"215","존중을",1,3,"Korean",0.000864304235090752,3,3
"216","증진하기",1,4,"Korean",0.000864304235090752,5,3
"217","노력하며",1,4,"Korean",0.000864304235090752,3,3
"218","국내적",1,3,"Korean",0.000864304235090752,4,3
"219","국제적인",1,4,"Korean",0.000864304235090752,4,3
"220","점진적",1,3,"Korean",0.000864304235090752,3,3
"221","조치를",1,3,"Korean",0.000864304235090752,3,3
"222","회원국",1,3,"Korean",0.000864304235090752,4,3
"223","관할",1,2,"Korean",0.000864304235090752,1,3
"224","사이에서",1,4,"Korean",0.000864304235090752,5,3
"225","보편적이고",1,5,"Korean",0.000864304235090752,3,3
"226","효과적으로",1,5,"Korean",0.000864304235090752,3,3
"227","인식되고",1,4,"Korean",0.000864304235090752,3,3
"228","준수되도록",1,5,"Korean",0.000864304235090752,5,3
"229","노력하도록",1,5,"Korean",0.000864304235090752,3,3
"230","국가가",1,3,"Korean",0.000864304235090752,2,3
"231","성취하여야",1,5,"Korean",0.000864304235090752,2,3
"232","기준으로서",1,5,"Korean",0.000864304235090752,2,3
"233","세계인권선언을",1,7,"Korean",0.000864304235090752,4,3
"234","선포한다",1,4,"Korean",0.000864304235090752,3,3
"235","태어날",1,3,"Korean",0.000864304235090752,2,3
"236","때부터",1,3,"Korean",0.000864304235090752,5,3
"237","자유로우며",1,5,"Korean",0.000864304235090752,3,3
"238","동등하다",1,4,"Korean",0.000864304235090752,3,3
"239","천부적으로",1,5,"Korean",0.000864304235090752,2,3
"240","이성과",1,3,"Korean",0.000864304235090752,5,3
"241","부여받았으며",1,6,"Korean",0.000864304235090752,3,3
"242","서로",1,2,"Korean",0.000864304235090752,4,3
"243","형제애의",1,4,"Korean",0.000864304235090752,3,3
"244","정신으로",1,4,"Korean",0.000864304235090752,4,3
"245","행동하여야",1,5,"Korean",0.000864304235090752,2,3
"246","피부색",1,3,"Korean",0.000864304235090752,3,3
"247","성",1,1,"Korean",0.000864304235090752,3,3
"248","언어",1,2,"Korean",0.000864304235090752,4,3
"249","견해",1,2,"Korean",0.000864304235090752,3,3
"250","민족적",1,3,"Korean",0.000864304235090752,2,3
"251","출신",1,2,"Korean",0.000864304235090752,3,3
"252","재산",1,2,"Korean",0.000864304235090752,5,3
"253","출생",1,2,"Korean",0.000864304235090752,5,3
"254","신분과",1,3,"Korean",0.000864304235090752,3,3
"255","같은",1,2,"Korean",0.000864304235090752,3,3
"256","종류의",1,3,"Korean",0.000864304235090752,4,3
"257","더",1,1,"Korean",0.000864304235090752,4,3
"258","나아가",1,3,"Korean",0.000864304235090752,4,3
"259","개인이",1,3,"Korean",0.000864304235090752,5,3
"260","속한",1,2,"Korean",0.000864304235090752,3,3
"261","영토가",1,3,"Korean",0.000864304235090752,5,3
"262","독립국",1,3,"Korean",0.000864304235090752,3,3
"263","신탁통치지역",1,6,"Korean",0.000864304235090752,3,3
"264","비자치지역이거나",1,8,"Korean",0.000864304235090752,5,3
"265","주권에",1,3,"Korean",0.000864304235090752,5,3
"266","여타의",1,3,"Korean",0.000864304235090752,3,3
"267","제약을",1,3,"Korean",0.000864304235090752,3,3
"268","받느냐에",1,4,"Korean",0.000864304235090752,3,3
"269","법적",1,2,"Korean",0.000864304235090752,2,3
"270","지위에",1,3,"Korean",0.000864304235090752,3,3
"271","있어서는",1,4,"Korean",0.000864304235090752,3,3
"272","생명과",1,3,"Korean",0.000864304235090752,2,3
"273","신체의",1,3,"Korean",0.000864304235090752,4,3
"274","안전에",1,3,"Korean",0.000864304235090752,5,3
"275","노예상태",1,4,"Korean",0.000864304235090752,4,3
"276","예속상태에",1,5,"Korean",0.000864304235090752,5,3
"277","놓여지지",1,4,"Korean",0.000864304235090752,1,3
"278","형태의",1,3,"Korean",0.000864304235090752,4,3
"279","노예제도와",1,5,"Korean",0.000864304235090752,2,3
"280","노예매매는",1,5,"Korean",0.000864304235090752,4,3
"281","금지된다",1,4,"Korean",0.000864304235090752,3,3
"282","고문",1,2,"Korean",0.000864304235090752,3,3
"283","잔혹하거나",1,5,"Korean",0.000864304235090752,3,3
"284","비인도적이거나",1,7,"Korean",0.000864304235090752,2,3
"285","굴욕적인",1,4,"Korean",0.000864304235090752,3,3
"286","처우",1,2,"Korean",0.000864304235090752,3,3
"287","형벌을",1,3,"Korean",0.000864304235090752,3,3
"288","어디에서나",1,5,"Korean",0.000864304235090752,1,3
"289","인간으로서",1,5,"Korean",0.000864304235090752,3,3
"290","인정받을",1,4,"Korean",0.000864304235090752,3,3
"291","평등하며",1,4,"Korean",0.000864304235090752,3,3
"292","차별도",1,3,"Korean",0.000864304235090752,4,3
"293","위반되는",1,4,"Korean",0.000864304235090752,5,3
"294","차별과",1,3,"Korean",0.000864304235090752,3,3
"295","그러한",1,3,"Korean",0.000864304235090752,3,3
"296","차별의",1,3,"Korean",0.000864304235090752,3,3
"297","선동으로부터",1,6,"Korean",0.000864304235090752,4,3
"298","헌법",1,2,"Korean",0.000864304235090752,3,3
"299","법률이",1,3,"Korean",0.000864304235090752,2,3
"300","부여한",1,3,"Korean",0.000864304235090752,4,3
"301","침해하는",1,4,"Korean",0.000864304235090752,6,3
"302","행위에",1,3,"Korean",0.000864304235090752,3,3
"303","권한있는",1,4,"Korean",0.000864304235090752,2,3
"304","국내법정에서",1,6,"Korean",0.000864304235090752,3,3
"305","실효성",1,3,"Korean",0.000864304235090752,2,3
"306","구제를",1,3,"Korean",0.000864304235090752,3,3
"307","체포",1,2,"Korean",0.000864304235090752,4,3
"308","구금",1,2,"Korean",0.000864304235090752,3,3
"309","추방되지",1,4,"Korean",0.000864304235090752,5,3
"310","권리",1,2,"Korean",0.000864304235090752,3,3
"311","의무",1,2,"Korean",0.000864304235090752,2,3
"312","자신에",1,3,"Korean",0.000864304235090752,6,3
"313","형사상",1,3,"Korean",0.000864304235090752,3,3
"314","혐의에",1,3,"Korean",0.000864304235090752,6,3
"315","결정에",1,3,"Korean",0.000864304235090752,2,3
"316","독립적이며",1,5,"Korean",0.000864304235090752,4,3
"317","공평한",1,3,"Korean",0.000864304235090752,2,3
"318","법정에서",1,4,"Korean",0.000864304235090752,5,3
"319","평등하게",1,4,"Korean",0.000864304235090752,3,3
"320","공정하고",1,4,"Korean",0.000864304235090752,2,3
"321","공개된",1,3,"Korean",0.000864304235090752,3,3
"322","재판을",1,3,"Korean",0.000864304235090752,3,3
"323","형사피의자는",1,6,"Korean",0.000864304235090752,3,3
"324","변호에",1,3,"Korean",0.000864304235090752,3,3
"325","보장된",1,3,"Korean",0.000864304235090752,3,3
"326","공개",1,2,"Korean",0.000864304235090752,3,3
"327","재판에서",1,4,"Korean",0.000864304235090752,4,3
"328","법률에",1,3,"Korean",0.000864304235090752,3,3
"329","입증될",1,3,"Korean",0.000864304235090752,3,3
"330","때까지",1,3,"Korean",0.000864304235090752,4,3
"331","무죄로",1,3,"Korean",0.000864304235090752,1,3
"332","추정받을",1,4,"Korean",0.000864304235090752,2,3
"333","국내법",1,3,"Korean",0.000864304235090752,2,3
"334","국제법에",1,4,"Korean",0.000864304235090752,5,3
"335","범죄를",1,3,"Korean",0.000864304235090752,3,3
"336","구성하지",1,4,"Korean",0.000864304235090752,4,3
"337","아니하는",1,4,"Korean",0.000864304235090752,2,3
"338","작위",1,2,"Korean",0.000864304235090752,3,3
"339","부작위를",1,4,"Korean",0.000864304235090752,3,3
"340","이유로",1,3,"Korean",0.000864304235090752,3,3
"341","되지",1,2,"Korean",0.000864304235090752,3,3
"342","적용될",1,3,"Korean",0.000864304235090752,4,3
"343","있었던",1,3,"Korean",0.000864304235090752,3,3
"344","형벌보다",1,4,"Korean",0.000864304235090752,4,3
"345","무거운",1,3,"Korean",0.000864304235090752,3,3
"346","형벌이",1,3,"Korean",0.000864304235090752,3,3
"347","부과되지",1,4,"Korean",0.000864304235090752,2,3
"348","사생활",1,3,"Korean",0.000864304235090752,4,3
"349","가정",1,2,"Korean",0.000864304235090752,4,3
"350","주거",1,2,"Korean",0.000864304235090752,4,3
"351","통신에",1,3,"Korean",0.000864304235090752,3,3
"352","자의적인",1,4,"Korean",0.000864304235090752,6,3
"353","간섭을",1,3,"Korean",0.000864304235090752,4,3
"354","받거나",1,3,"Korean",0.000864304235090752,5,3
"355","명예와",1,3,"Korean",0.000864304235090752,3,3
"356","명성에",1,3,"Korean",0.000864304235090752,4,3
"357","비난을",1,3,"Korean",0.000864304235090752,6,3
"358","간섭이나",1,4,"Korean",0.000864304235090752,7,3
"359","비난에",1,3,"Korean",0.000864304235090752,3,3
"360","자국내에서",1,5,"Korean",0.000864304235090752,2,3
"361","이동",1,2,"Korean",0.000864304235090752,3,3
"362","거주의",1,3,"Korean",0.000864304235090752,3,3
"363","자국을",1,3,"Korean",0.000864304235090752,4,3
"364","나라를",1,3,"Korean",0.000864304235090752,3,3
"365","떠날",1,2,"Korean",0.000864304235090752,2,3
"366","자국으로",1,4,"Korean",0.000864304235090752,3,3
"367","돌아올",1,3,"Korean",0.000864304235090752,1,3
"368","박해를",1,3,"Korean",0.000864304235090752,4,3
"369","피하여",1,3,"Korean",0.000864304235090752,3,3
"370","나라에서",1,4,"Korean",0.000864304235090752,4,3
"371","구하거나",1,4,"Korean",0.000864304235090752,2,3
"372","진실로",1,3,"Korean",0.000864304235090752,3,3
"373","비정치적",1,4,"Korean",0.000864304235090752,3,3
"374","위배되는",1,4,"Korean",0.000864304235090752,3,3
"375","행위로",1,3,"Korean",0.000864304235090752,3,3
"376","인하여",1,3,"Korean",0.000864304235090752,3,3
"377","기소된",1,3,"Korean",0.000864304235090752,5,3
"378","경우에는",1,4,"Korean",0.000864304235090752,3,3
"379","주장될",1,3,"Korean",0.000864304235090752,4,3
"380","없다",1,2,"Korean",0.000864304235090752,7,3
"381","아니하며",1,4,"Korean",0.000864304235090752,2,3
"382","부인되지",1,4,"Korean",0.000864304235090752,3,3
"383","성인",1,2,"Korean",0.000864304235090752,3,3
"384","남녀는",1,3,"Korean",0.000864304235090752,2,3
"385","국적",1,2,"Korean",0.000864304235090752,4,3
"386","종교에",1,3,"Korean",0.000864304235090752,1,3
"387","따른",1,2,"Korean",0.000864304235090752,5,3
"388","제한도",1,3,"Korean",0.000864304235090752,3,3
"389","혼인하고",1,4,"Korean",0.000864304235090752,2,3
"390","가정을",1,3,"Korean",0.000864304235090752,3,3
"391","이룰",1,2,"Korean",0.000864304235090752,2,3
"392","그들은",1,3,"Korean",0.000864304235090752,5,3
"393","혼인에",1,3,"Korean",0.000864304235090752,3,3
"394","혼인기간중",1,5,"Korean",0.000864304235090752,3,3
"395","혼인해소시에",1,6,"Korean",0.000864304235090752,4,3
"396","혼인은",1,3,"Korean",0.000864304235090752,1,3
"397","장래",1,2,"Korean",0.000864304235090752,2,3
"398","배우자들의",1,5,"Korean",0.000864304235090752,4,3
"399","동의하에서만",1,6,"Korean",0.000864304235090752,4,3
"400","성립된다",1,4,"Korean",0.000864304235090752,4,3
"401","가정은",1,3,"Korean",0.000864304235090752,5,3
"402","자연적이고",1,5,"Korean",0.000864304235090752,2,3
"403","기초적인",1,4,"Korean",0.000864304235090752,7,3
"404","단위이며",1,4,"Korean",0.000864304235090752,3,3
"405","사회와",1,3,"Korean",0.000864304235090752,3,3
"406","뿐만",1,2,"Korean",0.000864304235090752,3,3
"407","아니라",1,3,"Korean",0.000864304235090752,2,3
"408","소유할",1,3,"Korean",0.000864304235090752,7,3
"409","사상",1,2,"Korean",0.000864304235090752,2,3
"410","양심",1,2,"Korean",0.000864304235090752,4,3
"411","종교의",1,3,"Korean",0.000864304235090752,4,3
"412","공적으로",1,4,"Korean",0.000864304235090752,2,3
"413","사적으로",1,4,"Korean",0.000864304235090752,2,3
"414","선교",1,2,"Korean",0.000864304235090752,3,3
"415","행사",1,2,"Korean",0.000864304235090752,3,3
"416","예배",1,2,"Korean",0.000864304235090752,3,3
"417","의식에",1,3,"Korean",0.000864304235090752,3,3
"418","종교나",1,3,"Korean",0.000864304235090752,3,3
"419","표명하는",1,4,"Korean",0.000864304235090752,3,3
"420","의견의",1,3,"Korean",0.000864304235090752,4,3
