"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","i",88,1,"Polish",0.0580092287409361,9,1
"2","do",50,2,"Polish",0.03295978905735,8,1
"3","w",43,1,"Polish",0.028345418589321,11,1
"4","prawo",38,5,"Polish",0.025049439683586,11,1
"5","ma",32,2,"Polish",0.021094264996704,7,1
"6","artykuł",30,7,"Polish",0.01977587343441,14,1
"7","każdy",30,5,"Polish",0.01977587343441,7,1
"8","człowiek",29,8,"Polish",0.019116677653263,6,1
"9","lub",25,3,"Polish",0.016479894528675,10,1
"10","z",19,1,"Polish",0.012524719841793,5,1
"11","praw",17,4,"Polish",0.011206328279499,6,1
"12","wolności",17,8,"Polish",0.011206328279499,9,1
"13","nie",17,3,"Polish",0.011206328279499,3,1
"14","jego",15,4,"Polish",0.00988793671720501,10,2
"15","na",14,2,"Polish",0.00922874093605801,12,2
"16","jest",12,4,"Polish",0.00791034937376401,3,2
"17","się",11,3,"Polish",0.00725115359261701,1,2
"18","prawa",9,5,"Polish",0.00593276203032301,3,2
"19","wolno",9,5,"Polish",0.00593276203032301,2,2
"20","że",8,2,"Polish",0.005273566249176,4,2
"21","oraz",8,4,"Polish",0.005273566249176,9,2
"22","ochrony",8,7,"Polish",0.005273566249176,6,2
"23","człowieka",7,9,"Polish",0.004614370468029,4,2
"24","ZWAŻYWSZY",7,9,"Polish",0.004614370468029,4,2
"25","o",7,1,"Polish",0.004614370468029,13,2
"26","bez",7,3,"Polish",0.004614370468029,10,2
"27","to",7,2,"Polish",0.004614370468029,7,2
"28","nikogo",7,6,"Polish",0.004614370468029,6,2
"29","narodów",6,7,"Polish",0.003955174686882,9,2
"30","deklaracji",6,10,"Polish",0.003955174686882,8,2
"31","mają",6,4,"Polish",0.003955174686882,8,2
"32","wszystkich",5,10,"Polish",0.003295978905735,2,2
"33","aby",5,3,"Polish",0.003295978905735,5,2
"34","społeczeństwa",5,13,"Polish",0.003295978905735,16,3
"35","za",5,2,"Polish",0.003295978905735,6,3
"36","swych",5,5,"Polish",0.003295978905735,13,3
"37","są",5,2,"Polish",0.003295978905735,5,3
"38","niniejszej",5,10,"Polish",0.003295978905735,11,3
"39","względu",5,7,"Polish",0.003295978905735,1,3
"40","wyznania",5,8,"Polish",0.003295978905735,13,3
"41","kraju",5,5,"Polish",0.003295978905735,4,3
"42","ani",5,3,"Polish",0.003295978905735,10,3
"43","godności",4,8,"Polish",0.002636783124588,6,3
"44","jako",4,4,"Polish",0.002636783124588,7,3
"45","od",4,2,"Polish",0.002636783124588,9,3
"46","konieczne",4,9,"Polish",0.002636783124588,9,3
"47","państwa",4,7,"Polish",0.002636783124588,4,3
"48","zjednoczonych",4,13,"Polish",0.002636783124588,10,3
"49","dla",4,3,"Polish",0.002636783124588,6,3
"50","wszyscy",4,7,"Polish",0.002636783124588,7,3
"51","wszystkie",4,9,"Polish",0.002636783124588,12,3
"52","prawnej",4,7,"Polish",0.002636783124588,6,3
"53","sposób",4,6,"Polish",0.002636783124588,11,3
"54","osobowości",4,10,"Polish",0.002636783124588,8,3
"55","przez",4,5,"Polish",0.002636783124588,7,3
"56","samowolnie",4,10,"Polish",0.002636783124588,1,3
"57","przestępstwa",4,12,"Polish",0.002636783124588,5,3
"58","być",4,3,"Polish",0.002636783124588,13,3
"59","swobodnego",4,10,"Polish",0.002636783124588,5,3
"60","pracy",4,5,"Polish",0.002636783124588,9,3
"61","ludzkiej",3,8,"Polish",0.001977587343441,15,4
"62","które",3,5,"Polish",0.001977587343441,6,4
"63","którym",3,6,"Polish",0.001977587343441,7,4
"64","ludzie",3,6,"Polish",0.001977587343441,9,4
"65","korzystać",3,9,"Polish",0.001977587343441,9,4
"66","przeciw",3,7,"Polish",0.001977587343441,13,4
"67","społecznego",3,11,"Polish",0.001977587343441,11,4
"68","życia",3,5,"Polish",0.001977587343441,11,4
"69","ich",3,3,"Polish",0.001977587343441,10,4
"70","nauczania",3,9,"Polish",0.001977587343441,7,4
"71","poszanowania",3,12,"Polish",0.001977587343441,9,4
"72","zarówno",3,7,"Polish",0.001977587343441,12,4
"73","jak",3,3,"Polish",0.001977587343441,9,4
"74","po",3,2,"Polish",0.001977587343441,4,4
"75","swej",3,4,"Polish",0.001977587343441,11,4
"76","wobec",3,5,"Polish",0.001977587343441,7,4
"77","innych",3,6,"Polish",0.001977587343441,9,4
"78","zawarte",3,7,"Polish",0.001977587343441,9,4
"79","jakiekolwiek",3,12,"Polish",0.001977587343441,4,4
"80","różnice",3,7,"Polish",0.001977587343441,10,4
"81","jednakowej",3,10,"Polish",0.001977587343441,7,4
"82","przed",3,5,"Polish",0.001977587343441,11,4
"83","mu",3,2,"Polish",0.001977587343441,6,4
"84","włączając",3,9,"Polish",0.001977587343441,10,4
"85","można",3,5,"Polish",0.001977587343441,10,4
"86","organizacji",3,11,"Polish",0.001977587343441,10,4
"87","posiadania",3,10,"Polish",0.001977587343441,12,4
"88","obywatelstwa",3,12,"Polish",0.001977587343441,2,4
"89","ze",3,2,"Polish",0.001977587343441,8,4
"90","innymi",3,6,"Polish",0.001977587343441,9,4
"91","swobodę",3,7,"Polish",0.001977587343441,8,4
"92","poprzez",3,7,"Polish",0.001977587343441,13,4
"93","uczestniczenia",3,14,"Polish",0.001977587343441,9,4
"94","uznanie",2,7,"Polish",0.001318391562294,6,4
"95","podstawą",2,8,"Polish",0.001318391562294,8,4
"96","pokoju",2,6,"Polish",0.001318391562294,12,4
"97","świata",2,6,"Polish",0.001318391562294,8,4
"98","aktów",2,5,"Polish",0.001318391562294,8,4
"99","sumieniem",2,9,"Polish",0.001318391562294,8,4
"100","ludzkości",2,9,"Polish",0.001318391562294,5,5
"101","uroczyście",2,10,"Polish",0.001318391562294,11,5
"102","cel",2,3,"Polish",0.001318391562294,7,5
"103","takiego",2,7,"Polish",0.001318391562294,12,5
"104","popiera",2,7,"Polish",0.001318391562294,6,5
"105","rozwoju",2,7,"Polish",0.001318391562294,13,5
"106","między",2,6,"Polish",0.001318391562294,5,5
"107","narodami",2,8,"Polish",0.001318391562294,11,5
"108","warunków",2,8,"Polish",0.001318391562294,12,5
"109","we",2,2,"Polish",0.001318391562294,10,5
"110","powszechne",2,10,"Polish",0.001318391562294,4,5
"111","przestrzeganie",2,14,"Polish",0.001318391562294,5,5
"112","tych",2,4,"Polish",0.001318391562294,12,5
"113","niniejszą",2,9,"Polish",0.001318391562294,1,5
