"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","и",116,1,"Russian",0.0738383195416932,8,1
"2","в",51,1,"Russian",0.0324633991088479,9,1
"3","на",40,2,"Russian",0.0254614894971356,9,1
"4","право",38,5,"Russian",0.0241884150222788,3,1
"5","человек",32,7,"Russian",0.0203691915977085,6,1
"6","каждый",32,6,"Russian",0.0203691915977085,10,2
"7","имеет",30,5,"Russian",0.0190961171228517,8,2
"8","статья",30,6,"Russian",0.0190961171228517,11,2
"9","или",28,3,"Russian",0.0178230426479949,4,2
"10","его",19,3,"Russian",0.0120942075111394,12,2
"11","не",17,2,"Russian",0.0108211330362826,8,2
"12","быть",16,4,"Russian",0.0101845957988542,8,2
"13","прав",13,4,"Russian",0.00827498408656906,9,2
"14","к",12,1,"Russian",0.00763844684914067,7,2
"15","во",11,2,"Russian",0.00700190961171229,11,2
"16","для",11,3,"Russian",0.00700190961171229,9,2
"17","от",10,2,"Russian",0.0063653723742839,4,2
"18","свободу",10,7,"Russian",0.0063653723742839,7,2
"19","что",9,3,"Russian",0.00572883513685551,14,2
"20","должно",9,6,"Russian",0.00572883513685551,6,2
"21","может",9,5,"Russian",0.00572883513685551,3,3
"22","человека",8,8,"Russian",0.00509229789942712,13,3
"23","как",8,3,"Russian",0.00509229789942712,11,3
"24","никто",8,5,"Russian",0.00509229789942712,8,3
"25","принимая",7,8,"Russian",0.00445576066199873,10,3
"26","внимание",7,8,"Russian",0.00445576066199873,6,3
"27","при",7,3,"Russian",0.00445576066199873,10,3
"28","свобод",7,6,"Russian",0.00445576066199873,11,3
"29","то",7,2,"Russian",0.00445576066199873,6,3
"30","образование",7,11,"Russian",0.00445576066199873,8,3
"31","их",6,2,"Russian",0.00381922342457034,10,3
"32","содействовать",6,13,"Russian",0.00381922342457034,5,3
"33","свою",6,4,"Russian",0.00381922342457034,9,3
"34","с",6,1,"Russian",0.00381922342457034,11,3
"35","все",6,3,"Russian",0.00381922342457034,9,3
"36","защиту",6,6,"Russian",0.00381922342457034,1,3
"37","по",6,2,"Russian",0.00381922342457034,9,3
"38","права",5,5,"Russian",0.00318268618714195,11,3
"39","объединенных",5,12,"Russian",0.00318268618714195,5,3
"40","Наций",5,5,"Russian",0.00318268618714195,9,3
"41","государства",5,11,"Russian",0.00318268618714195,10,3
"42","общества",5,8,"Russian",0.00318268618714195,13,3
"43","должен",5,6,"Russian",0.00318268618714195,11,3
"44","ни",5,2,"Russian",0.00318268618714195,13,3
"45","было",5,4,"Russian",0.00318268618714195,9,4
"46","является",4,8,"Russian",0.00254614894971356,7,4
"47","котором",4,7,"Russian",0.00254614894971356,11,4
"48","люди",4,4,"Russian",0.00254614894971356,7,4
"49","убеждений",4,9,"Russian",0.00254614894971356,10,4
"50","чтобы",4,5,"Russian",0.00254614894971356,11,4
"51","личности",4,8,"Russian",0.00254614894971356,8,4
"52","должны",4,6,"Russian",0.00254614894971356,10,4
"53","путем",4,5,"Russian",0.00254614894971356,2,4
"54","Организации",4,11,"Russian",0.00254614894971356,8,4
"55","настоящей",4,9,"Russian",0.00254614894971356,4,4
"56","без",4,3,"Russian",0.00254614894971356,9,4
"57","бы",4,2,"Russian",0.00254614894971356,7,4
"58","имеют",4,5,"Russian",0.00254614894971356,10,4
"59","время",4,5,"Russian",0.00254614894971356,7,4
"60","брак",4,4,"Russian",0.00254614894971356,10,4
"61","своих",4,5,"Russian",0.00254614894971356,7,4
"62","человеческой",3,12,"Russian",0.00190961171228517,5,4
"63","семьи",3,5,"Russian",0.00190961171228517,11,4
"64","мира",3,4,"Russian",0.00190961171228517,12,4
"65","которые",3,7,"Russian",0.00190961171228517,6,4
"66","закона",3,6,"Russian",0.00190961171228517,7,4
"67","обеспечения",3,11,"Russian",0.00190961171228517,8,4
"68","того",3,4,"Russian",0.00190961171228517,5,4
"69","этих",3,4,"Russian",0.00190961171228517,5,4
"70","настоящую",3,9,"Russian",0.00190961171228517,13,4
"71","образования",3,11,"Russian",0.00190961171228517,12,4
"72","так",3,3,"Russian",0.00190961171228517,3,4
"73","отношении",3,9,"Russian",0.00190961171228517,8,4
"74","всеми",3,5,"Russian",0.00190961171228517,5,4
"75","какого",3,6,"Russian",0.00190961171228517,9,4
"76","различия",3,8,"Russian",0.00190961171228517,5,4
"77","религии",3,7,"Russian",0.00190961171228517,9,4
"78","основе",3,6,"Russian",0.00190961171228517,11,4
"79","всех",3,4,"Russian",0.00190961171228517,11,4
"80","подвергаться",3,12,"Russian",0.00190961171228517,20,4
"81","законом",3,7,"Russian",0.00190961171228517,9,4
"82","равную",3,6,"Russian",0.00190961171228517,7,4
"83","какой",3,5,"Russian",0.00190961171228517,7,4
"84","дискриминации",3,13,"Russian",0.00190961171228517,4,4
"85","ему",3,3,"Russian",0.00190961171228517,4,5
"86","преступления",3,12,"Russian",0.00190961171228517,11,5
"87","за",3,2,"Russian",0.00190961171228517,9,5
"88","свободно",3,8,"Russian",0.00190961171228517,5,5
"89","каждого",3,7,"Russian",0.00190961171228517,6,5
"90","включая",3,7,"Russian",0.00190961171228517,3,5
"91","других",3,6,"Russian",0.00190961171228517,5,5
"92","пользоваться",3,12,"Russian",0.00190961171228517,10,5
"93","это",3,3,"Russian",0.00190961171228517,11,5
"94","только",3,6,"Russian",0.00190961171228517,5,5
"95","другими",3,7,"Russian",0.00190961171228517,12,5
"96","признание",2,9,"Russian",0.00127307447485678,6,5
"97","достоинства",2,11,"Russian",0.00127307447485678,12,5
"98","основой",2,7,"Russian",0.00127307447485678,8,5
"99","свободы",2,7,"Russian",0.00127307447485678,11,5
"100","справедливости",2,14,"Russian",0.00127307447485678,15,5
"101","всеобщего",2,9,"Russian",0.00127307447485678,12,5
"102","правам",2,6,"Russian",0.00127307447485678,4,5
"103","такого",2,6,"Russian",0.00127307447485678,2,5
"104","будут",2,5,"Russian",0.00127307447485678,2,5
"105","необходимо",2,10,"Russian",0.00127307447485678,6,5
"106","качестве",2,8,"Russian",0.00127307447485678,10,5
"107","развитию",2,8,"Russian",0.00127307447485678,12,5
"108","между",2,5,"Russian",0.00127307447485678,9,5
"109","народами",2,8,"Russian",0.00127307447485678,12,5
"110","народы",2,6,"Russian",0.00127307447485678,6,5
"111","достоинство",2,11,"Russian",0.00127307447485678,4,5
"112","жизни",2,5,"Russian",0.00127307447485678,7,5
"113","уважению",2,8,"Russian",0.00127307447485678,9,5
"114","основных",2,8,"Russian",0.00127307447485678,11,5
"115","полного",2,7,"Russian",0.00127307447485678,5,5
"116","которой",2,7,"Russian",0.00127307447485678,6,5
"117","Декларацию",2,10,"Russian",0.00127307447485678,11,5
"118","национальных",2,12,"Russian",0.00127307447485678,13,5
"119","признания",2,9,"Russian",0.00127307447485678,5,5
"120","среди",2,5,"Russian",0.00127307447485678,6,5
"121","народов",2,7,"Russian",0.00127307447485678,8,5
"122","своем",2,5,"Russian",0.00127307447485678,13,5
"123","правах",2,6,"Russian",0.00127307447485678,3,5
"124","они",2,3,"Russian",0.00127307447485678,12,5
"125","правами",2,7,"Russian",0.00127307447485678,12,5
