"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","ya",125,2,"Swahili",0.0702247191011236,6,1
"2","na",114,2,"Swahili",0.0640449438202247,4,1
"3","haki",65,4,"Swahili",0.0365168539325843,5,1
"4","kwa",57,3,"Swahili",0.0320224719101124,4,1
"5","wa",43,2,"Swahili",0.0241573033707865,5,1
"6","mtu",37,3,"Swahili",0.0207865168539326,3,1
"7","cha",35,3,"Swahili",0.0196629213483146,9,1
"8","Kifungu",28,7,"Swahili",0.0157303370786517,6,2
"9","Kila",28,4,"Swahili",0.0157303370786517,6,2
"10","au",26,2,"Swahili",0.0146067415730337,7,2
"11","yake",26,4,"Swahili",0.0146067415730337,6,2
"12","ana",25,3,"Swahili",0.0140449438202247,8,2
"13","katika",21,6,"Swahili",0.0117977528089888,8,2
"14","za",20,2,"Swahili",0.0112359550561798,8,2
"15","uhuru",20,5,"Swahili",0.0112359550561798,7,2
"16","yote",19,4,"Swahili",0.0106741573033708,2,2
"17","watu",17,4,"Swahili",0.00955056179775281,3,2
"18","hali",16,4,"Swahili",0.00898876404494382,4,2
"19","nchi",15,4,"Swahili",0.00842696629213483,9,2
"20","sheria",14,6,"Swahili",0.00786516853932584,5,2
"21","kuwa",12,4,"Swahili",0.00674157303370787,4,2
"22","kazi",12,4,"Swahili",0.00674157303370787,11,2
"23","bila",11,4,"Swahili",0.00617977528089888,7,2
"24","yo",11,2,"Swahili",0.00617977528089888,7,2
"25","ni",11,2,"Swahili",0.00617977528089888,8,2
"26","kila",11,4,"Swahili",0.00617977528089888,10,2
"27","wote",10,4,"Swahili",0.00561797752808989,4,2
"28","hii",9,3,"Swahili",0.0050561797752809,3,2
"29","binadamu",9,8,"Swahili",0.0050561797752809,4,2
"30","Kwa",8,3,"Swahili",0.00449438202247191,7,2
"31","asili",8,5,"Swahili",0.00449438202247191,9,2
"32","sawa",8,4,"Swahili",0.00449438202247191,11,2
"33","maisha",8,6,"Swahili",0.00449438202247191,8,2
"34","kama",8,4,"Swahili",0.00449438202247191,6,2
"35","kati",8,4,"Swahili",0.00449438202247191,6,2
"36","anayo",8,5,"Swahili",0.00449438202247191,11,2
"37","la",7,2,"Swahili",0.00393258426966292,6,2
"38","Umoja",7,5,"Swahili",0.00393258426966292,5,2
"39","Mataifa",7,7,"Swahili",0.00393258426966292,6,2
"40","Taarifa",7,7,"Swahili",0.00393258426966292,2,2
"41","mataifa",7,7,"Swahili",0.00393258426966292,8,3
"42","mambo",7,5,"Swahili",0.00393258426966292,7,3
"43","taifa",7,5,"Swahili",0.00393258426966292,2,3
"44","kulindwa",7,8,"Swahili",0.00393258426966292,5,3
"45","YA",6,2,"Swahili",0.00337078651685393,6,3
"46","lazima",6,6,"Swahili",0.00337078651685393,8,3
"47","dini",6,4,"Swahili",0.00337078651685393,5,3
"48","ye",6,2,"Swahili",0.00337078651685393,6,3
"49","wakati",6,6,"Swahili",0.00337078651685393,2,3
"50","kupata",6,6,"Swahili",0.00337078651685393,4,3
"51","hiyo",5,4,"Swahili",0.00280898876404494,3,3
"52","heshima",5,7,"Swahili",0.00280898876404494,5,3
"53","bora",5,4,"Swahili",0.00280898876404494,7,3
"54","wake",5,4,"Swahili",0.00280898876404494,11,3
"55","jamii",5,5,"Swahili",0.00280898876404494,4,3
"56","ambao",5,5,"Swahili",0.00280898876404494,3,3
"57","ubaguzi",5,7,"Swahili",0.00280898876404494,7,3
"58","nyingine",5,8,"Swahili",0.00280898876404494,9,3
"59","kanuni",5,6,"Swahili",0.00280898876404494,5,3
"60","mmoja",5,5,"Swahili",0.00280898876404494,9,3
"61","ndoa",5,4,"Swahili",0.00280898876404494,4,3
"62","kamili",4,6,"Swahili",0.00224719101123596,7,3
"63","siasa",4,5,"Swahili",0.00224719101123596,8,3
"64","ndio",4,4,"Swahili",0.00224719101123596,8,3
"65","kwamba",4,6,"Swahili",0.00224719101123596,8,3
"66","kutokana",4,8,"Swahili",0.00224719101123596,4,3
"67","Mtu",4,3,"Swahili",0.00224719101123596,9,3
"68","makosa",4,6,"Swahili",0.00224719101123596,10,3
"69","zake",4,4,"Swahili",0.00224719101123596,4,3
"70","wajibu",4,6,"Swahili",0.00224719101123596,8,3
"71","jamaa",4,5,"Swahili",0.00224719101123596,10,3
"72","mwenyewe",4,8,"Swahili",0.00224719101123596,5,3
"73","ajili",4,5,"Swahili",0.00224719101123596,2,3
"74","njia",4,4,"Swahili",0.00224719101123596,8,3
"75","kushiriki",4,9,"Swahili",0.00224719101123596,3,3
"76","Elimu",4,5,"Swahili",0.00224719101123596,6,3
"77","juu",3,3,"Swahili",0.00168539325842697,8,3
"78","zilizo",3,6,"Swahili",0.00168539325842697,3,3
"79","Wanachama",3,9,"Swahili",0.00168539325842697,3,4
"80","amani",3,5,"Swahili",0.00168539325842697,7,4
"81","a",3,1,"Swahili",0.00168539325842697,10,4
"82","wao",3,3,"Swahili",0.00168539325842697,7,4
"83","cho",3,3,"Swahili",0.00168539325842697,6,4
"84","chote",3,5,"Swahili",0.00168539325842697,10,4
"85","chini",3,5,"Swahili",0.00168539325842697,5,4
"86","kuendeleza",3,10,"Swahili",0.00168539325842697,6,4
"87","ka",3,2,"Swahili",0.00168539325842697,6,4
"88","yao",3,3,"Swahili",0.00168539325842697,6,4
"89","wanaume",3,7,"Swahili",0.00168539325842697,11,4
"90","wanawake",3,8,"Swahili",0.00168539325842697,8,4
"91","kukuza",3,6,"Swahili",0.00168539325842697,10,4
"92","jambo",3,5,"Swahili",0.00168539325842697,2,4
"93","baraza",3,6,"Swahili",0.00168539325842697,2,4
"94","huru",3,4,"Swahili",0.00168539325842697,7,4
"95","rangi",3,5,"Swahili",0.00168539325842697,3,4
"96","mali",3,4,"Swahili",0.00168539325842697,3,4
"97","hayo",3,4,"Swahili",0.00168539325842697,3,4
