"","family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","Afro-Asiatic","في",54,2,"Arabic",0.0422866092404072,4,2
"2","Afro-Asiatic","أو",45,2,"Arabic",0.0352388410336727,4,2
"3","Afro-Asiatic","المادة",30,6,"Arabic",0.0234925606891151,3,2
"4","Afro-Asiatic","الحق",30,4,"Arabic",0.0234925606891151,4,2
"5","Afro-Asiatic","لكل",26,3,"Arabic",0.0203602192638998,5,2
"6","Afro-Asiatic","أن",20,2,"Arabic",0.0156617071260767,7,2
"7","Afro-Asiatic","من",19,2,"Arabic",0.0148786217697729,5,2
"8","Afro-Asiatic","على",18,3,"Arabic",0.0140955364134691,9,2
"9","Afro-Asiatic","شخص",17,3,"Arabic",0.0133124510571652,4,2
"10","Afro-Asiatic","أي",15,2,"Arabic",0.0117462803445576,6,2
"11","Afro-Asiatic","فرد",14,3,"Arabic",0.0109631949882537,4,2
"12","Afro-Asiatic","لا",11,2,"Arabic",0.00861393891934221,6,2
"13","Afro-Asiatic","إلى",10,3,"Arabic",0.00783085356303837,5,2
"14","Afro-Asiatic","كان",8,3,"Arabic",0.0062646828504307,5,2
"15","Afro-Asiatic","الإنسان",8,7,"Arabic",0.0062646828504307,7,2
"16","Afro-Asiatic","الحقوق",8,6,"Arabic",0.0062646828504307,4,2
"17","Afro-Asiatic","هذا",8,3,"Arabic",0.0062646828504307,9,2
"18","Afro-Asiatic","حرية",8,4,"Arabic",0.0062646828504307,5,2
"19","Afro-Asiatic","والحريات",7,8,"Arabic",0.00548159749412686,10,2
"20","Afro-Asiatic","كل",7,2,"Arabic",0.00548159749412686,5,2
"21","Afro-Asiatic","حق",7,2,"Arabic",0.00548159749412686,7,2
"22","Afro-Asiatic","دون",7,3,"Arabic",0.00548159749412686,5,3
"23","Afro-Asiatic","ولما",6,4,"Arabic",0.00469851213782302,6,3
"24","Afro-Asiatic","الإعلان",6,7,"Arabic",0.00469851213782302,5,3
"25","Afro-Asiatic","عن",6,2,"Arabic",0.00469851213782302,8,3
"26","Afro-Asiatic","له",6,2,"Arabic",0.00469851213782302,6,3
"27","Afro-Asiatic","يجوز",6,4,"Arabic",0.00469851213782302,6,3
"28","Afro-Asiatic","حقوق",5,4,"Arabic",0.00391542678151919,7,3
"29","Afro-Asiatic","القانون",5,7,"Arabic",0.00391542678151919,5,3
"30","Afro-Asiatic","حماية",5,5,"Arabic",0.00391542678151919,4,3
"31","Afro-Asiatic","بين",5,3,"Arabic",0.00391542678151919,5,3
"32","Afro-Asiatic","الأمم",5,5,"Arabic",0.00391542678151919,6,3
"33","Afro-Asiatic","المتحدة",5,7,"Arabic",0.00391542678151919,7,3
"34","Afro-Asiatic","الأساسية",5,8,"Arabic",0.00391542678151919,7,3
"35","Afro-Asiatic","مع",5,2,"Arabic",0.00391542678151919,2,3
"36","Afro-Asiatic","المجتمع",5,7,"Arabic",0.00391542678151919,2,3
"37","Afro-Asiatic","إنسان",5,5,"Arabic",0.00391542678151919,5,3
"38","Afro-Asiatic","التمتع",5,6,"Arabic",0.00391542678151919,2,3
"39","Afro-Asiatic","التي",5,4,"Arabic",0.00391542678151919,6,3
"40","Afro-Asiatic","ذلك",5,3,"Arabic",0.00391542678151919,6,3
"41","Afro-Asiatic","إليه",4,4,"Arabic",0.00313234142521535,5,3
"42","Afro-Asiatic","فيه",4,3,"Arabic",0.00313234142521535,5,3
"43","Afro-Asiatic","الفرد",4,5,"Arabic",0.00313234142521535,5,3
"44","Afro-Asiatic","كانت",4,4,"Arabic",0.00313234142521535,3,3
"45","Afro-Asiatic","بهذا",4,4,"Arabic",0.00313234142521535,10,3
"46","Afro-Asiatic","العامة",4,6,"Arabic",0.00313234142521535,5,3
"47","Afro-Asiatic","التعليم",4,7,"Arabic",0.00313234142521535,5,3
"48","Afro-Asiatic","تمييز",4,5,"Arabic",0.00313234142521535,6,3
"49","Afro-Asiatic","قدم",4,3,"Arabic",0.00313234142521535,5,3
"50","Afro-Asiatic","الزواج",4,6,"Arabic",0.00313234142521535,7,3
"51","Afro-Asiatic","الاجتماعية",4,10,"Arabic",0.00313234142521535,4,3
"52","Afro-Asiatic","وفي",4,3,"Arabic",0.00313234142521535,6,3
"53","Afro-Asiatic","الاعتراف",3,8,"Arabic",0.00234925606891151,5,3
"54","Afro-Asiatic","جميع",3,4,"Arabic",0.00234925606891151,5,3
"55","Afro-Asiatic","أساس",3,4,"Arabic",0.00234925606891151,6,3
"56","Afro-Asiatic","قد",3,2,"Arabic",0.00234925606891151,6,3
"57","Afro-Asiatic","ما",3,2,"Arabic",0.00234925606891151,3,3
"58","Afro-Asiatic","آخر",3,3,"Arabic",0.00234925606891151,6,3
"59","Afro-Asiatic","الدول",3,5,"Arabic",0.00234925606891151,3,3
"60","Afro-Asiatic","متساوية",3,7,"Arabic",0.00234925606891151,5,3
"61","Afro-Asiatic","وأن",3,3,"Arabic",0.00234925606891151,4,3
"62","Afro-Asiatic","الذي",3,4,"Arabic",0.00234925606891151,6,3
"63","Afro-Asiatic","هذه",3,3,"Arabic",0.00234925606891151,7,3
"64","Afro-Asiatic","أية",3,3,"Arabic",0.00234925606891151,5,3
"65","Afro-Asiatic","يكون",3,4,"Arabic",0.00234925606891151,5,3
"66","Afro-Asiatic","الدولي",3,6,"Arabic",0.00234925606891151,6,3
"67","Afro-Asiatic","سواء",3,4,"Arabic",0.00234925606891151,2,3
"68","Afro-Asiatic","تلك",3,3,"Arabic",0.00234925606891151,9,3
"69","Afro-Asiatic","غير",3,3,"Arabic",0.00234925606891151,5,3
"70","Afro-Asiatic","كما",3,3,"Arabic",0.00234925606891151,5,3
"71","Afro-Asiatic","المساواة",3,8,"Arabic",0.00234925606891151,8,3
"72","Afro-Asiatic","عمل",3,3,"Arabic",0.00234925606891151,5,3
"73","Afro-Asiatic","أحد",3,3,"Arabic",0.00234925606891151,5,3
"74","Afro-Asiatic","بالكرامة",2,8,"Arabic",0.00156617071260767,6,3
"75","Afro-Asiatic","الأسرة",2,6,"Arabic",0.00156617071260767,3,3
"76","Afro-Asiatic","الحرية",2,6,"Arabic",0.00156617071260767,3,3
"77","Afro-Asiatic","أعمال",2,5,"Arabic",0.00156617071260767,5,3
"78","Afro-Asiatic","تعزيز",2,5,"Arabic",0.00156617071260767,7,3
"79","Afro-Asiatic","بحقوق",2,5,"Arabic",0.00156617071260767,5,3
"80","Afro-Asiatic","وبما",2,4,"Arabic",0.00156617071260767,5,3
"81","Afro-Asiatic","والنساء",2,7,"Arabic",0.00156617071260767,8,3
"82","Afro-Asiatic","الاجتماعي",2,9,"Arabic",0.00156617071260767,3,3
"83","Afro-Asiatic","مستوى",2,5,"Arabic",0.00156617071260767,4,3
"84","Afro-Asiatic","الحياة",2,6,"Arabic",0.00156617071260767,5,3
"85","Afro-Asiatic","الأعضاء",2,7,"Arabic",0.00156617071260767,4,3
"86","Afro-Asiatic","واحترامها",2,9,"Arabic",0.00156617071260767,9,3
"87","Afro-Asiatic","العام",2,5,"Arabic",0.00156617071260767,5,3
"88","Afro-Asiatic","أنه",2,3,"Arabic",0.00156617071260767,9,3
"89","Afro-Asiatic","الشعوب",2,6,"Arabic",0.00156617071260767,8,3
"90","Afro-Asiatic","احترام",2,6,"Arabic",0.00156617071260767,7,3
"91","Afro-Asiatic","لضمان",2,5,"Arabic",0.00156617071260767,2,3
"92","Afro-Asiatic","ومراعاتها",2,9,"Arabic",0.00156617071260767,6,4
"93","Afro-Asiatic","الناس",2,5,"Arabic",0.00156617071260767,4,4
"94","Afro-Asiatic","بكافة",2,5,"Arabic",0.00156617071260767,7,4
"95","Afro-Asiatic","الواردة",2,7,"Arabic",0.00156617071260767,3,4
"96","Afro-Asiatic","بسبب",2,4,"Arabic",0.00156617071260767,3,4
"97","Afro-Asiatic","الجنس",2,5,"Arabic",0.00156617071260767,7,4
"98","Afro-Asiatic","الدين",2,5,"Arabic",0.00156617071260767,3,4
"99","Afro-Asiatic","الرأي",2,5,"Arabic",0.00156617071260767,6,4
"100","Afro-Asiatic","السياسي",2,7,"Arabic",0.00156617071260767,5,4
"101","Afro-Asiatic","الوطني",2,6,"Arabic",0.00156617071260767,8,4
"102","Afro-Asiatic","تفرقة",2,5,"Arabic",0.00156617071260767,4,4
"103","Afro-Asiatic","البقعة",2,6,"Arabic",0.00156617071260767,6,4
"104","Afro-Asiatic","إليها",2,5,"Arabic",0.00156617071260767,6,4
"105","Afro-Asiatic","قيد",2,3,"Arabic",0.00156617071260767,5,4
"106","Afro-Asiatic","القيود",2,6,"Arabic",0.00156617071260767,5,4
"107","Afro-Asiatic","أمام",2,4,"Arabic",0.00156617071260767,4,4
"108","Afro-Asiatic","بحماية",2,6,"Arabic",0.00156617071260767,6,4
"109","Afro-Asiatic","عنه",2,3,"Arabic",0.00156617071260767,2,4
"110","Afro-Asiatic","يلجأ",2,4,"Arabic",0.00156617071260767,8,4
"111","Afro-Asiatic","فيها",2,4,"Arabic",0.00156617071260767,6,4
"112","Afro-Asiatic","التامة",2,6,"Arabic",0.00156617071260767,5,4
"113","Afro-Asiatic","نزيهة",2,5,"Arabic",0.00156617071260767,6,4
"114","Afro-Asiatic","حقوقه",2,5,"Arabic",0.00156617071260767,4,4
"115","Afro-Asiatic","يعتبر",2,5,"Arabic",0.00156617071260767,3,4
"116","Afro-Asiatic","أداة",2,4,"Arabic",0.00156617071260767,5,4
"117","Afro-Asiatic","إلا",2,3,"Arabic",0.00156617071260767,3,4
"118","Afro-Asiatic","وقت",2,3,"Arabic",0.00156617071260767,3,4
"119","Afro-Asiatic","دولة",2,4,"Arabic",0.00156617071260767,6,4
"120","Afro-Asiatic","يحق",2,3,"Arabic",0.00156617071260767,6,4
"121","Afro-Asiatic","بلاد",2,4,"Arabic",0.00156617071260767,3,4
"122","Afro-Asiatic","أخرى",2,4,"Arabic",0.00156617071260767,5,4
"123","Afro-Asiatic","أغراض",2,5,"Arabic",0.00156617071260767,4,4
"124","Afro-Asiatic","ومبادئها",2,8,"Arabic",0.00156617071260767,6,4
"125","Afro-Asiatic","عند",2,3,"Arabic",0.00156617071260767,7,4
"126","Afro-Asiatic","هي",2,2,"Arabic",0.00156617071260767,3,4
"127","Afro-Asiatic","ويشمل",2,5,"Arabic",0.00156617071260767,7,4
"128","Afro-Asiatic","الاشتراك",2,8,"Arabic",0.00156617071260767,8,4
"129","Afro-Asiatic","والجماعات",2,9,"Arabic",0.00156617071260767,5,4
"130","Afro-Asiatic","دورية",2,5,"Arabic",0.00156617071260767,4,4
"131","Afro-Asiatic","وعلى",2,4,"Arabic",0.00156617071260767,8,4
"132","Afro-Asiatic","لشخصيته",2,7,"Arabic",0.00156617071260767,3,4
"133","Afro-Asiatic","العمل",2,5,"Arabic",0.00156617071260767,7,4
"134","Afro-Asiatic","وله",2,3,"Arabic",0.00156617071260767,5,4
"135","Afro-Asiatic","الحماية",2,7,"Arabic",0.00156617071260767,5,4
"136","Afro-Asiatic","البطالة",2,7,"Arabic",0.00156617071260767,4,4
"137","Afro-Asiatic","أجر",2,3,"Arabic",0.00156617071260767,6,4
"138","Afro-Asiatic","ولأسرته",2,7,"Arabic",0.00156617071260767,7,4
"139","Afro-Asiatic","وسائل",2,5,"Arabic",0.00156617071260767,4,4
"140","Afro-Asiatic","الفني",2,5,"Arabic",0.00156617071260767,5,4
"141","Afro-Asiatic","إنماء",2,5,"Arabic",0.00156617071260767,4,4
"142","Afro-Asiatic","وإلى",2,4,"Arabic",0.00156617071260767,4,4
"143","Afro-Asiatic","العلمي",2,6,"Arabic",0.00156617071260767,3,4
"144","Afro-Asiatic","ممارسة",2,6,"Arabic",0.00156617071260767,3,4
"145","Afro-Asiatic","وحرياته",2,7,"Arabic",0.00156617071260767,4,4
"146","Afro-Asiatic","الديباجة",1,8,"Arabic",0.000783085356303837,6,4
"147","Afro-Asiatic","لما",1,3,"Arabic",0.000783085356303837,5,4
"148","Afro-Asiatic","المتأصلة",1,8,"Arabic",0.000783085356303837,7,4
"149","Afro-Asiatic","أعضاء",1,5,"Arabic",0.000783085356303837,2,4
"150","Afro-Asiatic","البشرية",1,7,"Arabic",0.000783085356303837,2,4
"151","Afro-Asiatic","وبحقوقهم",1,8,"Arabic",0.000783085356303837,7,4
"152","Afro-Asiatic","المتساوية",1,9,"Arabic",0.000783085356303837,3,4
"153","Afro-Asiatic","الثابتة",1,7,"Arabic",0.000783085356303837,9,4
"154","Afro-Asiatic","هو",1,2,"Arabic",0.000783085356303837,8,4
"155","Afro-Asiatic","والعدل",1,6,"Arabic",0.000783085356303837,6,4
"156","Afro-Asiatic","والسلام",1,7,"Arabic",0.000783085356303837,5,4
"157","Afro-Asiatic","العالم",1,6,"Arabic",0.000783085356303837,6,4
"158","Afro-Asiatic","تناسي",1,5,"Arabic",0.000783085356303837,6,4
"159","Afro-Asiatic","وازدراؤها",1,9,"Arabic",0.000783085356303837,6,4
"160","Afro-Asiatic","أفضيا",1,5,"Arabic",0.000783085356303837,6,4
"161","Afro-Asiatic","همجية",1,5,"Arabic",0.000783085356303837,7,4
"162","Afro-Asiatic","آذت",1,3,"Arabic",0.000783085356303837,2,4
"163","Afro-Asiatic","الضمير",1,6,"Arabic",0.000783085356303837,6,4
"164","Afro-Asiatic","الإنساني",1,8,"Arabic",0.000783085356303837,6,4
"165","Afro-Asiatic","وكان",1,4,"Arabic",0.000783085356303837,4,4
"166","Afro-Asiatic","غاية",1,4,"Arabic",0.000783085356303837,3,4
"167","Afro-Asiatic","يرنو",1,4,"Arabic",0.000783085356303837,5,4
"168","Afro-Asiatic","عامة",1,4,"Arabic",0.000783085356303837,3,4
"169","Afro-Asiatic","البشر",1,5,"Arabic",0.000783085356303837,4,4
"170","Afro-Asiatic","انبثاق",1,6,"Arabic",0.000783085356303837,6,4
"171","Afro-Asiatic","عالم",1,4,"Arabic",0.000783085356303837,6,4
"172","Afro-Asiatic","يتمتع",1,5,"Arabic",0.000783085356303837,4,4
"173","Afro-Asiatic","بحرية",1,5,"Arabic",0.000783085356303837,7,4
"174","Afro-Asiatic","القول",1,5,"Arabic",0.000783085356303837,5,4
"175","Afro-Asiatic","والعقيدة",1,8,"Arabic",0.000783085356303837,8,4
"176","Afro-Asiatic","ويتحرر",1,6,"Arabic",0.000783085356303837,7,4
"177","Afro-Asiatic","الفزع",1,5,"Arabic",0.000783085356303837,6,4
"178","Afro-Asiatic","والفاقة",1,7,"Arabic",0.000783085356303837,7,4
"179","Afro-Asiatic","الضروري",1,7,"Arabic",0.000783085356303837,4,4
"180","Afro-Asiatic","يتولى",1,5,"Arabic",0.000783085356303837,6,4
"181","Afro-Asiatic","لكيلا",1,5,"Arabic",0.000783085356303837,6,4
"182","Afro-Asiatic","يضطر",1,4,"Arabic",0.000783085356303837,7,4
"183","Afro-Asiatic","المرء",1,5,"Arabic",0.000783085356303837,8,4
"184","Afro-Asiatic","الأمر",1,5,"Arabic",0.000783085356303837,6,4
"185","Afro-Asiatic","التمرد",1,6,"Arabic",0.000783085356303837,4,4
"186","Afro-Asiatic","الاستبداد",1,9,"Arabic",0.000783085356303837,7,4
"187","Afro-Asiatic","والظلم",1,6,"Arabic",0.000783085356303837,7,4
"188","Afro-Asiatic","الجوهري",1,7,"Arabic",0.000783085356303837,5,4
"189","Afro-Asiatic","تنمية",1,5,"Arabic",0.000783085356303837,7,4
"190","Afro-Asiatic","العلاقات",1,8,"Arabic",0.000783085356303837,5,4
"191","Afro-Asiatic","الودية",1,6,"Arabic",0.000783085356303837,5,4
"192","Afro-Asiatic","شعوب",1,4,"Arabic",0.000783085356303837,5,4
"193","Afro-Asiatic","أكدت",1,4,"Arabic",0.000783085356303837,6,4
"194","Afro-Asiatic","الميثاق",1,7,"Arabic",0.000783085356303837,6,4
"195","Afro-Asiatic","جديد",1,4,"Arabic",0.000783085356303837,6,4
"196","Afro-Asiatic","إيمانها",1,7,"Arabic",0.000783085356303837,5,4
"197","Afro-Asiatic","وبكرامة",1,7,"Arabic",0.000783085356303837,6,4
"198","Afro-Asiatic","وقدره",1,5,"Arabic",0.000783085356303837,7,4
"199","Afro-Asiatic","للرجال",1,6,"Arabic",0.000783085356303837,6,4
"200","Afro-Asiatic","وحزمت",1,5,"Arabic",0.000783085356303837,6,4
"201","Afro-Asiatic","أمرها",1,5,"Arabic",0.000783085356303837,7,4
"202","Afro-Asiatic","تدفع",1,4,"Arabic",0.000783085356303837,5,4
"203","Afro-Asiatic","بالرقي",1,6,"Arabic",0.000783085356303837,2,4
"204","Afro-Asiatic","ترفع",1,4,"Arabic",0.000783085356303837,8,4
"205","Afro-Asiatic","جو",1,2,"Arabic",0.000783085356303837,7,4
"206","Afro-Asiatic","أفسح",1,4,"Arabic",0.000783085356303837,6,4
"207","Afro-Asiatic","تعهدت",1,5,"Arabic",0.000783085356303837,5,4
"208","Afro-Asiatic","بالتعاون",1,8,"Arabic",0.000783085356303837,4,4
"209","Afro-Asiatic","ضمان",1,4,"Arabic",0.000783085356303837,8,4
"210","Afro-Asiatic","اطراد",1,5,"Arabic",0.000783085356303837,5,4
"211","Afro-Asiatic","مراعاة",1,6,"Arabic",0.000783085356303837,6,4
"212","Afro-Asiatic","للإدراك",1,7,"Arabic",0.000783085356303837,6,4
"213","Afro-Asiatic","لهذه",1,4,"Arabic",0.000783085356303837,3,4
"214","Afro-Asiatic","الأهمية",1,7,"Arabic",0.000783085356303837,4,5
"215","Afro-Asiatic","الكبرى",1,6,"Arabic",0.000783085356303837,7,5
"216","Afro-Asiatic","للوفاء",1,6,"Arabic",0.000783085356303837,4,5
"217","Afro-Asiatic","التام",1,5,"Arabic",0.000783085356303837,3,5
"218","Afro-Asiatic","التعهد",1,6,"Arabic",0.000783085356303837,5,5
"219","Afro-Asiatic","فإن",1,3,"Arabic",0.000783085356303837,9,5
"220","Afro-Asiatic","الجمعية",1,7,"Arabic",0.000783085356303837,4,5
"221","Afro-Asiatic","تنادي",1,5,"Arabic",0.000783085356303837,3,5
"222","Afro-Asiatic","العالمي",1,7,"Arabic",0.000783085356303837,7,5
"223","Afro-Asiatic","لحقوق",1,5,"Arabic",0.000783085356303837,7,5
"224","Afro-Asiatic","المستوى",1,7,"Arabic",0.000783085356303837,5,5
"225","Afro-Asiatic","المشترك",1,7,"Arabic",0.000783085356303837,6,5
"226","Afro-Asiatic","ينبغي",1,5,"Arabic",0.000783085356303837,4,5
"227","Afro-Asiatic","تستهدفه",1,7,"Arabic",0.000783085356303837,5,5
"228","Afro-Asiatic","كافة",1,4,"Arabic",0.000783085356303837,4,5
"229","Afro-Asiatic","والأمم",1,6,"Arabic",0.000783085356303837,3,5
"230","Afro-Asiatic","حتى",1,3,"Arabic",0.000783085356303837,7,5
"231","Afro-Asiatic","يسعى",1,4,"Arabic",0.000783085356303837,7,5
"232","Afro-Asiatic","وهيئة",1,5,"Arabic",0.000783085356303837,5,5
"233","Afro-Asiatic","واضعين",1,6,"Arabic",0.000783085356303837,4,5
"234","Afro-Asiatic","الدوام",1,6,"Arabic",0.000783085356303837,5,5
"235","Afro-Asiatic","نصب",1,3,"Arabic",0.000783085356303837,4,5
"236","Afro-Asiatic","أعينهم",1,6,"Arabic",0.000783085356303837,4,5
