"","family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","Indo-European","i",37,1,"Catalan",0.0526315789473684,12,1
"2","Indo-European","de",34,2,"Catalan",0.0483641536273115,7,1
"3","Indo-European","la",27,2,"Catalan",0.0384068278805121,9,1
"4","Indo-European","a",24,1,"Catalan",0.0341394025604552,4,1
"5","Indo-European","els",22,3,"Catalan",0.0312944523470839,9,1
"6","Indo-European","el",19,2,"Catalan",0.027027027027027,11,2
"7","Indo-European","que",18,3,"Catalan",0.0256045519203414,2,2
"8","Indo-European","en",16,2,"Catalan",0.0227596017069701,4,2
"9","Indo-European","o",12,1,"Catalan",0.0170697012802276,9,2
"10","Indo-European","per",11,3,"Catalan",0.015647226173542,8,2
"11","Indo-European","drets",11,5,"Catalan",0.015647226173542,9,2
"12","Indo-European","Article",11,7,"Catalan",0.015647226173542,9,2
"13","Indo-European","d",10,1,"Catalan",0.0142247510668563,4,2
"14","Indo-European","dret",9,4,"Catalan",0.0128022759601707,3,2
"15","Indo-European","tots",7,4,"Catalan",0.00995732574679943,8,2
"16","Indo-European","no",7,2,"Catalan",0.00995732574679943,8,2
"17","Indo-European","persona",7,7,"Catalan",0.00995732574679943,9,2
"18","Indo-European","les",6,3,"Catalan",0.0085348506401138,8,2
"19","Indo-European","és",6,2,"Catalan",0.0085348506401138,8,2
"20","Indo-European","Considerant",6,11,"Catalan",0.0085348506401138,11,2
"21","Indo-European","humans",6,6,"Catalan",0.0085348506401138,4,2
"22","Indo-European","han",6,3,"Catalan",0.0085348506401138,1,3
"23","Indo-European","un",6,2,"Catalan",0.0085348506401138,6,3
"24","Indo-European","Declaració",5,10,"Catalan",0.00711237553342817,8,3
"25","Indo-European","com",5,3,"Catalan",0.00711237553342817,7,3
"26","Indo-European","contra",5,6,"Catalan",0.00711237553342817,9,3
"27","Indo-European","amb",5,3,"Catalan",0.00711237553342817,3,3
"28","Indo-European","té",5,2,"Catalan",0.00711237553342817,9,3
"29","Indo-European","qualsevol",5,9,"Catalan",0.00711237553342817,9,3
"30","Indo-European","llibertat",4,9,"Catalan",0.00568990042674253,3,3
"31","Indo-European","més",4,3,"Catalan",0.00568990042674253,7,3
"32","Indo-European","una",4,3,"Catalan",0.00568990042674253,9,3
"33","Indo-European","llibertats",4,10,"Catalan",0.00568990042674253,7,3
"34","Indo-European","aquesta",4,7,"Catalan",0.00568990042674253,8,3
"35","Indo-European","Tota",4,4,"Catalan",0.00568990042674253,6,3
"36","Indo-European","seva",4,4,"Catalan",0.00568990042674253,4,3
"37","Indo-European","llei",4,4,"Catalan",0.00568990042674253,4,3
"38","Indo-European","Nacions",3,7,"Catalan",0.0042674253200569,10,3
"39","Indo-European","Unides",3,6,"Catalan",0.0042674253200569,4,3
"40","Indo-European","reconeixement",3,13,"Catalan",0.0042674253200569,3,3
"41","Indo-European","dignitat",3,8,"Catalan",0.0042674253200569,5,3
"42","Indo-European","iguals",3,6,"Catalan",0.0042674253200569,10,3
"43","Indo-European","membres",3,7,"Catalan",0.0042674253200569,4,3
"44","Indo-European","es",3,2,"Catalan",0.0042674253200569,11,4
"45","Indo-European","entre",3,5,"Catalan",0.0042674253200569,5,4
"46","Indo-European","pobles",3,6,"Catalan",0.0042674253200569,15,4
"47","Indo-European","fonamentals",3,11,"Catalan",0.0042674253200569,4,4
"48","Indo-European","l",3,1,"Catalan",0.0042674253200569,3,4
"49","Indo-European","sota",3,4,"Catalan",0.0042674253200569,6,4
"50","Indo-European","són",3,3,"Catalan",0.0042674253200569,6,4
"51","Indo-European","cap",3,3,"Catalan",0.0042674253200569,2,4
"52","Indo-European","distinció",3,9,"Catalan",0.0042674253200569,7,4
"53","Indo-European","altra",3,5,"Catalan",0.0042674253200569,7,4
"54","Indo-European","si",3,2,"Catalan",0.0042674253200569,8,4
"55","Indo-European","ningú",3,5,"Catalan",0.0042674253200569,9,4
"56","Indo-European","serà",3,4,"Catalan",0.0042674253200569,9,4
"57","Indo-European","tenen",3,5,"Catalan",0.0042674253200569,7,4
"58","Indo-European","Assemblea",2,9,"Catalan",0.00284495021337127,14,4
"59","Indo-European","General",2,7,"Catalan",0.00284495021337127,9,4
"60","Indo-European","Universal",2,9,"Catalan",0.00284495021337127,11,4
"61","Indo-European","Drets",2,5,"Catalan",0.00284495021337127,6,4
"62","Indo-European","Humans",2,6,"Catalan",0.00284495021337127,5,4
"63","Indo-European","humana",2,6,"Catalan",0.00284495021337127,6,4
"64","Indo-European","justícia",2,8,"Catalan",0.00284495021337127,4,4
"65","Indo-European","món",2,3,"Catalan",0.00284495021337127,8,4
"66","Indo-European","actes",2,5,"Catalan",0.00284495021337127,6,4
"67","Indo-European","consciència",2,11,"Catalan",0.00284495021337127,7,4
"68","Indo-European","tothom",2,6,"Catalan",0.00284495021337127,4,4
"69","Indo-European","éssers",2,6,"Catalan",0.00284495021337127,4,4
"70","Indo-European","essencial",2,9,"Catalan",0.00284495021337127,12,4
"71","Indo-European","tal",2,3,"Catalan",0.00284495021337127,5,5
"72","Indo-European","recurs",2,6,"Catalan",0.00284495021337127,9,5
"73","Indo-European","promoure",2,8,"Catalan",0.00284495021337127,5,5
"74","Indo-European","nacions",2,7,"Catalan",0.00284495021337127,3,5
"75","Indo-European","llur",2,4,"Catalan",0.00284495021337127,10,5
"76","Indo-European","igualtat",2,8,"Catalan",0.00284495021337127,9,5
"77","Indo-European","social",2,6,"Catalan",0.00284495021337127,2,5
"78","Indo-European","vida",2,4,"Catalan",0.00284495021337127,5,5
"79","Indo-European","Estats",2,6,"Catalan",0.00284495021337127,2,5
"80","Indo-European","respecte",2,8,"Catalan",0.00284495021337127,9,5
"81","Indo-European","efectiu",2,7,"Catalan",0.00284495021337127,6,5
"82","Indo-European","aquests",2,7,"Catalan",0.00284495021337127,7,5
"83","Indo-European","cada",2,4,"Catalan",0.00284495021337127,11,5
"84","Indo-European","nacionals",2,9,"Catalan",0.00284495021337127,9,5
"85","Indo-European","tant",2,4,"Catalan",0.00284495021337127,9,5
"86","Indo-European","sense",2,5,"Catalan",0.00284495021337127,5,5
"87","Indo-European","independent",2,11,"Catalan",0.00284495021337127,4,5
"88","Indo-European","està",2,4,"Catalan",0.00284495021337127,9,5
"89","Indo-European","sotmès",2,6,"Catalan",0.00284495021337127,10,5
"90","Indo-European","esclavitud",2,10,"Catalan",0.00284495021337127,8,5
"91","Indo-European","igual",2,5,"Catalan",0.00284495021337127,6,5
"92","Indo-European","protecció",2,9,"Catalan",0.00284495021337127,8,5
"93","Indo-European","discriminació",2,13,"Catalan",0.00284495021337127,8,5
"94","Indo-European","seus",2,4,"Catalan",0.00284495021337127,5,5
"95","Indo-European","hom",2,3,"Catalan",0.00284495021337127,11,5
"96","Indo-European","Adoptada",1,8,"Catalan",0.00142247510668563,14,5
"97","Indo-European","proclamada",1,10,"Catalan",0.00142247510668563,8,5
"98","Indo-European","resolució",1,9,"Catalan",0.00142247510668563,3,5
"99","Indo-European","III",1,3,"Catalan",0.00142247510668563,6,6
"100","Indo-European","desembre",1,8,"Catalan",0.00142247510668563,2,6
"101","Indo-European","PREÀMBUL",1,8,"Catalan",0.00142247510668563,4,6
"102","Indo-European","considerant",1,11,"Catalan",0.00142247510668563,1,6
"103","Indo-European","inherent",1,8,"Catalan",0.00142247510668563,5,6
"104","Indo-European","inalienables",1,12,"Catalan",0.00142247510668563,9,6
