"","family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","Sino-Tibetan","的",147,1,"Chinese",0.0967105263157895,2,1
"2","Sino-Tibetan","和",77,1,"Chinese",0.0506578947368421,2,1
"3","Sino-Tibetan","人人",28,2,"Chinese",0.0184210526315789,2,1
"4","Sino-Tibetan","或",27,1,"Chinese",0.0177631578947368,4,1
"5","Sino-Tibetan","权利",27,2,"Chinese",0.0177631578947368,1,1
"6","Sino-Tibetan","有权",26,2,"Chinese",0.0171052631578947,1,1
"7","Sino-Tibetan","自由",24,2,"Chinese",0.0157894736842105,2,1
"8","Sino-Tibetan","在",23,1,"Chinese",0.0151315789473684,2,1
"9","Sino-Tibetan","并",19,1,"Chinese",0.0125,2,1
"10","Sino-Tibetan","任何",18,2,"Chinese",0.0118421052631579,1,1
"11","Sino-Tibetan","对",15,1,"Chinese",0.00986842105263158,2,1
"12","Sino-Tibetan","有",15,1,"Chinese",0.00986842105263158,5,1
"13","Sino-Tibetan","享受",15,2,"Chinese",0.00986842105263158,2,1
"14","Sino-Tibetan","社会",14,2,"Chinese",0.00921052631578947,2,1
"15","Sino-Tibetan","不得",14,2,"Chinese",0.00921052631578947,2,1
"16","Sino-Tibetan","国家",13,2,"Chinese",0.00855263157894737,2,1
"17","Sino-Tibetan","他",13,1,"Chinese",0.00855263157894737,2,1
"18","Sino-Tibetan","而",10,1,"Chinese",0.00657894736842105,2,1
"19","Sino-Tibetan","人",10,1,"Chinese",0.00657894736842105,5,1
"20","Sino-Tibetan","应",10,1,"Chinese",0.00657894736842105,2,1
"21","Sino-Tibetan","不",9,1,"Chinese",0.00592105263157895,2,1
"22","Sino-Tibetan","教育",9,2,"Chinese",0.00592105263157895,2,1
"23","Sino-Tibetan","受",9,1,"Chinese",0.00592105263157895,2,1
"24","Sino-Tibetan","任何人",9,3,"Chinese",0.00592105263157895,2,1
"25","Sino-Tibetan","宣言",8,2,"Chinese",0.00526315789473684,2,1
"26","Sino-Tibetan","平等",8,2,"Chinese",0.00526315789473684,2,1
"27","Sino-Tibetan","通过",7,2,"Chinese",0.00460526315789474,2,1
"28","Sino-Tibetan","领土",7,2,"Chinese",0.00460526315789474,2,1
"29","Sino-Tibetan","其他",7,2,"Chinese",0.00460526315789474,2,1
"30","Sino-Tibetan","鉴于",7,2,"Chinese",0.00460526315789474,2,1
"31","Sino-Tibetan","为",7,1,"Chinese",0.00460526315789474,2,1
"32","Sino-Tibetan","享有",7,2,"Chinese",0.00460526315789474,2,1
"33","Sino-Tibetan","法律",7,2,"Chinese",0.00460526315789474,2,1
"34","Sino-Tibetan","行为",7,2,"Chinese",0.00460526315789474,2,1
"35","Sino-Tibetan","所",7,1,"Chinese",0.00460526315789474,2,1
"36","Sino-Tibetan","一个",6,2,"Chinese",0.00394736842105263,2,1
"37","Sino-Tibetan","人民",6,2,"Chinese",0.00394736842105263,3,1
"38","Sino-Tibetan","保护",6,2,"Chinese",0.00394736842105263,2,1
"39","Sino-Tibetan","中",6,1,"Chinese",0.00394736842105263,3,1
"40","Sino-Tibetan","以",6,1,"Chinese",0.00394736842105263,2,1
"41","Sino-Tibetan","本",6,1,"Chinese",0.00394736842105263,2,1
"42","Sino-Tibetan","时",6,1,"Chinese",0.00394736842105263,2,1
"43","Sino-Tibetan","发展",5,2,"Chinese",0.00328947368421053,5,1
"44","Sino-Tibetan","促进",5,2,"Chinese",0.00328947368421053,2,1
"45","Sino-Tibetan","联合国",5,3,"Chinese",0.00328947368421053,2,1
"46","Sino-Tibetan","基本",5,2,"Chinese",0.00328947368421053,2,1
"47","Sino-Tibetan","普遍",5,2,"Chinese",0.00328947368421053,2,1
"48","Sino-Tibetan","宗教",5,2,"Chinese",0.00328947368421053,2,1
"49","Sino-Tibetan","国籍",5,2,"Chinese",0.00328947368421053,2,1
"50","Sino-Tibetan","这种",5,2,"Chinese",0.00328947368421053,1,1
"51","Sino-Tibetan","其",5,1,"Chinese",0.00328947368421053,2,1
"52","Sino-Tibetan","包括",5,2,"Chinese",0.00328947368421053,2,1
"53","Sino-Tibetan","所有",4,2,"Chinese",0.00263157894736842,5,1
"54","Sino-Tibetan","加以",4,2,"Chinese",0.00263157894736842,2,1
"55","Sino-Tibetan","家庭",4,2,"Chinese",0.00263157894736842,1,1
"56","Sino-Tibetan","承认",4,2,"Chinese",0.00263157894736842,2,1
"57","Sino-Tibetan","人权",4,2,"Chinese",0.00263157894736842,1,1
"58","Sino-Tibetan","这些",4,2,"Chinese",0.00263157894736842,4,1
"59","Sino-Tibetan","被",4,1,"Chinese",0.00263157894736842,2,1
"60","Sino-Tibetan","使",4,1,"Chinese",0.00263157894736842,2,1
"61","Sino-Tibetan","各国",4,2,"Chinese",0.00263157894736842,2,1
"62","Sino-Tibetan","各",4,1,"Chinese",0.00263157894736842,2,1
"63","Sino-Tibetan","以及",4,2,"Chinese",0.00263157894736842,2,1
"64","Sino-Tibetan","由",4,1,"Chinese",0.00263157894736842,2,1
"65","Sino-Tibetan","尊重",4,2,"Chinese",0.00263157894736842,3,1
"66","Sino-Tibetan","充分",4,2,"Chinese",0.00263157894736842,4,1
"67","Sino-Tibetan","实现",4,2,"Chinese",0.00263157894736842,2,1
"68","Sino-Tibetan","国际",4,2,"Chinese",0.00263157894736842,2,1
"69","Sino-Tibetan","是",4,1,"Chinese",0.00263157894736842,2,1
"70","Sino-Tibetan","情况",4,2,"Chinese",0.00263157894736842,2,1
"71","Sino-Tibetan","一切",4,2,"Chinese",0.00263157894736842,4,1
"72","Sino-Tibetan","歧视",4,2,"Chinese",0.00263157894736842,2,1
"73","Sino-Tibetan","任意",4,2,"Chinese",0.00263157894736842,1,1
"74","Sino-Tibetan","刑事",4,2,"Chinese",0.00263157894736842,2,1
"75","Sino-Tibetan","限制",4,2,"Chinese",0.00263157894736842,1,1
"76","Sino-Tibetan","工作",4,2,"Chinese",0.00263157894736842,2,1
"77","Sino-Tibetan","世界人权宣言",3,6,"Chinese",0.00197368421052632,2,1
"78","Sino-Tibetan","颁布",3,2,"Chinese",0.00197368421052632,1,1
"79","Sino-Tibetan","这一",3,2,"Chinese",0.00197368421052632,2,1
"80","Sino-Tibetan","会员国",3,3,"Chinese",0.00197368421052632,2,1
"81","Sino-Tibetan","政治",3,2,"Chinese",0.00197368421052632,2,1
"82","Sino-Tibetan","人类",3,2,"Chinese",0.00197368421052632,3,1
"83","Sino-Tibetan","尊严",3,2,"Chinese",0.00197368421052632,2,1
"84","Sino-Tibetan","已",3,1,"Chinese",0.00197368421052632,2,1
"85","Sino-Tibetan","良心",3,2,"Chinese",0.00197368421052632,2,1
"86","Sino-Tibetan","进行",3,2,"Chinese",0.00197368421052632,1,1
"87","Sino-Tibetan","必要",3,2,"Chinese",0.00197368421052632,2,1
"88","Sino-Tibetan","他们",3,2,"Chinese",0.00197368421052632,2,1
"89","Sino-Tibetan","生活",3,2,"Chinese",0.00197368421052632,2,1
"90","Sino-Tibetan","下",3,1,"Chinese",0.00197368421052632,2,1
"91","Sino-Tibetan","财产",3,2,"Chinese",0.00197368421052632,2,1
"92","Sino-Tibetan","无论",3,2,"Chinese",0.00197368421052632,4,1
"93","Sino-Tibetan","公正",3,2,"Chinese",0.00197368421052632,1,1
"94","Sino-Tibetan","义务",3,2,"Chinese",0.00197368421052632,2,1
"95","Sino-Tibetan","保证",3,2,"Chinese",0.00197368421052632,2,1
"96","Sino-Tibetan","干涉",3,2,"Chinese",0.00197368421052632,4,1
"97","Sino-Tibetan","本国",3,2,"Chinese",0.00197368421052632,2,1
"98","Sino-Tibetan","参加",3,2,"Chinese",0.00197368421052632,2,1
"99","Sino-Tibetan","福利",3,2,"Chinese",0.00197368421052632,2,1
"100","Sino-Tibetan","联合国大会",2,5,"Chinese",0.00131578947368421,2,1
"101","Sino-Tibetan","具有",2,2,"Chinese",0.00131578947368421,1,1
"102","Sino-Tibetan","大会",2,2,"Chinese",0.00131578947368421,3,1
"103","Sino-Tibetan","要求",2,2,"Chinese",0.00131578947368421,2,1
"104","Sino-Tibetan","并且",2,2,"Chinese",0.00131578947368421,1,2
"105","Sino-Tibetan","分",2,1,"Chinese",0.00131578947368421,1,2
"106","Sino-Tibetan","地位",2,2,"Chinese",0.00131578947368421,1,2
"107","Sino-Tibetan","及其",2,2,"Chinese",0.00131578947368421,2,2
"108","Sino-Tibetan","世界",2,2,"Chinese",0.00131578947368421,2,2
"109","Sino-Tibetan","和平",2,2,"Chinese",0.00131578947368421,2,2
"110","Sino-Tibetan","基础",2,2,"Chinese",0.00131578947368421,1,2
"111","Sino-Tibetan","了",2,1,"Chinese",0.00131578947368421,2,2
"112","Sino-Tibetan","间",2,1,"Chinese",0.00131578947368421,2,2
"113","Sino-Tibetan","权",2,1,"Chinese",0.00131578947368421,2,2
"114","Sino-Tibetan","自",2,1,"Chinese",0.00131578947368421,2,2
"115","Sino-Tibetan","进步",2,2,"Chinese",0.00131578947368421,1,2
"116","Sino-Tibetan","誓愿",2,2,"Chinese",0.00131578947368421,2,2
"117","Sino-Tibetan","同",2,1,"Chinese",0.00131578947368421,2,2
"118","Sino-Tibetan","合作",2,2,"Chinese",0.00131578947368421,4,2
"119","Sino-Tibetan","遵行",2,2,"Chinese",0.00131578947368421,5,2
"120","Sino-Tibetan","作为",2,2,"Chinese",0.00131578947368421,4,2
"121","Sino-Tibetan","每",2,1,"Chinese",0.00131578947368421,4,2
"122","Sino-Tibetan","努力",2,2,"Chinese",0.00131578947368421,2,2
"123","Sino-Tibetan","得到",2,2,"Chinese",0.00131578947368421,4,2
"124","Sino-Tibetan","有效",2,2,"Chinese",0.00131578947368421,2,2
"125","Sino-Tibetan","上",2,1,"Chinese",0.00131578947368421,4,2
"126","Sino-Tibetan","精神",2,2,"Chinese",0.00131578947368421,2,2
"127","Sino-Tibetan","所载",2,2,"Chinese",0.00131578947368421,2,2
"128","Sino-Tibetan","种族",2,2,"Chinese",0.00131578947368421,2,2
"129","Sino-Tibetan","生",2,1,"Chinese",0.00131578947368421,2,2
"130","Sino-Tibetan","或者",2,2,"Chinese",0.00131578947368421,2,2
"131","Sino-Tibetan","独立",2,2,"Chinese",0.00131578947368421,2,2
"132","Sino-Tibetan","奴隶",2,2,"Chinese",0.00131578947368421,1,2
"133","Sino-Tibetan","刑罚",2,2,"Chinese",0.00131578947368421,2,2
"134","Sino-Tibetan","人格",2,2,"Chinese",0.00131578947368421,1,2
"135","Sino-Tibetan","以免",2,2,"Chinese",0.00131578947368421,5,2
"136","Sino-Tibetan","侵害",2,2,"Chinese",0.00131578947368421,1,2
"137","Sino-Tibetan","法庭",2,2,"Chinese",0.00131578947368421,3,2
"138","Sino-Tibetan","完全",2,2,"Chinese",0.00131578947368421,2,2
"139","Sino-Tibetan","公",2,1,"Chinese",0.00131578947368421,4,2
"140","Sino-Tibetan","开",2,1,"Chinese",0.00131578947368421,2,2
"141","Sino-Tibetan","确定",2,2,"Chinese",0.00131578947368421,2,2
"142","Sino-Tibetan","获得",2,2,"Chinese",0.00131578947368421,2,2
"143","Sino-Tibetan","需",2,1,"Chinese",0.00131578947368421,2,2
"144","Sino-Tibetan","寻求",2,2,"Chinese",0.00131578947368421,4,2
"145","Sino-Tibetan","由于",2,2,"Chinese",0.00131578947368421,2,2
"146","Sino-Tibetan","违背",2,2,"Chinese",0.00131578947368421,1,2
"147","Sino-Tibetan","宗旨",2,2,"Chinese",0.00131578947368421,2,2
"148","Sino-Tibetan","原则",2,2,"Chinese",0.00131578947368421,2,2
"149","Sino-Tibetan","此种",2,2,"Chinese",0.00131578947368421,2,2
