"","family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","Indo-European","the",121,3,"English",0.070267131242741,6,1
"2","Indo-European","and",106,3,"English",0.0615563298490128,4,1
"3","Indo-European","of",91,2,"English",0.0528455284552846,12,2
"4","Indo-European","to",83,2,"English",0.0481997677119628,3,2
"5","Indo-European","in",43,2,"English",0.0249709639953542,7,2
"6","Indo-European","right",33,5,"English",0.0191637630662021,2,2
"7","Indo-European","be",31,2,"English",0.0180023228803717,4,2
"8","Indo-European","article",30,7,"English",0.0174216027874564,9,2
"9","Indo-European","everyone",30,8,"English",0.0174216027874564,7,2
"10","Indo-European","or",30,2,"English",0.0174216027874564,9,2
"11","Indo-European","has",28,3,"English",0.016260162601626,8,2
"12","Indo-European","shall",27,5,"English",0.0156794425087108,10,2
"13","Indo-European","his",21,3,"English",0.0121951219512195,5,2
"14","Indo-European","rights",20,6,"English",0.0116144018583043,6,2
"15","Indo-European","a",19,1,"English",0.0110336817653891,5,2
"16","Indo-European","any",18,3,"English",0.0104529616724739,11,2
"17","Indo-European","for",17,3,"English",0.00987224157955865,7,2
"18","Indo-European","is",13,2,"English",0.00754936120789779,8,3
"19","Indo-European","by",13,2,"English",0.00754936120789779,7,3
"20","Indo-European","all",12,3,"English",0.00696864111498258,11,3
"21","Indo-European","equal",11,5,"English",0.00638792102206736,8,3
"22","Indo-European","human",11,5,"English",0.00638792102206736,7,3
"23","Indo-European","freedom",11,7,"English",0.00638792102206736,9,3
"24","Indo-European","as",11,2,"English",0.00638792102206736,9,3
"25","Indo-European","this",11,4,"English",0.00638792102206736,10,3
"26","Indo-European","freedoms",10,8,"English",0.00580720092915215,7,3
"27","Indo-European","one",10,3,"English",0.00580720092915215,7,3
"28","Indo-European","no",10,2,"English",0.00580720092915215,6,3
"29","Indo-European","which",9,5,"English",0.00522648083623693,7,3
"30","Indo-European","law",9,3,"English",0.00522648083623693,3,3
"31","Indo-European","with",9,4,"English",0.00522648083623693,3,3
"32","Indo-European","entitled",9,8,"English",0.00522648083623693,1,3
"33","Indo-European","protection",9,10,"English",0.00522648083623693,8,3
"34","Indo-European","have",8,4,"English",0.00464576074332172,10,3
"35","Indo-European","social",8,6,"English",0.00464576074332172,3,3
"36","Indo-European","education",8,9,"English",0.00464576074332172,8,3
"37","Indo-European","are",8,3,"English",0.00464576074332172,4,3
"38","Indo-European","Declaration",7,11,"English",0.0040650406504065,12,3
"39","Indo-European","whereas",7,7,"English",0.0040650406504065,4,3
"40","Indo-European","free",7,4,"English",0.0040650406504065,9,3
"41","Indo-European","family",6,6,"English",0.00348432055749129,8,3
"42","Indo-European","against",6,7,"English",0.00348432055749129,11,3
"43","Indo-European","fundamental",6,11,"English",0.00348432055749129,7,3
"44","Indo-European","full",6,4,"English",0.00348432055749129,7,3
"45","Indo-European","other",6,5,"English",0.00348432055749129,9,3
"46","Indo-European","at",6,2,"English",0.00348432055749129,9,3
"47","Indo-European","dignity",5,7,"English",0.00290360046457607,9,3
"48","Indo-European","from",5,4,"English",0.00290360046457607,9,3
"49","Indo-European","it",5,2,"English",0.00290360046457607,7,3
"50","Indo-European","United",5,6,"English",0.00290360046457607,5,3
"51","Indo-European","Nations",5,7,"English",0.00290360046457607,11,3
"52","Indo-European","their",5,5,"English",0.00290360046457607,6,4
"53","Indo-European","person",5,6,"English",0.00290360046457607,4,4
"54","Indo-European","society",5,7,"English",0.00290360046457607,8,4
"55","Indo-European","national",5,8,"English",0.00290360046457607,6,4
"56","Indo-European","international",5,13,"English",0.00290360046457607,7,4
"57","Indo-European","without",5,7,"English",0.00290360046457607,10,4
"58","Indo-European","religion",5,8,"English",0.00290360046457607,6,4
"59","Indo-European","country",5,7,"English",0.00290360046457607,3,4
"60","Indo-European","public",5,6,"English",0.00290360046457607,8,4
"61","Indo-European","recognition",4,11,"English",0.00232288037166086,5,4
"62","Indo-European","enjoy",4,5,"English",0.00232288037166086,7,4
"63","Indo-European","that",4,4,"English",0.00232288037166086,10,4
"64","Indo-European","promote",4,7,"English",0.00232288037166086,7,4
"65","Indo-European","development",4,11,"English",0.00232288037166086,6,4
"66","Indo-European","peoples",4,7,"English",0.00232288037166086,11,4
"67","Indo-European","respect",4,7,"English",0.00232288037166086,5,4
"68","Indo-European","such",4,4,"English",0.00232288037166086,3,4
"69","Indo-European","discrimination",4,14,"English",0.00232288037166086,13,4
"70","Indo-European","an",4,2,"English",0.00232288037166086,3,4
"71","Indo-European","penal",4,5,"English",0.00232288037166086,10,4
"72","Indo-European","offence",4,7,"English",0.00232288037166086,11,4
"73","Indo-European","State",4,5,"English",0.00232288037166086,4,4
"74","Indo-European","may",4,3,"English",0.00232288037166086,4,4
"75","Indo-European","nationality",4,11,"English",0.00232288037166086,5,4
"76","Indo-European","acts",3,4,"English",0.00174216027874564,6,4
"77","Indo-European","conscience",3,10,"English",0.00174216027874564,11,4
"78","Indo-European","belief",3,6,"English",0.00174216027874564,11,4
"79","Indo-European","common",3,6,"English",0.00174216027874564,7,4
"80","Indo-European","not",3,3,"English",0.00174216027874564,8,4
"81","Indo-European","nations",3,7,"English",0.00174216027874564,6,4
"82","Indo-European","life",3,4,"English",0.00174216027874564,4,4
"83","Indo-European","universal",3,9,"English",0.00174216027874564,7,4
"84","Indo-European","observance",3,10,"English",0.00174216027874564,3,4
"85","Indo-European","these",3,5,"English",0.00174216027874564,4,4
"86","Indo-European","among",3,5,"English",0.00174216027874564,5,4
"87","Indo-European","under",3,5,"English",0.00174216027874564,9,4
"88","Indo-European","act",3,3,"English",0.00174216027874564,10,4
"89","Indo-European","set",3,3,"English",0.00174216027874564,11,4
"90","Indo-European","forth",3,5,"English",0.00174216027874564,2,4
"91","Indo-European","political",3,9,"English",0.00174216027874564,4,4
"92","Indo-European","property",3,8,"English",0.00174216027874564,7,4
"93","Indo-European","on",3,2,"English",0.00174216027874564,4,4
"94","Indo-European","basis",3,5,"English",0.00174216027874564,7,4
"95","Indo-European","limitation",3,10,"English",0.00174216027874564,9,4
"96","Indo-European","security",3,8,"English",0.00174216027874564,7,4
"97","Indo-European","held",3,4,"English",0.00174216027874564,10,4
"98","Indo-European","subjected",3,9,"English",0.00174216027874564,5,4
"99","Indo-European","necessary",3,9,"English",0.00174216027874564,6,4
"100","Indo-European","was",3,3,"English",0.00174216027874564,8,4
"101","Indo-European","nor",3,3,"English",0.00174216027874564,7,4
"102","Indo-European","interference",3,12,"English",0.00174216027874564,5,4
"103","Indo-European","including",3,9,"English",0.00174216027874564,4,4
"104","Indo-European","marriage",3,8,"English",0.00174216027874564,9,5
"105","Indo-European","alone",3,5,"English",0.00174216027874564,8,5
"106","Indo-European","association",3,11,"English",0.00174216027874564,4,5
"107","Indo-European","others",3,6,"English",0.00174216027874564,9,5
"108","Indo-European","community",3,9,"English",0.00174216027874564,6,5
"109","Indo-European","through",3,7,"English",0.00174216027874564,6,5
"110","Indo-European","personality",3,11,"English",0.00174216027874564,12,5
"111","Indo-European","work",3,4,"English",0.00174216027874564,6,5
"112","Indo-European","just",3,4,"English",0.00174216027874564,4,5
"113","Indo-European","Universal",2,9,"English",0.00116144018583043,8,5
"114","Indo-European","Human",2,5,"English",0.00116144018583043,9,5
"115","Indo-European","Rights",2,6,"English",0.00116144018583043,6,5
"116","Indo-European","peace",2,5,"English",0.00116144018583043,10,5
"117","Indo-European","world",2,5,"English",0.00116144018583043,10,5
"118","Indo-European","beings",2,6,"English",0.00116144018583043,8,5
"119","Indo-European","people",2,6,"English",0.00116144018583043,4,5
"120","Indo-European","essential",2,9,"English",0.00116144018583043,11,5
"121","Indo-European","if",2,2,"English",0.00116144018583043,10,5
"122","Indo-European","compelled",2,9,"English",0.00116144018583043,6,5
"123","Indo-European","should",2,6,"English",0.00116144018583043,13,5
"124","Indo-European","men",2,3,"English",0.00116144018583043,3,5
"125","Indo-European","women",2,5,"English",0.00116144018583043,9,5
"126","Indo-European","determined",2,10,"English",0.00116144018583043,4,5
"127","Indo-European","Member",2,6,"English",0.00116144018583043,9,5
"128","Indo-European","States",2,6,"English",0.00116144018583043,8,5
