"","family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","Indo-European","la",108,2,"Esperanto",0.0640569395017794,4,1
"2","Indo-European","kaj",105,3,"Esperanto",0.0622775800711744,4,1
"3","Indo-European","de",77,2,"Esperanto",0.0456702253855279,5,1
"4","Indo-European","ŭ",44,1,"Esperanto",0.0260972716488731,6,1
"5","Indo-European","en",31,2,"Esperanto",0.0183867141162515,10,1
"6","Indo-European","ĉiu",31,3,"Esperanto",0.0183867141162515,2,1
"7","Indo-European","a",31,1,"Esperanto",0.0183867141162515,7,1
"8","Indo-European","Artikolo",28,8,"Esperanto",0.0166073546856465,7,1
"9","Indo-European","je",20,2,"Esperanto",0.0118623962040332,11,1
"10","Indo-European","rajtas",20,6,"Esperanto",0.0118623962040332,7,1
"11","Indo-European","al",19,2,"Esperanto",0.0112692763938316,3,1
"12","Indo-European","rajtoj",18,6,"Esperanto",0.0106761565836299,8,1
"13","Indo-European","estu",18,4,"Esperanto",0.0106761565836299,6,2
"14","Indo-European","por",16,3,"Esperanto",0.00948991696322657,2,2
"15","Indo-European","ajn",16,3,"Esperanto",0.00948991696322657,3,2
"16","Indo-European","havas",15,5,"Esperanto",0.00889679715302491,6,2
"17","Indo-European","kiu",14,3,"Esperanto",0.00830367734282325,4,2
"18","Indo-European","rajton",14,6,"Esperanto",0.00830367734282325,4,2
"19","Indo-European","estas",13,5,"Esperanto",0.00771055753262159,13,2
"20","Indo-European","ke",12,2,"Esperanto",0.00711743772241993,3,2
"21","Indo-European","kontra",11,6,"Esperanto",0.00652431791221827,10,2
"22","Indo-European","ĉi",11,2,"Esperanto",0.00652431791221827,7,2
"23","Indo-European","liberecoj",9,9,"Esperanto",0.00533807829181495,5,2
"24","Indo-European","tio",8,3,"Esperanto",0.00474495848161329,10,2
"25","Indo-European","tiu",8,3,"Esperanto",0.00474495848161329,9,2
"26","Indo-European","per",8,3,"Esperanto",0.00474495848161329,3,2
