"","family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","Uralic","ja",94,2,"Finnish",0.06496199032481,12,1
"2","Uralic","on",64,2,"Finnish",0.0442294402211472,6,1
"3","Uralic","oikeus",34,6,"Finnish",0.0234968901174845,14,1
"4","Uralic","artikla",30,7,"Finnish",0.0207325501036628,7,1
"5","Uralic","tai",26,3,"Finnish",0.017968210089841,3,1
"6","Uralic","jokaisella",26,10,"Finnish",0.017968210089841,10,1
"7","Uralic","sekä",17,4,"Finnish",0.0117484450587422,10,1
"8","Uralic","ei",14,2,"Finnish",0.00967519004837595,11,1
"9","Uralic","n",13,1,"Finnish",0.00898410504492052,6,1
"10","Uralic","kun",10,3,"Finnish",0.00691085003455425,9,1
"11","Uralic","hänen",10,5,"Finnish",0.00691085003455425,8,1
"12","Uralic","vastaan",7,7,"Finnish",0.00483759502418798,4,1
"13","Uralic","ovat",7,4,"Finnish",0.00483759502418798,8,2
"14","Uralic","kaikkien",7,8,"Finnish",0.00483759502418798,16,2
"15","Uralic","sen",7,3,"Finnish",0.00483759502418798,6,2
"16","Uralic","saa",7,3,"Finnish",0.00483759502418798,8,2
"17","Uralic","kansakuntien",6,12,"Finnish",0.00414651002073255,4,2
"18","Uralic","julistuksen",6,11,"Finnish",0.00414651002073255,8,2
"19","Uralic","kansojen",5,8,"Finnish",0.00345542501727713,11,2
"20","Uralic","nauttia",5,7,"Finnish",0.00345542501727713,5,2
"21","Uralic","ketään",5,6,"Finnish",0.00345542501727713,6,2
"22","Uralic","suojaan",5,7,"Finnish",0.00345542501727713,9,2
"23","Uralic","ihmisoikeuksien",4,15,"Finnish",0.0027643400138217,5,2
"24","Uralic","tämän",4,5,"Finnish",0.0027643400138217,4,2
"25","Uralic","riippumatta",4,11,"Finnish",0.0027643400138217,9,2
"26","Uralic","jotka",4,5,"Finnish",0.0027643400138217,11,2
"27","Uralic","vapaasti",4,8,"Finnish",0.0027643400138217,7,2
"28","Uralic","kaikki",4,6,"Finnish",0.0027643400138217,4,2
"29","Uralic","tässä",4,5,"Finnish",0.0027643400138217,13,2
"30","Uralic","lain",4,4,"Finnish",0.0027643400138217,14,2
"31","Uralic","mielivaltaisesti",4,16,"Finnish",0.0027643400138217,5,2
"32","Uralic","yhteiskunnan",4,12,"Finnish",0.0027643400138217,12,2
"33","Uralic","opetuksen",4,9,"Finnish",0.0027643400138217,8,2
"34","Uralic","oltava",4,6,"Finnish",0.0027643400138217,6,3
"35","Uralic","yhdistyneiden",3,13,"Finnish",0.00207325501036628,12,3
"36","Uralic","yleiskokous",3,11,"Finnish",0.00207325501036628,8,3
"37","Uralic","myös",3,4,"Finnish",0.00207325501036628,12,3
"38","Uralic","kielillä",3,8,"Finnish",0.00207325501036628,11,3
"39","Uralic","heidän",3,6,"Finnish",0.00207325501036628,8,3
"40","Uralic","että",3,4,"Finnish",0.00207325501036628,14,3
"41","Uralic","edistää",3,7,"Finnish",0.00207325501036628,14,3
"42","Uralic","edistämään",3,10,"Finnish",0.00207325501036628,4,3
"43","Uralic","kanssa",3,6,"Finnish",0.00207325501036628,17,3
"44","Uralic","niiden",3,6,"Finnish",0.00207325501036628,5,3
"45","Uralic","julistuksessa",3,13,"Finnish",0.00207325501036628,6,3
"46","Uralic","ilman",3,5,"Finnish",0.00207325501036628,11,3
"47","Uralic","pidä",3,4,"Finnish",0.00207325501036628,5,3
"48","Uralic","kansainvälisen",3,14,"Finnish",0.00207325501036628,10,3
"49","Uralic","tämä",3,4,"Finnish",0.00207325501036628,7,3
"50","Uralic","ihmisellä",3,9,"Finnish",0.00207325501036628,10,3
"51","Uralic","siihen",3,6,"Finnish",0.00207325501036628,6,3
"52","Uralic","teoista",3,7,"Finnish",0.00207325501036628,14,3
"53","Uralic","toisten",3,7,"Finnish",0.00207325501036628,7,3
"54","Uralic","oikeuksia",3,9,"Finnish",0.00207325501036628,13,3
"55","Uralic","yleismaailmallisen",2,18,"Finnish",0.00138217000691085,3,3
"56","Uralic","maata",2,5,"Finnish",0.00138217000691085,3,3
"57","Uralic","välittömästi",2,12,"Finnish",0.00138217000691085,3,3
"58","Uralic","kaikkea",2,7,"Finnish",0.00138217000691085,14,3
"59","Uralic","muissa",2,6,"Finnish",0.00138217000691085,14,3
"60","Uralic","alueiden",2,8,"Finnish",0.00138217000691085,4,3
"61","Uralic","tunnustaminen",2,13,"Finnish",0.00138217000691085,5,3
"62","Uralic","rauhan",2,6,"Finnish",0.00138217000691085,6,3
"63","Uralic","ne",2,2,"Finnish",0.00138217000691085,12,3
"64","Uralic","ihmiset",2,7,"Finnish",0.00138217000691085,2,3
"65","Uralic","voivat",2,6,"Finnish",0.00138217000691085,5,3
"66","Uralic","utta",2,4,"Finnish",0.00138217000691085,9,3
"67","Uralic","vapaina",2,7,"Finnish",0.00138217000691085,4,3
"68","Uralic","turvataan",2,9,"Finnish",0.00138217000691085,11,4
"69","Uralic","jotta",2,5,"Finnish",0.00138217000691085,12,4
"70","Uralic","ihmisten",2,8,"Finnish",0.00138217000691085,15,4
"71","Uralic","k",2,1,"Finnish",0.00138217000691085,9,4
"72","Uralic","oikeuksiin",2,10,"Finnish",0.00138217000691085,8,4
"73","Uralic","yhtei",2,5,"Finnish",0.00138217000691085,5,4
