"","family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","Indo-European","i",88,1,"Polish",0.0580092287409361,6,1
"2","Indo-European","do",50,2,"Polish",0.03295978905735,10,1
"3","Indo-European","w",43,1,"Polish",0.028345418589321,5,1
"4","Indo-European","prawo",38,5,"Polish",0.025049439683586,10,1
"5","Indo-European","ma",32,2,"Polish",0.021094264996704,10,1
"6","Indo-European","artykuł",30,7,"Polish",0.01977587343441,5,1
"7","Indo-European","każdy",30,5,"Polish",0.01977587343441,11,1
"8","Indo-European","człowiek",29,8,"Polish",0.019116677653263,5,1
"9","Indo-European","lub",25,3,"Polish",0.016479894528675,7,1
"10","Indo-European","z",19,1,"Polish",0.012524719841793,10,1
"11","Indo-European","praw",17,4,"Polish",0.011206328279499,13,1
"12","Indo-European","wolności",17,8,"Polish",0.011206328279499,9,1
"13","Indo-European","nie",17,3,"Polish",0.011206328279499,6,1
"14","Indo-European","jego",15,4,"Polish",0.00988793671720501,9,2
"15","Indo-European","na",14,2,"Polish",0.00922874093605801,9,2
"16","Indo-European","jest",12,4,"Polish",0.00791034937376401,12,2
"17","Indo-European","się",11,3,"Polish",0.00725115359261701,8,2
"18","Indo-European","prawa",9,5,"Polish",0.00593276203032301,5,2
"19","Indo-European","wolno",9,5,"Polish",0.00593276203032301,7,2
"20","Indo-European","że",8,2,"Polish",0.005273566249176,5,2
"21","Indo-European","oraz",8,4,"Polish",0.005273566249176,2,2
"22","Indo-European","ochrony",8,7,"Polish",0.005273566249176,8,2
"23","Indo-European","człowieka",7,9,"Polish",0.004614370468029,14,2
"24","Indo-European","ZWAŻYWSZY",7,9,"Polish",0.004614370468029,6,2
"25","Indo-European","o",7,1,"Polish",0.004614370468029,11,2
"26","Indo-European","bez",7,3,"Polish",0.004614370468029,10,2
"27","Indo-European","to",7,2,"Polish",0.004614370468029,5,2
"28","Indo-European","nikogo",7,6,"Polish",0.004614370468029,8,2
"29","Indo-European","narodów",6,7,"Polish",0.003955174686882,8,2
"30","Indo-European","deklaracji",6,10,"Polish",0.003955174686882,8,2
"31","Indo-European","mają",6,4,"Polish",0.003955174686882,5,2
"32","Indo-European","wszystkich",5,10,"Polish",0.003295978905735,11,2
"33","Indo-European","aby",5,3,"Polish",0.003295978905735,8,2
"34","Indo-European","społeczeństwa",5,13,"Polish",0.003295978905735,10,3
"35","Indo-European","za",5,2,"Polish",0.003295978905735,5,3
"36","Indo-European","swych",5,5,"Polish",0.003295978905735,7,3
"37","Indo-European","są",5,2,"Polish",0.003295978905735,8,3
"38","Indo-European","niniejszej",5,10,"Polish",0.003295978905735,13,3
"39","Indo-European","względu",5,7,"Polish",0.003295978905735,5,3
"40","Indo-European","wyznania",5,8,"Polish",0.003295978905735,8,3
"41","Indo-European","kraju",5,5,"Polish",0.003295978905735,5,3
"42","Indo-European","ani",5,3,"Polish",0.003295978905735,12,3
"43","Indo-European","godności",4,8,"Polish",0.002636783124588,9,3
"44","Indo-European","jako",4,4,"Polish",0.002636783124588,13,3
"45","Indo-European","od",4,2,"Polish",0.002636783124588,12,3
"46","Indo-European","konieczne",4,9,"Polish",0.002636783124588,2,3
"47","Indo-European","państwa",4,7,"Polish",0.002636783124588,3,3
"48","Indo-European","zjednoczonych",4,13,"Polish",0.002636783124588,6,3
"49","Indo-European","dla",4,3,"Polish",0.002636783124588,5,3
"50","Indo-European","wszyscy",4,7,"Polish",0.002636783124588,6,3
"51","Indo-European","wszystkie",4,9,"Polish",0.002636783124588,12,3
"52","Indo-European","prawnej",4,7,"Polish",0.002636783124588,13,3
"53","Indo-European","sposób",4,6,"Polish",0.002636783124588,10,3
"54","Indo-European","osobowości",4,10,"Polish",0.002636783124588,4,3
"55","Indo-European","przez",4,5,"Polish",0.002636783124588,10,3
"56","Indo-European","samowolnie",4,10,"Polish",0.002636783124588,10,3
"57","Indo-European","przestępstwa",4,12,"Polish",0.002636783124588,16,3
"58","Indo-European","być",4,3,"Polish",0.002636783124588,12,3
"59","Indo-European","swobodnego",4,10,"Polish",0.002636783124588,9,3
"60","Indo-European","pracy",4,5,"Polish",0.002636783124588,8,3
"61","Indo-European","ludzkiej",3,8,"Polish",0.001977587343441,9,4
"62","Indo-European","które",3,5,"Polish",0.001977587343441,3,4
"63","Indo-European","którym",3,6,"Polish",0.001977587343441,2,4
"64","Indo-European","ludzie",3,6,"Polish",0.001977587343441,8,4
"65","Indo-European","korzystać",3,9,"Polish",0.001977587343441,9,4
"66","Indo-European","przeciw",3,7,"Polish",0.001977587343441,8,4
"67","Indo-European","społecznego",3,11,"Polish",0.001977587343441,4,4
"68","Indo-European","życia",3,5,"Polish",0.001977587343441,10,4
"69","Indo-European","ich",3,3,"Polish",0.001977587343441,7,4
"70","Indo-European","nauczania",3,9,"Polish",0.001977587343441,9,4
"71","Indo-European","poszanowania",3,12,"Polish",0.001977587343441,2,4
"72","Indo-European","zarówno",3,7,"Polish",0.001977587343441,11,4
"73","Indo-European","jak",3,3,"Polish",0.001977587343441,6,4
"74","Indo-European","po",3,2,"Polish",0.001977587343441,9,4
"75","Indo-European","swej",3,4,"Polish",0.001977587343441,4,4
"76","Indo-European","wobec",3,5,"Polish",0.001977587343441,5,4
"77","Indo-European","innych",3,6,"Polish",0.001977587343441,11,4
"78","Indo-European","zawarte",3,7,"Polish",0.001977587343441,8,4
"79","Indo-European","jakiekolwiek",3,12,"Polish",0.001977587343441,7,4
"80","Indo-European","różnice",3,7,"Polish",0.001977587343441,8,4
"81","Indo-European","jednakowej",3,10,"Polish",0.001977587343441,9,4
"82","Indo-European","przed",3,5,"Polish",0.001977587343441,4,4
"83","Indo-European","mu",3,2,"Polish",0.001977587343441,6,4
"84","Indo-European","włączając",3,9,"Polish",0.001977587343441,10,4
"85","Indo-European","można",3,5,"Polish",0.001977587343441,11,4
"86","Indo-European","organizacji",3,11,"Polish",0.001977587343441,5,4
"87","Indo-European","posiadania",3,10,"Polish",0.001977587343441,5,4
"88","Indo-European","obywatelstwa",3,12,"Polish",0.001977587343441,8,4
"89","Indo-European","ze",3,2,"Polish",0.001977587343441,11,4
"90","Indo-European","innymi",3,6,"Polish",0.001977587343441,9,4
"91","Indo-European","swobodę",3,7,"Polish",0.001977587343441,13,4
"92","Indo-European","poprzez",3,7,"Polish",0.001977587343441,13,4
"93","Indo-European","uczestniczenia",3,14,"Polish",0.001977587343441,10,4
"94","Indo-European","uznanie",2,7,"Polish",0.001318391562294,9,4
"95","Indo-European","podstawą",2,8,"Polish",0.001318391562294,10,4
"96","Indo-European","pokoju",2,6,"Polish",0.001318391562294,8,4
"97","Indo-European","świata",2,6,"Polish",0.001318391562294,8,4
"98","Indo-European","aktów",2,5,"Polish",0.001318391562294,4,4
"99","Indo-European","sumieniem",2,9,"Polish",0.001318391562294,6,4
"100","Indo-European","ludzkości",2,9,"Polish",0.001318391562294,6,5
"101","Indo-European","uroczyście",2,10,"Polish",0.001318391562294,11,5
"102","Indo-European","cel",2,3,"Polish",0.001318391562294,4,5
"103","Indo-European","takiego",2,7,"Polish",0.001318391562294,6,5
"104","Indo-European","popiera",2,7,"Polish",0.001318391562294,10,5
"105","Indo-European","rozwoju",2,7,"Polish",0.001318391562294,12,5
"106","Indo-European","między",2,6,"Polish",0.001318391562294,17,5
"107","Indo-European","narodami",2,8,"Polish",0.001318391562294,7,5
"108","Indo-European","warunków",2,8,"Polish",0.001318391562294,8,5
"109","Indo-European","we",2,2,"Polish",0.001318391562294,11,5
"110","Indo-European","powszechne",2,10,"Polish",0.001318391562294,9,5
"111","Indo-European","przestrzeganie",2,14,"Polish",0.001318391562294,11,5
"112","Indo-European","tych",2,4,"Polish",0.001318391562294,12,5
"113","Indo-European","niniejszą",2,9,"Polish",0.001318391562294,9,5
"114","Indo-European","deklarację",2,10,"Polish",0.001318391562294,5,5
"115","Indo-European","środków",2,7,"Polish",0.001318391562294,3,5
"116","Indo-European","wśród",2,5,"Polish",0.001318391562294,13,5
"117","Indo-European","władzy",2,6,"Polish",0.001318391562294,8,5
"118","Indo-European","równi",2,5,"Polish",0.001318391562294,8,5
