"","family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","Indo-European","и",116,1,"Russian",0.0738383195416932,2,1
"2","Indo-European","в",51,1,"Russian",0.0324633991088479,5,1
"3","Indo-European","на",40,2,"Russian",0.0254614894971356,5,1
"4","Indo-European","право",38,5,"Russian",0.0241884150222788,6,1
"5","Indo-European","человек",32,7,"Russian",0.0203691915977085,9,1
"6","Indo-European","каждый",32,6,"Russian",0.0203691915977085,13,2
"7","Indo-European","имеет",30,5,"Russian",0.0190961171228517,10,2
"8","Indo-European","статья",30,6,"Russian",0.0190961171228517,8,2
"9","Indo-European","или",28,3,"Russian",0.0178230426479949,4,2
"10","Indo-European","его",19,3,"Russian",0.0120942075111394,7,2
"11","Indo-European","не",17,2,"Russian",0.0108211330362826,5,2
"12","Indo-European","быть",16,4,"Russian",0.0101845957988542,5,2
"13","Indo-European","прав",13,4,"Russian",0.00827498408656906,6,2
"14","Indo-European","к",12,1,"Russian",0.00763844684914067,10,2
"15","Indo-European","во",11,2,"Russian",0.00700190961171229,9,2
"16","Indo-European","для",11,3,"Russian",0.00700190961171229,8,2
"17","Indo-European","от",10,2,"Russian",0.0063653723742839,11,2
"18","Indo-European","свободу",10,7,"Russian",0.0063653723742839,7,2
"19","Indo-European","что",9,3,"Russian",0.00572883513685551,5,2
"20","Indo-European","должно",9,6,"Russian",0.00572883513685551,8,2
"21","Indo-European","может",9,5,"Russian",0.00572883513685551,11,3
"22","Indo-European","человека",8,8,"Russian",0.00509229789942712,10,3
"23","Indo-European","как",8,3,"Russian",0.00509229789942712,7,3
"24","Indo-European","никто",8,5,"Russian",0.00509229789942712,5,3
"25","Indo-European","принимая",7,8,"Russian",0.00445576066199873,6,3
"26","Indo-European","внимание",7,8,"Russian",0.00445576066199873,12,3
"27","Indo-European","при",7,3,"Russian",0.00445576066199873,8,3
"28","Indo-European","свобод",7,6,"Russian",0.00445576066199873,8,3
"29","Indo-European","то",7,2,"Russian",0.00445576066199873,4,3
"30","Indo-European","образование",7,11,"Russian",0.00445576066199873,12,3
"31","Indo-European","их",6,2,"Russian",0.00381922342457034,6,3
"32","Indo-European","содействовать",6,13,"Russian",0.00381922342457034,11,3
"33","Indo-European","свою",6,4,"Russian",0.00381922342457034,10,3
"34","Indo-European","с",6,1,"Russian",0.00381922342457034,9,3
"35","Indo-European","все",6,3,"Russian",0.00381922342457034,2,3
"36","Indo-European","защиту",6,6,"Russian",0.00381922342457034,12,3
"37","Indo-European","по",6,2,"Russian",0.00381922342457034,9,3
"38","Indo-European","права",5,5,"Russian",0.00318268618714195,6,3
"39","Indo-European","объединенных",5,12,"Russian",0.00318268618714195,12,3
"40","Indo-European","Наций",5,5,"Russian",0.00318268618714195,10,3
"41","Indo-European","государства",5,11,"Russian",0.00318268618714195,7,3
"42","Indo-European","общества",5,8,"Russian",0.00318268618714195,7,3
"43","Indo-European","должен",5,6,"Russian",0.00318268618714195,5,3
"44","Indo-European","ни",5,2,"Russian",0.00318268618714195,11,3
"45","Indo-European","было",5,4,"Russian",0.00318268618714195,13,4
"46","Indo-European","является",4,8,"Russian",0.00254614894971356,19,4
"47","Indo-European","котором",4,7,"Russian",0.00254614894971356,8,4
"48","Indo-European","люди",4,4,"Russian",0.00254614894971356,2,4
"49","Indo-European","убеждений",4,9,"Russian",0.00254614894971356,10,4
"50","Indo-European","чтобы",4,5,"Russian",0.00254614894971356,13,4
"51","Indo-European","личности",4,8,"Russian",0.00254614894971356,12,4
"52","Indo-European","должны",4,6,"Russian",0.00254614894971356,13,4
"53","Indo-European","путем",4,5,"Russian",0.00254614894971356,10,4
"54","Indo-European","Организации",4,11,"Russian",0.00254614894971356,9,4
"55","Indo-European","настоящей",4,9,"Russian",0.00254614894971356,7,4
"56","Indo-European","без",4,3,"Russian",0.00254614894971356,4,4
"57","Indo-European","бы",4,2,"Russian",0.00254614894971356,2,4
"58","Indo-European","имеют",4,5,"Russian",0.00254614894971356,11,4
"59","Indo-European","время",4,5,"Russian",0.00254614894971356,7,4
"60","Indo-European","брак",4,4,"Russian",0.00254614894971356,13,4
"61","Indo-European","своих",4,5,"Russian",0.00254614894971356,9,4
"62","Indo-European","человеческой",3,12,"Russian",0.00190961171228517,5,4
"63","Indo-European","семьи",3,5,"Russian",0.00190961171228517,7,4
"64","Indo-European","мира",3,4,"Russian",0.00190961171228517,10,4
"65","Indo-European","которые",3,7,"Russian",0.00190961171228517,11,4
"66","Indo-European","закона",3,6,"Russian",0.00190961171228517,6,4
"67","Indo-European","обеспечения",3,11,"Russian",0.00190961171228517,5,4
"68","Indo-European","того",3,4,"Russian",0.00190961171228517,11,4
"69","Indo-European","этих",3,4,"Russian",0.00190961171228517,8,4
"70","Indo-European","настоящую",3,9,"Russian",0.00190961171228517,4,4
"71","Indo-European","образования",3,11,"Russian",0.00190961171228517,8,4
"72","Indo-European","так",3,3,"Russian",0.00190961171228517,10,4
"73","Indo-European","отношении",3,9,"Russian",0.00190961171228517,9,4
"74","Indo-European","всеми",3,5,"Russian",0.00190961171228517,5,4
"75","Indo-European","какого",3,6,"Russian",0.00190961171228517,11,4
"76","Indo-European","различия",3,8,"Russian",0.00190961171228517,6,4
"77","Indo-European","религии",3,7,"Russian",0.00190961171228517,5,4
"78","Indo-European","основе",3,6,"Russian",0.00190961171228517,10,4
"79","Indo-European","всех",3,4,"Russian",0.00190961171228517,10,4
"80","Indo-European","подвергаться",3,12,"Russian",0.00190961171228517,5,4
"81","Indo-European","законом",3,7,"Russian",0.00190961171228517,6,4
"82","Indo-European","равную",3,6,"Russian",0.00190961171228517,6,4
"83","Indo-European","какой",3,5,"Russian",0.00190961171228517,17,4
"84","Indo-European","дискриминации",3,13,"Russian",0.00190961171228517,7,4
"85","Indo-European","ему",3,3,"Russian",0.00190961171228517,8,5
"86","Indo-European","преступления",3,12,"Russian",0.00190961171228517,10,5
"87","Indo-European","за",3,2,"Russian",0.00190961171228517,14,5
"88","Indo-European","свободно",3,8,"Russian",0.00190961171228517,4,5
"89","Indo-European","каждого",3,7,"Russian",0.00190961171228517,3,5
"90","Indo-European","включая",3,7,"Russian",0.00190961171228517,10,5
"91","Indo-European","других",3,6,"Russian",0.00190961171228517,6,5
"92","Indo-European","пользоваться",3,12,"Russian",0.00190961171228517,8,5
"93","Indo-European","это",3,3,"Russian",0.00190961171228517,7,5
"94","Indo-European","только",3,6,"Russian",0.00190961171228517,10,5
"95","Indo-European","другими",3,7,"Russian",0.00190961171228517,18,5
"96","Indo-European","признание",2,9,"Russian",0.00127307447485678,6,5
"97","Indo-European","достоинства",2,11,"Russian",0.00127307447485678,7,5
"98","Indo-European","основой",2,7,"Russian",0.00127307447485678,7,5
"99","Indo-European","свободы",2,7,"Russian",0.00127307447485678,4,5
"100","Indo-European","справедливости",2,14,"Russian",0.00127307447485678,9,5
"101","Indo-European","всеобщего",2,9,"Russian",0.00127307447485678,5,5
