"","family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","Niger-Congo","ya",125,2,"Swahili",0.0702247191011236,11,1
"2","Niger-Congo","na",114,2,"Swahili",0.0640449438202247,9,1
"3","Niger-Congo","haki",65,4,"Swahili",0.0365168539325843,6,1
"4","Niger-Congo","kwa",57,3,"Swahili",0.0320224719101124,8,1
"5","Niger-Congo","wa",43,2,"Swahili",0.0241573033707865,5,1
"6","Niger-Congo","mtu",37,3,"Swahili",0.0207865168539326,4,1
"7","Niger-Congo","cha",35,3,"Swahili",0.0196629213483146,2,1
"8","Niger-Congo","Kifungu",28,7,"Swahili",0.0157303370786517,13,2
"9","Niger-Congo","Kila",28,4,"Swahili",0.0157303370786517,7,2
"10","Niger-Congo","au",26,2,"Swahili",0.0146067415730337,4,2
"11","Niger-Congo","yake",26,4,"Swahili",0.0146067415730337,8,2
"12","Niger-Congo","ana",25,3,"Swahili",0.0140449438202247,8,2
"13","Niger-Congo","katika",21,6,"Swahili",0.0117977528089888,8,2
"14","Niger-Congo","za",20,2,"Swahili",0.0112359550561798,4,2
"15","Niger-Congo","uhuru",20,5,"Swahili",0.0112359550561798,9,2
"16","Niger-Congo","yote",19,4,"Swahili",0.0106741573033708,6,2
"17","Niger-Congo","watu",17,4,"Swahili",0.00955056179775281,5,2
"18","Niger-Congo","hali",16,4,"Swahili",0.00898876404494382,4,2
"19","Niger-Congo","nchi",15,4,"Swahili",0.00842696629213483,8,2
"20","Niger-Congo","sheria",14,6,"Swahili",0.00786516853932584,8,2
"21","Niger-Congo","kuwa",12,4,"Swahili",0.00674157303370787,10,2
"22","Niger-Congo","kazi",12,4,"Swahili",0.00674157303370787,6,2
"23","Niger-Congo","bila",11,4,"Swahili",0.00617977528089888,9,2
"24","Niger-Congo","yo",11,2,"Swahili",0.00617977528089888,3,2
"25","Niger-Congo","ni",11,2,"Swahili",0.00617977528089888,4,2
"26","Niger-Congo","kila",11,4,"Swahili",0.00617977528089888,8,2
"27","Niger-Congo","wote",10,4,"Swahili",0.00561797752808989,6,2
"28","Niger-Congo","hii",9,3,"Swahili",0.0050561797752809,4,2
"29","Niger-Congo","binadamu",9,8,"Swahili",0.0050561797752809,4,2
"30","Niger-Congo","Kwa",8,3,"Swahili",0.00449438202247191,7,2
"31","Niger-Congo","asili",8,5,"Swahili",0.00449438202247191,9,2
"32","Niger-Congo","sawa",8,4,"Swahili",0.00449438202247191,3,2
"33","Niger-Congo","maisha",8,6,"Swahili",0.00449438202247191,8,2
"34","Niger-Congo","kama",8,4,"Swahili",0.00449438202247191,6,2
"35","Niger-Congo","kati",8,4,"Swahili",0.00449438202247191,6,2
"36","Niger-Congo","anayo",8,5,"Swahili",0.00449438202247191,7,2
"37","Niger-Congo","la",7,2,"Swahili",0.00393258426966292,7,2
"38","Niger-Congo","Umoja",7,5,"Swahili",0.00393258426966292,5,2
"39","Niger-Congo","Mataifa",7,7,"Swahili",0.00393258426966292,4,2
"40","Niger-Congo","Taarifa",7,7,"Swahili",0.00393258426966292,6,2
"41","Niger-Congo","mataifa",7,7,"Swahili",0.00393258426966292,8,3
"42","Niger-Congo","mambo",7,5,"Swahili",0.00393258426966292,4,3
"43","Niger-Congo","taifa",7,5,"Swahili",0.00393258426966292,8,3
"44","Niger-Congo","kulindwa",7,8,"Swahili",0.00393258426966292,9,3
"45","Niger-Congo","YA",6,2,"Swahili",0.00337078651685393,5,3
"46","Niger-Congo","lazima",6,6,"Swahili",0.00337078651685393,6,3
"47","Niger-Congo","dini",6,4,"Swahili",0.00337078651685393,5,3
"48","Niger-Congo","ye",6,2,"Swahili",0.00337078651685393,5,3
"49","Niger-Congo","wakati",6,6,"Swahili",0.00337078651685393,6,3
"50","Niger-Congo","kupata",6,6,"Swahili",0.00337078651685393,7,3
"51","Niger-Congo","hiyo",5,4,"Swahili",0.00280898876404494,6,3
"52","Niger-Congo","heshima",5,7,"Swahili",0.00280898876404494,8,3
"53","Niger-Congo","bora",5,4,"Swahili",0.00280898876404494,8,3
"54","Niger-Congo","wake",5,4,"Swahili",0.00280898876404494,4,3
"55","Niger-Congo","jamii",5,5,"Swahili",0.00280898876404494,3,3
"56","Niger-Congo","ambao",5,5,"Swahili",0.00280898876404494,11,3
"57","Niger-Congo","ubaguzi",5,7,"Swahili",0.00280898876404494,6,3
"58","Niger-Congo","nyingine",5,8,"Swahili",0.00280898876404494,2,3
"59","Niger-Congo","kanuni",5,6,"Swahili",0.00280898876404494,2,3
"60","Niger-Congo","mmoja",5,5,"Swahili",0.00280898876404494,4,3
"61","Niger-Congo","ndoa",5,4,"Swahili",0.00280898876404494,5,3
"62","Niger-Congo","kamili",4,6,"Swahili",0.00224719101123596,7,3
"63","Niger-Congo","siasa",4,5,"Swahili",0.00224719101123596,4,3
"64","Niger-Congo","ndio",4,4,"Swahili",0.00224719101123596,5,3
"65","Niger-Congo","kwamba",4,6,"Swahili",0.00224719101123596,9,3
"66","Niger-Congo","kutokana",4,8,"Swahili",0.00224719101123596,8,3
"67","Niger-Congo","Mtu",4,3,"Swahili",0.00224719101123596,8,3
"68","Niger-Congo","makosa",4,6,"Swahili",0.00224719101123596,13,3
"69","Niger-Congo","zake",4,4,"Swahili",0.00224719101123596,3,3
"70","Niger-Congo","wajibu",4,6,"Swahili",0.00224719101123596,3,3
"71","Niger-Congo","jamaa",4,5,"Swahili",0.00224719101123596,5,3
"72","Niger-Congo","mwenyewe",4,8,"Swahili",0.00224719101123596,3,3
"73","Niger-Congo","ajili",4,5,"Swahili",0.00224719101123596,11,3
"74","Niger-Congo","njia",4,4,"Swahili",0.00224719101123596,7,3
"75","Niger-Congo","kushiriki",4,9,"Swahili",0.00224719101123596,3,3
"76","Niger-Congo","Elimu",4,5,"Swahili",0.00224719101123596,8,3
"77","Niger-Congo","juu",3,3,"Swahili",0.00168539325842697,6,3
"78","Niger-Congo","zilizo",3,6,"Swahili",0.00168539325842697,5,3
"79","Niger-Congo","Wanachama",3,9,"Swahili",0.00168539325842697,9,4
"80","Niger-Congo","amani",3,5,"Swahili",0.00168539325842697,9,4
"81","Niger-Congo","a",3,1,"Swahili",0.00168539325842697,5,4
"82","Niger-Congo","wao",3,3,"Swahili",0.00168539325842697,8,4
"83","Niger-Congo","cho",3,3,"Swahili",0.00168539325842697,9,4
"84","Niger-Congo","chote",3,5,"Swahili",0.00168539325842697,5,4
"85","Niger-Congo","chini",3,5,"Swahili",0.00168539325842697,5,4
"86","Niger-Congo","kuendeleza",3,10,"Swahili",0.00168539325842697,4,4
"87","Niger-Congo","ka",3,2,"Swahili",0.00168539325842697,3,4
"88","Niger-Congo","yao",3,3,"Swahili",0.00168539325842697,7,4
"89","Niger-Congo","wanaume",3,7,"Swahili",0.00168539325842697,5,4
"90","Niger-Congo","wanawake",3,8,"Swahili",0.00168539325842697,4,4
"91","Niger-Congo","kukuza",3,6,"Swahili",0.00168539325842697,5,4
"92","Niger-Congo","jambo",3,5,"Swahili",0.00168539325842697,6,4
"93","Niger-Congo","baraza",3,6,"Swahili",0.00168539325842697,2,4
"94","Niger-Congo","huru",3,4,"Swahili",0.00168539325842697,13,4
"95","Niger-Congo","rangi",3,5,"Swahili",0.00168539325842697,7,4
"96","Niger-Congo","mali",3,4,"Swahili",0.00168539325842697,3,4
"97","Niger-Congo","hayo",3,4,"Swahili",0.00168539325842697,4,4
"98","Niger-Congo","fulani",3,6,"Swahili",0.00168539325842697,8,4
"99","Niger-Congo","iwe",3,3,"Swahili",0.00168539325842697,6,4
"100","Niger-Congo","namna",3,5,"Swahili",0.00168539325842697,7,4
"101","Niger-Congo","kuishi",3,6,"Swahili",0.00168539325842697,9,4
"102","Niger-Congo","wana",3,4,"Swahili",0.00168539325842697,11,4
"103","Niger-Congo","hadharani",3,9,"Swahili",0.00168539325842697,5,4
"104","Niger-Congo","lo",3,2,"Swahili",0.00168539325842697,6,4
"105","Niger-Congo","lote",3,4,"Swahili",0.00168539325842697,9,4
"106","Niger-Congo","tu",3,2,"Swahili",0.00168539325842697,5,4
"107","Niger-Congo","hiari",3,5,"Swahili",0.00168539325842697,4,4
"108","Niger-Congo","pamoja",3,6,"Swahili",0.00168539325842697,6,4
"109","Niger-Congo","Serikali",3,8,"Swahili",0.00168539325842697,10,4
"110","Niger-Congo","wengine",3,7,"Swahili",0.00168539325842697,5,4
"111","Niger-Congo","pia",3,3,"Swahili",0.00168539325842697,9,4
"112","Niger-Congo","maoni",3,5,"Swahili",0.00168539325842697,5,4
"113","Niger-Congo","chama",3,5,"Swahili",0.00168539325842697,3,4
"114","Niger-Congo","yeye",3,4,"Swahili",0.00168539325842697,5,4
"115","Niger-Congo","ambazo",3,6,"Swahili",0.00168539325842697,7,4
"116","Niger-Congo","kutunzwa",3,8,"Swahili",0.00168539325842697,6,4
"117","Niger-Congo","maendeleo",3,9,"Swahili",0.00168539325842697,8,4
"118","Niger-Congo","kufanya",3,7,"Swahili",0.00168539325842697,11,4
"119","Niger-Congo","kuchagua",3,8,"Swahili",0.00168539325842697,2,4
"120","Niger-Congo","mshahara",3,8,"Swahili",0.00168539325842697,4,4
"121","Niger-Congo","elimu",3,5,"Swahili",0.00168539325842697,11,4
"122","Niger-Congo","Katika",2,6,"Swahili",0.00112359550561798,2,4
"123","Niger-Congo","Baraza",2,6,"Swahili",0.00112359550561798,5,4
"124","Niger-Congo","kuu",2,3,"Swahili",0.00112359550561798,4,4
"125","Niger-Congo","kutangaza",2,9,"Swahili",0.00112359550561798,3,4
"126","Niger-Congo","Haki",2,4,"Swahili",0.00112359550561798,7,4
"127","Niger-Congo","taarifa",2,7,"Swahili",0.00112359550561798,7,4
"128","Niger-Congo","maana",2,5,"Swahili",0.00112359550561798,7,4
"129","Niger-Congo","i",2,1,"Swahili",0.00112359550561798,8,4
"130","Niger-Congo","zote",2,4,"Swahili",0.00112359550561798,8,4
"131","Niger-Congo","kujali",2,6,"Swahili",0.00112359550561798,7,4
"132","Niger-Congo","TAARIFA",2,7,"Swahili",0.00112359550561798,10,4
"133","Niger-Congo","ulimwengu",2,9,"Swahili",0.00112359550561798,10,4
"134","Niger-Congo","JUU",2,3,"Swahili",0.00112359550561798,6,4
"135","Niger-Congo","HAKI",2,4,"Swahili",0.00112359550561798,3,4
"136","Niger-Congo","ZA",2,2,"Swahili",0.00112359550561798,10,4
"137","Niger-Congo","BINADAMU",2,8,"Swahili",0.00112359550561798,8,4
"138","Niger-Congo","vitendo",2,7,"Swahili",0.00112359550561798,7,4
"139","Niger-Congo","dhamiri",2,7,"Swahili",0.00112359550561798,4,4
"140","Niger-Congo","ambayo",2,6,"Swahili",0.00112359550561798,4,4
"141","Niger-Congo","msaada",2,6,"Swahili",0.00112359550561798,6,4
"142","Niger-Congo","imani",2,5,"Swahili",0.00112359550561798,6,4
"143","Niger-Congo","sababu",2,6,"Swahili",0.00112359550561798,4,4
"144","Niger-Congo","starehe",2,7,"Swahili",0.00112359550561798,5,4
"145","Niger-Congo","zaidi",2,5,"Swahili",0.00112359550561798,7,4
"146","Niger-Congo","Nchi",2,4,"Swahili",0.00112359550561798,4,4
"147","Niger-Congo","kushirikiana",2,12,"Swahili",0.00112359550561798,7,4
"148","Niger-Congo","hizi",2,4,"Swahili",0.00112359550561798,8,4
"149","Niger-Congo","huu",2,3,"Swahili",0.00112359550561798,9,4
