"","family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"1","Turkic","ve",88,2,"Turkish",0.0493827160493827,8,1
"2","Turkic","ı",41,1,"Turkish",0.0230078563411897,5,1
"3","Turkic","bir",33,3,"Turkish",0.0185185185185185,6,1
"4","Turkic","hakk",32,4,"Turkish",0.0179573512906846,4,1
"5","Turkic","madde",30,5,"Turkish",0.0168350168350168,3,1
"6","Turkic","veya",27,4,"Turkish",0.0151515151515152,9,1
"7","Turkic","her",26,3,"Turkish",0.0145903479236813,9,1
"8","Turkic","ın",21,2,"Turkish",0.0117845117845118,1,1
"9","Turkic","i",20,1,"Turkish",0.0112233445566779,6,1
"10","Turkic","h",18,1,"Turkish",0.0101010101010101,17,1
"11","Turkic","ına",17,3,"Turkish",0.00953984287317621,6,1
"12","Turkic","ır",15,2,"Turkish",0.00841750841750842,6,1
"13","Turkic","haklar",14,6,"Turkish",0.00785634118967452,3,1
"14","Turkic","ını",14,3,"Turkish",0.00785634118967452,13,1
"15","Turkic","vard",14,4,"Turkish",0.00785634118967452,6,1
"16","Turkic","ının",13,4,"Turkish",0.00729517396184063,3,1
"17","Turkic","bu",13,2,"Turkish",0.00729517396184063,12,1
"18","Turkic","e",13,1,"Turkish",0.00729517396184063,3,1
"19","Turkic","haizdir",13,7,"Turkish",0.00729517396184063,5,1
"20","Turkic","ş",12,1,"Turkish",0.00673400673400673,11,2
"21","Turkic","olarak",11,6,"Turkish",0.00617283950617284,5,2
"22","Turkic","herkes",11,6,"Turkish",0.00617283950617284,5,2
"23","Turkic","b",10,1,"Turkish",0.00561167227833894,6,2
"24","Turkic","şahs",10,4,"Turkish",0.00561167227833894,5,2
"25","Turkic","g",9,1,"Turkish",0.00505050505050505,8,2
"26","Turkic","k",8,1,"Turkish",0.00448933782267116,6,2
"27","Turkic","ile",8,3,"Turkish",0.00448933782267116,3,2
"28","Turkic","ında",8,4,"Turkish",0.00448933782267116,8,2
"29","Turkic","hiç",8,3,"Turkish",0.00448933782267116,3,2
"30","Turkic","kimse",8,5,"Turkish",0.00448933782267116,12,2
"31","Turkic","ütün",7,4,"Turkish",0.00392817059483726,8,2
"32","Turkic","sosyal",7,6,"Turkish",0.00392817059483726,8,2
"33","Turkic","çin",7,3,"Turkish",0.00392817059483726,6,2
"34","Turkic","çe",7,2,"Turkish",0.00392817059483726,1,2
"35","Turkic","kar",7,3,"Turkish",0.00392817059483726,4,2
"36","Turkic","şı",7,2,"Turkish",0.00392817059483726,4,2
"37","Turkic","ba",7,2,"Turkish",0.00392817059483726,8,2
"38","Turkic","m",7,1,"Turkish",0.00392817059483726,8,2
"39","Turkic","serbest",7,7,"Turkish",0.00392817059483726,5,2
"40","Turkic","insan",6,5,"Turkish",0.00336700336700337,10,2
"41","Turkic","ana",6,3,"Turkish",0.00336700336700337,5,2
"42","Turkic","öğretim",6,7,"Turkish",0.00336700336700337,3,2
"43","Turkic","şit",6,3,"Turkish",0.00336700336700337,4,2
"44","Turkic","herhangi",6,8,"Turkish",0.00336700336700337,7,2
"45","Turkic","ğu",6,2,"Turkish",0.00336700336700337,6,2
"46","Turkic","herkesin",6,8,"Turkish",0.00336700336700337,5,2
"47","Turkic","tam",6,3,"Turkish",0.00336700336700337,8,2
"48","Turkic","hak",6,3,"Turkish",0.00336700336700337,3,2
"49","Turkic","d",5,1,"Turkish",0.00280583613916947,11,2
"50","Turkic","ık",5,2,"Turkish",0.00280583613916947,5,2
"51","Turkic","s",5,1,"Turkish",0.00280583613916947,4,2
"52","Turkic","ilan",5,4,"Turkish",0.00280583613916947,6,2
"53","Turkic","t",5,1,"Turkish",0.00280583613916947,6,2
"54","Turkic","şekilde",5,7,"Turkish",0.00280583613916947,4,2
"55","Turkic","milli",5,5,"Turkish",0.00280583613916947,12,2
"56","Turkic","milletleraras",5,13,"Turkish",0.00280583613916947,8,2
"57","Turkic","din",5,3,"Turkish",0.00280583613916947,12,2
"58","Turkic","şahıs",5,5,"Turkish",0.00280583613916947,7,2
"59","Turkic","ından",5,5,"Turkish",0.00280583613916947,5,2
"60","Turkic","nı",4,2,"Turkish",0.00224466891133558,9,2
"61","Turkic","y",4,1,"Turkish",0.00224466891133558,10,2
"62","Turkic","karşı",4,5,"Turkish",0.00224466891133558,5,2
"63","Turkic","milletler",4,9,"Turkish",0.00224466891133558,3,2
"64","Turkic","olan",4,4,"Turkish",0.00224466891133558,4,2
"65","Turkic","daha",4,4,"Turkish",0.00224466891133558,6,2
"66","Turkic","ği",4,2,"Turkish",0.00224466891133558,7,2
"67","Turkic","ıyla",4,4,"Turkish",0.00224466891133558,6,2
"68","Turkic","şbu",4,3,"Turkish",0.00224466891133558,4,2
"69","Turkic","do",4,2,"Turkish",0.00224466891133558,4,2
"70","Turkic","tabi",4,4,"Turkish",0.00224466891133558,4,2
"71","Turkic","ıdır",4,4,"Turkish",0.00224466891133558,6,2
"72","Turkic","ayk",4,3,"Turkish",0.00224466891133558,5,2
"73","Turkic","ırı",4,3,"Turkish",0.00224466891133558,4,3
"74","Turkic","keyfi",4,5,"Turkish",0.00224466891133558,5,3
"75","Turkic","a",4,1,"Turkish",0.00224466891133558,5,3
"76","Turkic","ç",4,1,"Turkish",0.00224466891133558,6,3
"77","Turkic","etmek",4,5,"Turkish",0.00224466891133558,4,3
"78","Turkic","hakkı",4,5,"Turkish",0.00224466891133558,12,3
"79","Turkic","ğe",4,2,"Turkish",0.00224466891133558,3,3
"80","Turkic","kamu",4,4,"Turkish",0.00224466891133558,6,3
"81","Turkic","hi",4,2,"Turkish",0.00224466891133558,2,3
"82","Turkic","i̇nsan",3,6,"Turkish",0.00168350168350168,10,3
"83","Turkic","hakları",3,7,"Turkish",0.00168350168350168,8,3
"84","Turkic","olmas",3,5,"Turkish",0.00168350168350168,8,3
"85","Turkic","bulunmas",3,8,"Turkish",0.00168350168350168,6,3
"86","Turkic","geli",3,4,"Turkish",0.00168350168350168,3,3
"87","Turkic","haysiyet",3,8,"Turkish",0.00168350168350168,5,3
"88","Turkic","de",3,2,"Turkish",0.00168350168350168,1,3
"89","Turkic","erkek",3,5,"Turkish",0.00168350168350168,5,3
"90","Turkic","kad",3,3,"Turkish",0.00168350168350168,6,3
"91","Turkic","etmi",3,4,"Turkish",0.00168350168350168,12,3
"92","Turkic","na",3,2,"Turkish",0.00168350168350168,11,3
"93","Turkic","hayat",3,5,"Turkish",0.00168350168350168,8,3
"94","Turkic","birle",3,5,"Turkish",0.00168350168350168,6,3
"95","Turkic","şmiş",3,4,"Turkish",0.00168350168350168,9,3
"96","Turkic","ger",3,3,"Turkish",0.00168350168350168,7,3
"97","Turkic","genel",3,5,"Turkish",0.00168350168350168,6,3
"98","Turkic","toplulu",3,7,"Turkish",0.00168350168350168,10,3
"99","Turkic","yoluyla",3,7,"Turkish",0.00168350168350168,1,3
"100","Turkic","sayg",3,4,"Turkish",0.00168350168350168,11,3
"101","Turkic","beyannamede",3,11,"Turkish",0.00168350168350168,9,3
"102","Turkic","istifade",3,8,"Turkish",0.00168350168350168,6,3
"103","Turkic","memleket",3,8,"Turkish",0.00168350168350168,4,3
"104","Turkic","uyru",3,4,"Turkish",0.00168350168350168,10,3
"105","Turkic","olsun",3,5,"Turkish",0.00168350168350168,7,3
"106","Turkic","ferdin",3,6,"Turkish",0.00168350168350168,8,3
"107","Turkic","tan",3,3,"Turkish",0.00168350168350168,5,3
"108","Turkic","kanun",3,5,"Turkish",0.00168350168350168,8,3
"109","Turkic","ız",3,2,"Turkish",0.00168350168350168,5,3
"110","Turkic","ürlü",3,4,"Turkish",0.00168350168350168,8,3
"111","Turkic","yap",3,3,"Turkish",0.00168350168350168,6,3
"112","Turkic","vardır",3,6,"Turkish",0.00168350168350168,3,3
"113","Turkic","kendisine",3,9,"Turkish",0.00168350168350168,5,3
"114","Turkic","şitlikle",3,8,"Turkish",0.00168350168350168,6,3
"115","Turkic","taraf",3,5,"Turkish",0.00168350168350168,10,3
"116","Turkic","adil",3,4,"Turkish",0.00168350168350168,8,3
"117","Turkic","çık",3,3,"Turkish",0.00168350168350168,2,3
"118","Turkic","su",3,2,"Turkish",0.00168350168350168,3,3
"119","Turkic","edilemez",3,8,"Turkish",0.00168350168350168,6,3
"120","Turkic","özel",3,4,"Turkish",0.00168350168350168,5,3
"121","Turkic","mahrum",3,6,"Turkish",0.00168350168350168,3,3
"122","Turkic","evlilik",3,7,"Turkish",0.00168350168350168,11,3
"123","Turkic","ancak",3,5,"Turkish",0.00168350168350168,10,3
"124","Turkic","mal",3,3,"Turkish",0.00168350168350168,10,3
"125","Turkic","olmak",3,5,"Turkish",0.00168350168350168,3,3
"126","Turkic","kat",3,3,"Turkish",0.00168350168350168,7,3
